year,lgid,tmid,g,w,l,t,gf,ga,pim,benchminor,ppg,ppc,sha,pkg,pkc,shf
1995,NHL,BOS,5,1,4,0,16,22,147,0,7,27,0,5,30,2
1999,NHL,DET,9,5,4,0,23,19,132,0,10,43,0,5,49,1
1936,NHL,BOS,3,1,2,0,6,8,15,,,,,,,
2006,NHL,SJS,11,6,5,0,25,27,165,4,4,57,2,8,47,0
1952,NHL,MTL,12,8,4,0,34,23,118,,,,,,,
2002,NHL,TOR,7,3,4,0,16,24,89,2,3,25,1,5,33,2
1993,NHL,NYR,23,16,7,0,81,50,379,2,22,104,3,9,103,2
1978,NHL,PIT,7,2,5,0,16,25,84,0,2,28,1,4,19,0
2003,NHL,DAL,5,1,4,0,10,19,56,4,4,22,2,6,21,0
1932,NHL,BOS,5,2,3,0,7,9,50,,,,,,,
1994,NHL,DAL,5,1,4,0,10,17,95,0,3,26,0,9,30,1
1996,NHL,ANA,11,4,7,0,25,30,163,2,10,39,0,6,45,0
1994,NHL,CHI,16,9,7,0,45,39,203,0,9,68,1,11,75,1
1995,NHL,TOR,6,2,4,0,15,21,112,0,8,32,4,5,34,1
1990,NHL,EDM,18,9,9,0,57,60,400,2,12,91,2,21,95,0
2010,NHL,DET,11,7,4,0,36,28,125,0,8,43,0,11,46,0
1974,NHL,TOR,7,2,5,0,13,21,108,0,4,36,0,5,20,0
1978,NHL,PHI,8,3,5,0,23,37,173,2,6,31,5,8,49,0
2002,NHL,NYI,5,1,4,0,7,13,108,0,3,31,0,4,30,0
1994,NHL,DET,18,12,6,0,61,44,264,0,22,89,1,14,78,3
1980,NHL,EDM,9,5,4,0,35,35,157,2,9,43,2,15,46,1
1987,NHL,TOR,6,2,4,0,20,32,189,0,6,41,,11,32,2
