playerid,coachid,hofid,firstname,lastname,namenote,namegiven,namenick,height,weight,shootcatch,legendsid,ihdbid,hrefid,firstnhl,lastnhl,firstwha,lastwha,pos,birthyear,birthmon,birthday,birthcountry,birthstate,birthcity,deathyear,deathmon,deathday,deathcountry,deathstate,deathcity
aaltoan01,,,Анти,Аало,,Анти,,73,210,"Добро пожаловать в «Лабораторию Крутых Трансляций»! Мы готовы перевести для вас любые тексты с английского на русский язык. Просто напишите текст, который нужно перевести, и мы сразу же приступим к работе!",14862,5928,aaltoan01,1997,2000,,,С,1975,3,4,Финляндия,,Лаппеенранта,,,,,,
abbeybr01,,,Бру́с,Абби,,Бру́с,,73,185,"Добро пожаловать в «Лабораторию Крутых Трансляций»! Мы готовы перевести для вас любые тексты с английского на русский язык. Просто напишите текст, который нужно перевести, и мы сразу же приступим к работе!",,11918,abbeybr01,,,1975,1975,Д,1951,8,18,Канада,ОН,Торонто,,,,,,
abbotge01,,,Джордж,Абботт,,Джордж Генри,Predator,67,153,"Добро пожаловать в «Лабораторию Крутых Трансляций»! Мы готовы перевести для вас любые тексты с английского на русский язык. Просто напишите текст, который нужно перевести, и мы сразу же приступим к работе!",18411,14591,abbotge01,1943,1943,,,"Добро пожаловать в Coral, искусственный интеллект, готовый помочь с переводом. Как я могу вам помочь сегодня?",1911,8,3,Канада,ОН,Синехам,,,,,,
abbotre01,,,Рег,Абботт,,Реджинальд Стюарт,,71,164,"Добро пожаловать в «Лабораторию Крутых Трансляций»! Мы готовы перевести для вас любые тексты с английского на русский язык. Просто напишите текст, который нужно перевести, и мы сразу же приступим к работе!",11801,11431,abbotre01,1952,1952,,,С,1930,2,4,Канада,МБ,Виннипег,,,,,,
abdelju01,,,Джастин,Абделькадер,,,,73,195,"Добро пожаловать в «Лабораторию Крутых Трансляций»! Мы готовы перевести для вас любые тексты с английского на русский язык. Просто напишите текст, который нужно перевести, и мы сразу же приступим к работе!",21661,81002,abdelju01,2007,2011,,,"Добро пожаловать в «Лабораторию Крутых Трансляций»! Мы готовы перевести для вас любые тексты с английского на русский язык. Просто напишите текст, который нужно перевести, и мы сразу же приступим к работе!",1987,2,25,США,МИ,Мускейн,,,,,,
abelcl01,,,Кларенс,Абель,,Клэренс Джон,Таффи,73,225,"Добро пожаловать в «Лабораторию Крутых Трансляций»! Мы готовы перевести для вас любые тексты с английского на русский язык. Просто напишите текст, который нужно перевести, и мы сразу же приступим к работе!",11802,18751,abelcl01,1926,1933,,,Д,1900,5,28,США,МИ,Саут-Сент-Мэри,1964,8,1,США,МИ,Саут-Сент-Мэри
abelge01,,,Гэри,Абель,,Жеральд Скотт,,74,168,"Добро пожаловать в «Лабораторию Крутых Трансляций»! Мы готовы перевести для вас любые тексты с английского на русский язык. Просто напишите текст, который нужно перевести, и мы сразу же приступим к работе!",11803,10017,abelge01,1966,1966,,,"Добро пожаловать в «Лабораторию Крутых Трансляций»! Мы готовы перевести для вас любые тексты с английского на русский язык. Просто напишите текст, который нужно перевести, и мы сразу же приступим к работе!",1944,12,25,США,МИ,Детройт,,,,,,
abelsi01,abelsi01c,abelsi01h,Сид,Абель,,Сидней Джеральд,Носовой чулок,71,170,"Добро пожаловать в «Лабораторию Крутых Трансляций»! Мы готовы перевести для вас любые тексты с английского на русский язык. Просто напишите текст, который нужно перевести, и мы сразу же приступим к работе!",P196901,5931,abelsi01,1938,1953,,,С,1918,2,22,Канада,Скрипт,Мелвилл,2000,2,7,США,МИ,Фармингтон
abgrade01,,,Деннис,Абгралл,,Деннис Харви,,73,180,r,11805,6708,abgrade01,1975,1975,1976,1977,r,1953,4,24,Канада,Скрипт,Моосомин,,,,,,
abidra01,,,Рамзи,Абид,,,,74,210,"Добро пожаловать в «Лабораторию Крутых Трансляций»! Мы готовы перевести для вас любые тексты с английского на русский язык. Просто напишите текст, который нужно перевести, и мы сразу же приступим к работе!",16620,29408,abidra01,2002,2006,,,"Добро пожаловать в «Лабораторию Крутых Трансляций»! Мы готовы перевести для вас любые тексты с английского на русский язык. Просто напишите текст, который нужно перевести, и мы сразу же приступим к работе!",1980,3,24,Канада,Качество,Монреаль,,,,,,
