country,gdp,agriculture,service,industry,inflation
НОРФ,,,,,
Ирак,41100.0,,,,
"Добро пожаловать в Coral! Я могу помочь вам перевести текст с английского на русский язык. Пожалуйста, предоставьте текст, который вы хотите перевести, и я с радостью предоставлю вам точный перевод.",565000.0,3.6,33.6,62.8,4.3
ГВАМ,2500.0,,,,2.5
Всемирный день,415.0,50.0,,,18.0
ФПОЛ,6100.0,3.5,20.4,76.1,1.1
НПЭП,25200.0,49.3,18.4,32.3,6.7
БС,4800.0,3.0,35.0,62.0,1.5
Бен,7600.0,36.8,12.6,50.6,55.0
Ри,710900.0,17.0,32.6,50.4,8.6
КВТ,30800.0,0.0,55.0,45.0,5.0
Запад,3700.0,33.0,7.0,60.0,14.0
RМ,11400.0,35.0,15.0,50.0,35.0
ХХХХХХХХХХХХХХХХХХХХХХХХХХХХХХХ,158500.0,3.0,33.5,63.5,1.8
Тука,216.0,,,,4.0
"Здравствуйте! Я готов помочь с переводом. Пожалуйста, предоставьте текст для перевода.",6000.0,8.2,44.7,47.1,15.0
МС,10900.0,,,,9.4
ЕЛ,80100.0,3.5,22.0,74.5,10.1
НАМ,5800.0,,,,11.0
Цы,7800.0,5.6,24.9,69.5,
ТЧ,3300.0,49.0,17.0,34.0,41.0
Новая Зеландия,62300.0,7.3,25.9,66.8,2.0
ТO,228.0,40.0,,,3.0
БИХ,1000.0,,,,
Здравствуйте! Как я могу вам помочь?,7000.0,52.0,13.5,34.5,6.0
РН,5500.0,38.5,17.9,43.6,35.6
В,18100.0,18.3,35.3,46.4,25.8
Тад,6400.0,,,,28.0
МР,788.0,,,,
Ничего.,7100.0,,,,11.4
ПИТЦ,,,,,
Кайм,1939.0,1.4,3.2,95.4,4.4
Мексика,721400.0,8.5,28.4,63.1,52.0
ЭМИРАТЫ АБРАРА,70100.0,2.0,55.0,43.0,4.6
GКА,36700.0,25.0,20.0,55.0,9.0
GBZ,205.0,,,,
ТТ,16200.0,4.8,44.5,50.7,5.4
БДС,2500.0,6.4,39.3,54.3,1.7
Хонекс,307600.0,0.0,7.9,92.0,2.1
Ф,1173000.0,2.4,26.5,71.1,1.7
Афг,12800.0,65.0,15.0,20.0,
RC,290500.0,3.6,37.3,59.1,4.0
Фиджи,4700.0,22.0,17.0,61.0,2.0
РЛ,18300.0,13.0,28.0,59.0,9.0
А,416700.0,10.2,30.6,59.2,5.8
ВИРГ,1200.0,,,,
СВАΞ,,,,,
М,4400.0,,,,5.0
ГBM,780.0,,,,7.0
БВИР,133.0,,,,2.5
STP,138.0,28.0,14.0,58.0,38.0
ХЭЛКС,18.0,,,,
HR,20100.0,12.7,30.6,56.7,3.7
