country,independence,dependent,government
В,1929-02-11,,монархическая священнодействующая держава
ДЗ,1962-07-05,,респу́блика
АЛ,1912-11-28,,emergентная демократия
Тука,,"Добро пожаловать в GB! Я готов помочь вам с переводом. Пожалуйста, предоставьте текст, который вы хотите перевести с английского на русский язык.",Британские заморские территории
ГНБ,1974-09-10,,респу́блика
ТЖ,,,Коммунизм
Узб,1991-08-31,,респу́блика
SGP,1965-08-09,,Республика в рамках Содружества
ВВП,1962-10-09,,респу́блика
КИР,1979-07-12,,респу́блика
Западная Вирджиния,1979-10-27,,конституционная монархия
STP,1975-07-12,,респу́блика
GBZ,,"Добро пожаловать в GB! Я готов помочь вам с переводом. Пожалуйста, предоставьте текст, который вы хотите перевести с английского на русский язык.",внутренние территории Великобритании
RSA,1910-05-31,,респу́блика
Рок,,,респу́блика
ФШМ,1986-11-03,,Конституционное правительство в свободной ассоциации с США
Новая Зеландия,1907-09-26,,парламентская демократия
ПАР,1994-10-01,,Конституционное правительство в свободной ассоциации с США
YV,1811-07-05,,респу́блика
SRB,2006-06-05,,парламентская демократия
МД,1991-08-27,,респу́блика
ЭК,1822-05-24,,респу́блика
Да,1962-08-06,,парламентская демократия
SF,1917-12-06,,респу́блика
БИХ,1992-04-01,,emergентная демократия
Камера,1960-01-01,,унитарная республика
ТO,1970-06-04,,генеалогическая конституционная монархия
ТН,1956-03-20,,респу́блика
ХХХХХХХХХХХХХХХХХХХХХХХХХХХХХХХ,,,Федеральная Республика
