name,code,capital,province,area,population
Афганистан,Афг,Кабул,Афганистан,647500.0,22664136
Бангладеш,БД,Дакка,Бангладеш,144000.0,123062800
Шри-Ланка,КЛ,Колombo,Шри-Ланка,65610.0,18553074
Египет,ET,Каир,Эль-Каир,1001450.0,63575107
Индия,Индия,Новый Дели,Дели,3287590.0,952107694
Иран,Ярко-красный,Тегеран,Тегеран,1648000.0,66094264
Ирак,Ирак,Багдад,Багдад,437072.0,21422292
Япония,Привет! Как твои дела?,Токио,Токио,377835.0,125449703
Камбоджа,Здравствуйте! Как я могу вам помочь?,Пномпень,Камбоджа,181040.0,10861218
Казахстан,КАЗ,Алматы,Алматы (город),2717300.0,16916463
Малайзия,МАЛ,Кулау Лумпур,Федеральная территория Куала-Лумпур,329750.0,19962893
Мьянма,МЯ,Рангуны,Янгон,678500.0,45975625
Непал,НПЭП,Катманду,Непал,140800.0,22094033
Северная Корея,Нет,Пхеньян,Северная Корея,120540.0,23904124
Пакистан,ПК,Исламабад,Пакистан,803940.0,129275660
Россия,Р,Москва,Москва,17075200.0,148178487
Тайвань,RC,Тайбей,Тайвань,36179.0,21465881
Индонезия,Ри,Джакарта,Индонезия,1919440.0,206611600
Южная Корея,Рок,Сеул,Южная Корея,98480.0,45482291
Филиппины,РП,Маніла,Филиппины,299764.0,74480848
Саудовская Аравия,СА,Рияд,Саудовская Аравия,1960580.0,19409058
Сирия,Сир,Дамаск,Сирия,185180.0,15608648
Таиланд,А,Бангкок,Таиланд,514000.0,58851357
Китай,ТЖ,Пекин,Пекин (город),9596960.0,1210004956
Турция,Тр,Анкара,Анкара,780580.0,62484478
Узбекистан,Узб,Ташкент,Ташкент,447400.0,23418381
Вьетнам,"Да, я могу помочь вам с переводом с английского на русский язык. Пожалуйста, предоставьте текст, который вы хотите перевести.",Ханой,Вьетнам,329560.0,73976973
Иемен,Да,Санна,Иемен,527970.0,13483178
Сан-Томе и Принсипи,STP,Сан-Томе и Принсипи,Сан-Томе и Принсипи,1001.0,144128
Гернси,ГБГ,Сент-Питер-Порт,Гернси,194.0,62920
Гвинея,РГ,Конакри,Гвинея,245860.0,7411981
Буркина-Фасо,БФ,Уагадугу,Буркина-Фасо,274200.0,10623323
Мали,ММ,Бамако,Мали,1240000.0,9653261
Суринам,СМЕ,Парамарибо,Суринам,163270.0,436418
Словения,スロ,Любляна,Словения,20256.0,1951443
Соединенные Штаты Америки,США,Вашингтон,Колумбия,9372610.0,266476278
Намибия,НАМ,Виндхук,Намибия,825418.0,1677243
Маршальные острова,МХ,Маджуро,Маршальные острова,181.3,58363
Гаити,РХ,Порт-о-Пренс,Гаити,27750.0,6731539
Монголия,МНГ,Улан-Батор,Монголия,1565000.0,2496617
Лихтенштейн,ФЛ,Вадуз,Лихтенштейн,160.0,31122
Тринидад и Тобаго,ТТ,Порт-о-Спен,Тринидад и Тобаго,5130.0,1272385
Белоруссия,БЫ,Минск,Белоруссия,207600.0,10415973
Камерун,Камера,Яунде,Центр,475440.0,14261557
Гваделупа,ГУАД,Нижне-Терр,Гваделупа,1780.0,407768
Джибути,ДЖИ,Джибути,Джибути,22000.0,427642
