name,river,lake,sea,length,sourcelongitude,sourcelatitude,mountains,sourcealtitude,estuarylongitude,estuarylatitude
Ганг,,,Бугский залив,2511.0,79.5,30.5,,,90.0,22.0
Оранжевый,,,Атлантический океан,2160.0,28.5,-28.5,Дракенсберг,1800.0,16.4,-28.55
Рио Д'Эсагадо,,Поопо,,383.0,-69.0,-16.55,Андес,3812.0,-67.1,-18.55
Дюбс,Слон,,,453.0,6.2,46.7,Юра,937.0,5.0,46.9
Фульда,Везер,,,221.0,9.9,50.5,Роэн,850.0,9.65,51.4
Река Мерримак,,,Атлантический океан,177.0,-71.6,43.4,,,-70.8119,42.8194
Детройтская река,,Озеро Эри,,200.0,-82.6,42.1,,176.0,-82.2,43.0
Одер,,,Балтийское море,866.0,17.52,49.61,Сутьеты,634.0,14.59,53.6
Санга,Заир,,,530.0,15.0,6.0,,,17.0,-2.0
Лех,Дунай,,,264.0,10.0,47.17,Альпы,1840.0,10.93,48.73
Ворм,Аммер,Озеро Старсберг,,35.0,11.35,48.0,,596.0,11.5,48.3
Вера,Везер,,,292.0,10.96,50.5,Тюрингские горы,797.0,9.65,51.4
Раб,Дунай,,,250.0,15.52,47.35,Альпы,1150.0,17.63,47.69
Река Нельсон,,,Арктический океан,664.0,-97.97,52.77,,218.0,-92.33,57.15
Рио Сан-Хуан,,Озеро Манагуа,Карибское море,199.0,-85.35,11.6,,31.0,-83.7,10.9
Хванго,,,Желтое море,4845.0,96.2,35.3,,4500.0,119.14,37.74
Рио Лерма,,Озеро Чапала,Тихоокеанский океан,965.0,-99.0,19.0,,,-105.6,21.5
Чатанга,,,Сибирское море,1636.0,95.0,68.0,,,115.0,73.0
Днестр,,,Черное море,1352.0,23.0,49.0,Карпаты,1000.0,30.23,46.35
Шилка,Амур,,,560.0,111.0,49.8,,,121.48,53.33
Гётеэльв,,,Каттегат,93.0,12.34,58.4,,44.0,11.9,57.7
Эльба,,,Северное море,1091.0,15.54,50.78,Сутьеты,1.386,8.71,53.89
Эбро,,,Средиземное море,925.0,-4.37,43.0375,Кордильера-Кантабриа,1.6,0.5,40.8
Пибор,Со́бат,,,,,,,,,
Белый Дрин,Дрин,,,175.0,20.2,42.7,,,20.4,42.1
Волжский,,Каспийское море,,3531.0,33.0,57.0,Удалые холмы,,47.85,46.7333
Мурад,,Озеро Кебан,,720.0,44.1,39.55,Кurdистан,1950.0,38.75,38.8
Оунасйоки,Кемиджоки,,,300.0,23.8,68.6,,450.0,24.4,66.3
Чёрный Дрин,Дрин,,,133.0,20.7,41.0,,695.0,20.4,42.1
Висло,,,Балтийское море,1047.0,19.01,49.61,Бескиды,1100.0,18.95,54.36
Дуро,,,Атлантический океан,897.0,-3.0,42.0,Иберские горы,2160.0,-8.66,41.15
Люва,Луалаба,,,350.0,28.7,-9.0,Восточноафриканская рифтовая область,931.0,27.0,-7.0
Бому,Убанги,,,280.0,27.0,5.0,,,22.5,4.0
Март,Дунай,,,358.0,16.85,50.21,Сутьеты,1380.0,16.98,48.17
Илльер,Дунай,,,147.0,10.27,47.43,Альпы,783.0,9.97,48.38
Река Святого Лаврентия,,,Атлантический океан,1197.0,-76.55,44.2,,75.0,-64.8,49.6
Шабель,Юбба,,,1820.0,,,,,42.76,0.5
Семлики,,Озеро Сезо-Секо/Альберт-Зе,,230.0,29.6,-0.35,Восточноафриканская рифтовая область,920.0,30.9,1.7
Санага,,Барраж де Мбакау,Атлантический океан,918.0,,,,,9.65,3.55
Минчо,Поехали!,,,75.0,10.7,45.4,Альпы,65.0,10.95,45.1
Далаэлв,,,Балтийское море,520.0,15.1,60.7,,,17.2,60.7
Свир,,Оゼロ Ладьога,,224.0,35.49,60.99,,33.0,32.79,60.51
Лиммат,Ааре,,,36.3,8.64,47.23,,406.0,8.23631,47.5018
Уругвай,,,Атлантический океан,1790.0,-52.0,-27.5,,1800.0,-58.4,-33.9
Эннсы,Дунай,,,254.0,13.35,47.33,Альпы,1375.0,14.52,48.24
Юбба,,,Индийский океан,1658.0,,,,,42.7,-0.5
