mountain,country,province
Мт Вадсворт,КДН,Британская Колумбия
Тата-маилуа,"Да, я могу помочь с переводом. Пожалуйста, предоставьте текст для перевода.",Восточный Тимор
Пик Чань-Тенгри,КГЗ,Кыргызстан
Хотака-Даке,Привет! Как твои дела?,Гифу
Мармолада,я,Трентино-Альто-Адидже
Эльбрус,Р,Кабардино-Балкарийская Республика
К2,ПК,Пакистан
Снаефелл,"О""Б",Исландия
Молдову,Р,Браслав
Пик Эверест,ТЖ,Тибет
Рока де лос Мучахос,"Добро пожаловать в Coral! Я могу помочь вам перевести текст с английского на русский язык. Пожалуйста, предоставьте текст, который вы хотите перевести, и я с радостью предоставлю вам точный перевод.",Канари́ские о́рганы
Пико де Агуэхас Неджрас,БР,Рио-де-Жанейро
Чанганшань,Нет,Северная Корея
Пик Брода,ПК,Пакистан
Серро-Чирипо,КР,Лимон
Шнеекоппе,ПЛ,Валбжыско
Фельдберг,"I'm sorry, but I don't understand your request. Could you please clarify your question or provide additional context?",Баден-Вюртемберг
Силисили,Всемирный день,Самоа
Демир-Казик,Тр,Нигде
Гашербрум-2,ПК,Пакистан
Псилоритис,ГР,Крит
Царатанана,RМ,Анциранана
Ойос-дель-Саладо,А,Тукуманд
Мтерхорн,я,Валле-д'Аоста
Мусала,"Извините, но я не понимаю ваш запрос. Можете ли вы пояснить, что именно вы хотите от меня перевести?",Болгария
Дхаулагири,НПЭП,Непал
Маунт Митчелл,США,Северная Каролина
Кракатау,Ри,Индонезия
Монкайо,"Добро пожаловать в Coral! Я могу помочь вам перевести текст с английского на русский язык. Пожалуйста, предоставьте текст, который вы хотите перевести, и я с радостью предоставлю вам точный перевод.",Кастилия и Леон
Сабалан,Ярко-красный,Восточная Азербайджан
Кайамбе,ЭК,Эквадор
Илламимани,БОЛ,Боливия
Карисимби,РВА,Рwanda
Попоманасеву,SLБ,Острова Соломоновых
Кинокаву,МАЛ,Доброе утро! Как я могу вам помочь сегодня?
Морне Диабло́тины,WD,Доминиканская Республика
Церро-де-Пунта,ПР,Пуэрто-Рико
Невадо-де-Колима,Мексика,Халиско
