name,mountains,height,type,longitude,latitude
Пико,Азорские острова,2351.0,вулкан,-28.4,38.5
Джабаль Марра,Дарфур,3088.0,вулканический,24.6,13.0
Джабал-Лубнан,Ливан,3088.0,,36.1,34.3
Халеакала,Гавайи,3055.0,вулкан,-156.25,20.7
Джабал-Шуайб,,3760.0,,44.0,15.5
Меру,Восточноафриканская рифтовая область,4567.0,вулкан,36.8,-3.2
Монте-Цинто,Корсика,2706.0,,8.9,42.4
Гора Виктория,,1323.0,вулканический,178.0,-17.8
Мт Редаут,Алеутские горы,3108.0,вулкан,-152.75,60.5
Пожар,Кепуадорские острова,2829.0,вулкан,-24.4,14.95
Эми Кусси,Тибести,3415.0,вулкан,18.5,20.0
Суфриер-Хиллз,,1050.0,вулкан,-62.2,16.7
Маунт-Уитни,"Сьерра-Невада, Калифорния",4418.0,,-118.2,36.6
Кинокаву,,4101.0,гранит,116.5,6.1
Гора Богонг,Снежные горы,1986.0,,147.5,-37.0
Элгон,Восточноафриканская рифтовая область,4321.0,вулканический,34.55,1.1
Jezерце,Балкан,2694.0,,19.4,42.3
Борах-пик,Рыгкие горы,3859.0,,-113.8,44.1
Гранитовый пик,Рыгкие горы,3901.0,,-109.5,45.0
Пико-де-лос-Ньєвес,Канари́ские о́рганы,1949.0,вулкан,-15.6,25.95
Ампато,Андес,6288.0,вулкан,-71.9,-15.8
Нанга-Параб,Каракорум,8125.0,,74.6,35.2
Концепсьон,,1700.0,вулкан,-85.6,11.5
Ойос-дель-Саладо,Андес,6893.0,вулкан,-68.5,-27.1
Арарат,Кurdистан,5165.0,вулканический,44.3,39.7
Эль-Сири,,869.0,монолит,131.0,-25.3
Дхаулагири,Гималаи,8167.0,,83.5,28.7
Пико Христофор Колумбо,Сьерра-Невада-де-Санто-Марта,5775.0,,-73.7,10.85
Рувензори,Восточноафриканская рифтовая область,5109.0,,29.9,0.4
Тарье-кайз,,1850.0,,17.3,67.0
Ю Шань,,3950.0,,121.0,23.5
Хохголлинг,Альпы,2862.0,,13.75,47.3
Галдхеппиг,,2469.0,,8.0,61.4
Тубхал,Атлас,4165.0,,-8.0,31.0
Вехлер Пик,Рыгкие горы,4011.0,,-105.4,36.55
