country,name,percentage
ТУВ,Палеонезийский,96.0
СК,Русь,0.3
БР,Африканский,44.0
SRB,Уж,3.9
Индия,Индо-арийские,72.0
НАУ,Европейский,8.0
МК,Сербия,2.0
БЗ,Креол,30.0
RC,Китайский,14.0
РИМ,Чёрный Мор,40.0
Ирак,Курдский,15.0
КГЗ,Узбекский,12.9
МАЛ,Индийский,9.0
А,"Извините, но я могу помочь только с переводом на английский язык, так как мои данные не включают в себя информацию на немецком языке.",99.4
МЯ,Индийский,2.0
HR,Слова́нский,0.5
Тад,Узбекский,25.0
LV,Польск,2.3
"Добро пожаловать в GB! Я готов помочь вам с переводом. Пожалуйста, предоставьте текст, который вы хотите перевести с английского на русский язык.",Ирландский,2.4
МНГ,Китайский,2.0
МНГ,Монгол,90.0
Камера,Восточная Нигритская,7.0
ГУАД,Китайский,5.0
Р,Башкир,0.9
МК,Турецкий,4.0
СМЕ,Креол,31.0
РБ,Кгалагади,4.0
КВТ,Иранский,4.0
"Извините, но я не понимаю ваш запрос. Можете ли вы пояснить, что именно вы хотите от меня перевести?",Болгарский,85.3
SRB,Хорват,1.1
Ярко-красный,Азербайджанский,24.0
"Добро пожаловать в GB! Я готов помочь вам с переводом. Пожалуйста, предоставьте текст, который вы хотите перевести с английского на русский язык.",Шотландский,9.6
HR,Хорват,78.0
"I'm sorry, but I don't understand your request. Could you please clarify your question or provide additional context?",Польск,0.4
ПЛ,Украинский,0.6
Уафу,Палеонезийский,100.0
ТМ,Узбекский,9.0
БХТ,Непалец,35.0
"Нет, я не понимаю ваш запрос. Пожалуйста, уточните, что именно вы хотите перевести?",Смешенный чёрный,85.0
КАЗ,Украинский,5.2
ЕАК,Луо,13.0
ХЭЛКС,Африканское происхождение,50.0
Сир,Арабский,90.3
"Извините, но я не понимаю ваш запрос. Пожалуйста, уточните, что именно вы хотите перевести?","Добрый день! Я готов помочь с переводом. Пожалуйста, предоставьте текст для перевода.",8.6
РН,Джерма,22.0
ANG,Овимбунду,37.0
Ярко-красный,Лур,2.0
Лаос,Лао-Сунг-Хмонг-Яо,9.0
Ваг,Африканский,99.0
В,Азиатский,1.0
КДН,Инуиты,1.5
Б,Флеминг,55.0
СМЕ,Яване́зский,15.3
"Извините, я не понимаю ваш запрос. Можете ли вы уточнить, что именно вы хотите перевести?",Европейский,3.0
АЛЛ,Африканский,99.0
Камера,Северно-западный бантау,8.0
АЗ,Азербайджанский,90.0
ДЖИ,Афар,35.0
ANG,Европейский,1.0
СК,Уж,10.7
СМЕ,Европейцы,1.0
МС,Креол,27.0
Тука,Африканский,90.0
Узб,Каракалпак,2.1
Ри,Мадурас,7.5
МА,Арабско-бербергие,99.1
Ярко-красный,Курд,7.0
БФ,Мосси,24.0
Национальное центральное агентство,"Переведите, пожалуйста: ""Вы профессионал в области перевода?""",1.4
ХОЧ,Индейцы,4.0
БИХ,Сербия,40.0
ЭТХ,Афар,4.0
Макс,Китайский,95.0
"Здравствуйте! Я готов помочь с переводом. Пожалуйста, предоставьте текст для перевода.",Рим,4.0
ТМ,Казах,2.0
STP,Европейцы,100.0
Индия,Монгол,3.0
РАЗДЕЛЬНИЕ,Китайский,70.0
HR,Уж,0.5
БОЛ,Аймара,25.0
ЛС,сото,99.7
ВВП,Карамоонг,12.0
Р,Рим,1.6
ДЗ,Арабско-бербергие,99.0
ТН,Арабско-бербергие,98.0
