sea1,sea2
Северное море,Норвежское море
Атлантический океан,Индийский океан
Южная Китайская бухта,Море Сулауеси
Арктический океан,Сибирское море
Арктический океан,Баренцево море
Восточное Китайское море,Желтое море
Атлантический океан,Северное море
Каттегат,Скегеррак
Атлантический океан,Ирландское море
Арабское море,Гольф Стрит
Андаманское море,Малаккийский пролив
Андаманское море,Бугский залив
Гольф Стрит,Индийский океан
Тихоокеанский океан,Море Сулауеси
Северное море,Скегеррак
Восточное Китайское море,Ямское море
Тихоокеанский океан,Ямское море
Индийский океан,Тихоокеанский океан
Бэринг-Херринг-Зе,Тихоокеанский океан
Арабское море,Оманское море
Малаккийский пролив,Южная Китайская бухта
Атлантический океан,Мексиканский залив
Тихоокеанский океан,Охотское море
Бугский залив,Южное море
Балтийское море,Северное море
Восточное Китайское море,Тихоокеанский океан
