country,population_growth,infant_mortality
Мексика,1.87,25.0
СУД,3.48,76.0
Встречаемся,1.93,7.5
GКА,2.48,50.7
АХА,2.27,3.52
ХОЧ,-0.9,51.4
"Я готов помочь с переводом. Пожалуйста, предоставьте текст, который нужно перевести.",0.56,4.9
БИ,1.54,102.2
ЭМИРАТЫ АБРАРА,4.33,20.4
RSA,1.76,48.8
НОРФ,,
Ф,0.34,5.3
В,,
Макс,1.15,5.3
Тад,1.54,113.1
СМЕ,1.6,29.3
Камера,2.89,78.7
РТ,3.56,84.3
РГ,1.85,134.1
СМАР,,
Ри,1.53,63.1
ЕАК,2.27,55.3
РИМ,3.17,81.7
РВА,16.49,118.8
ЛБ,2.13,108.1
КДН,1.06,6.1
Привет! Как твои дела?,0.21,4.4
МOC,2.65,125.6
СА,3.45,46.4
САВ,2.46,145.82
STP,2.58,61.1
"Да, я могу помочь вам с переводом с английского на русский язык. Пожалуйста, предоставьте текст, который вы хотите перевести.",1.57,38.4
SN,3.37,64.0
В,1.41,72.8
БС,1.05,23.3
ТO,0.82,40.26
ФЛ,1.08,5.3
ГВАМ,1.37,6.05
C,0.44,9.0
ГР,0.42,7.4
ПР,0.34,8.42
АЛ,1.34,49.2
Газа,4.55,30.6
LV,-1.39,21.2
ПЛ,0.14,12.4
РЛ,2.16,36.7
Да,0.8,15.6
ФПОЛ,1.39,7.55
ОМ,3.53,27.3
М,1.01,6.9
ХАН,3.05,72.4
Лаос,2.81,96.8
Коко,,
Афг,4.78,149.7
"Добро пожаловать в Coral! Я могу помочь вам перевести текст с английского на русский язык. Пожалуйста, предоставьте текст, который вы хотите перевести, и я с радостью предоставлю вам точный перевод.",0.16,6.3
SRB,-0.47,6.75
БФ,2.53,117.8
Тука,2.56,13.89
