island,sea,lake,river
Увея,Тихоокеанский океан,,
Остров Саутхемптон,Арктический океан,,
Тринидад,Карибское море,,
Аланд,Балтийское море,,
Фальстер,Балтийское море,,
Сокотра,Индийский океан,,
Испания,Карибское море,,
Кангарийский остров,Индийский океан,,
Нордернхёй,Северное море,,
Панай,Море Сулауеси,,
Тутуйла,Тихоокеанский океан,,
Антигуа,Атлантический океан,,
Остров Принс-Эдвард,Атлантический океан,,
Сайпан,Тихоокеанский океан,,
Антигуа,Карибское море,,
Фонгафале,Тихоокеанский океан,,
Сан-Мигель,Атлантический океан,,
Куба,Карибское море,,
Хонсю,Тихоокеанский океан,,
Стремой,Норвежское море,,
Куба,Мексиканский залив,,
Сантьяго,Атлантический океан,,
Святой Томас,Атлантический океан,,
Свалбард,Арктический океан,,
Гернси,Канал,,
Ямайка,Карибское море,,
Куба,Атлантический океан,,
Сокотра,Гольф Стрит,,
Малые Каймановы острова,Карибское море,,
"Каймановы острова, Брец",Карибское море,,
Ниюэ,Тихоокеанский океан,,
Хайнань,Южная Китайская бухта,,
Джа́ва,Южное море,,
Хельгольд,Северное море,,
Бугенвиль,Тихоокеанский океан,,
Сент-Китс,Карибское море,,
Остров Мельвиль,Индийский океан,,
Саваи,Тихоокеанский океан,,
Остров Рене Левассера,,Озеро Маникагоан,
Монсерат,Атлантический океан,,
Северный Никос,Атлантический океан,,
Исландия,Норвежское море,,
Святая Мария,Атлантический океан,,
Форментера,Средиземное море,,
Амрун,Северное море,,
Суматра,Южное море,,
Гавайи,Тихоокеанский океан,,
Большой Тёрк,Атлантический океан,,
