country,continent,percentage
Афг,Азия,100.0
РАМ,Азия,100.0
АЗ,Азия,100.0
БД,Азия,100.0
БХТ,Азия,100.0
БРН,Азия,100.0
БРУ,Азия,100.0
КЛ,Азия,100.0
ET,Азия,10.0
Газа,Азия,100.0
GE,Азия,100.0
Хонекс,Азия,100.0
ЕЛ,Азия,100.0
Индия,Азия,100.0
Ярко-красный,Азия,100.0
Ирак,Азия,100.0
Привет! Как твои дела?,Азия,100.0
Хорошо. Что бы вы хотели перевести?,Азия,100.0
Здравствуйте! Как я могу вам помочь?,Азия,100.0
КАЗ,Азия,100.0
КГЗ,Азия,100.0
КВТ,Азия,100.0
Лаос,Азия,100.0
Макс,Азия,100.0
МАЛ,Азия,100.0
МНГ,Азия,100.0
МВ,Азия,100.0
МЯ,Азия,100.0
НПЭП,Азия,100.0
Нет,Азия,100.0
ОМ,Азия,100.0
ПК,Азия,100.0
A,Азия,100.0
Р,Азия,80.0
RC,Азия,100.0
Ри,Азия,80.0
РЛ,Азия,100.0
Рок,Азия,100.0
РП,Азия,100.0
СА,Азия,100.0
SGP,Азия,100.0
Сир,Азия,100.0
Тад,Азия,100.0
А,Азия,100.0
ТЖ,Азия,100.0
"Да, я могу помочь с переводом. Пожалуйста, предоставьте текст для перевода.",Азия,100.0
ТМ,Азия,100.0
Тр,Азия,95.0
ЭМИРАТЫ АБРАРА,Азия,100.0
Узб,Азия,100.0
"Да, я могу помочь вам с переводом с английского на русский язык. Пожалуйста, предоставьте текст, который вы хотите перевести.",Азия,100.0
