name,area,longitude,latitude
Ордос,90000.0,108.0,38.0
Атакама,181300.0,-69.25,-24.5
Симпсон-дезерт,176500.0,137.0,-25.0
Эрг Чеч,10000.0,-3.0,25.0
Развод,100000.0,6.0,17.0
Кораловый плато,337000.0,-110.0,36.0
Арабское пустыня,50000.0,26.0,33.0
Сагиа эль-Хамра,25000.0,-10.0,27.0
Баха-Калифорния-Дезерт,30000.0,-116.0,31.0
Великая сольная пустыня,10360.0,-114.0,41.0
Стурт-пустыня,13000.0,141.0,-29.0
Даште-Марго,40000.0,62.0,31.0
Фесан,300000.0,13.0,26.0
Такла-макан,300000.0,82.0,38.0
Даште-Кавир,77600.0,55.0,32.5
Эрг Ребяна,200000.0,22.0,23.0
Великий Западный эрог,200000.0,-1.0,30.0
Чихуахуа,360000.0,-105.0,31.0
Красный центр,1000000.0,135.0,-26.0
Кум Тагх,22000.0,92.0,40.0
Эрг Мактеир,40000.0,-11.0,22.0
Сирийский пустыня,518000.0,39.0,33.0
Эрг Исауан,80000.0,8.0,28.0
Ферло,70000.0,-14.0,15.0
Ливийский пустыня,1100000.0,,
Великий бассейн,300000.0,-117.0,38.0
Гоби,1000000.0,105.0,41.0
Каракум,400000.0,60.0,40.0
Намиб,95000.0,15.0,-25.0
Кысылкум,200000.0,65.0,44.0
Эрг Игиди,150000.0,-5.0,27.0
Дарфур,500000.0,27.0,15.0
Тенере,600000.0,11.0,18.0
Рын,80000.0,47.0,48.0
Тане́зруфт,160000.0,0.0,23.0
Хамада аль-Хамра,84000.0,12.0,30.0
Ригистан,25000.0,65.0,30.0
Эрди Эннеди,180000.0,22.0,18.0
Калахари,1200000.0,21.0,-22.0
Моява,57000.0,-115.2,36.2
Джураб,100000.0,18.0,17.0
Нефуд,78000.0,42.0,28.0
Эрг Уаране,80000.0,-11.0,21.0
Великая песчаная пустыня,360000.0,123.0,-20.0
