mountain,island
Керница,Суматра
Пик Джейя,Новая Гвинея
Питон д'Эсна,Перезапуск
Гора Виктория,Вити Леву
Питон де ла Фурнез,Перезапуск
Канаλον,Негрос
Гора Один,Остров Baffин
Циафаджавона,Мадагаскар
Гора Апо,Минданао
Гора Агу́н,Бали
Пеле,Мартиника
Кракатау,Кракатау
Мауна-Лоа,Гавайи
Рока де лос Мучахос,Ла-Пальма
Манталингай,Палау
Пик королевы Марии,Тристан да Куна
Суфриер-Хиллз,Монсерат
Пико-де-лос-Ньєвес,Гран-Канария
Рантэкомбола,Султавесси
Асаи-Дакэ,Хоккайдо
Гу́ни Бина́я,Церамика
Ла Суфриер,Нижне-Терр
Концепсьон,Остров Ометепе
Халеакала,Мауи
Ораефайёкюль,Исландия
Пожар,Пожар
Леусер,Суматра
Пико,Пико
Гора Блу-Маунтин,Ямайка
Пик Барбоу,Елсмерский остров
Семеру,Джа́ва
Тамбора,Сумбава
Ю Шань,Тайвань
Жима,Олхон
Пико-де-Тейде,Тенериффа
Пуло́г,Люзон
Бен-Невис,Великая Британия
Суфриер,Святой Винсент
Снаефелл,Исландия
Морне Диабло́тины,Доминиканская Республика
Руапеху,Тэ Ика-а-Мауи (Северный остров)
Ма́твой (Маврикий) Бебе́ль,Остров Рене Левассера
Псилоритис,Крете
Пико де Сан-Томе,Сан-Томе и Принсипи
Монте-Цинто,Корсика
Мерапи,Джа́ва
Олимпос,Кипр
Маунтин-Кук,Тэ Вака-а-Мауи (Южный остров)
Эта,Сицилия
Пинатубо,Люзон
Андрингитра,Мадагаскар
Мауна-Кеа,Гавайи
Церро-де-Пунта,Пуэрто-Рико
Кинокаву,Бали
Ринджани,Ломбок
Гилуве,Новая Гвинея
Гора Вильгельма,Новая Гвинея
Силисили,Саваи
Пико-Туркино,Куба
Тата-маилуа,Тимиор
Гора Балби,Бугенвиль
Попоманасеву,Гвадалахара
Пико Рувиу,Мэдейра
Пико Дуарте,Испания
Пико Бале,Биоко
Гора Орохена,Тахити
Царатанана,Мадагаскар
