lake,country,province
Озеро Виннипег,КДН,Манитоба
Озеро Тоба,Ри,Индонезия
Озеро Караби,Z,Южный
Озеро Тана,ЭТХ,Эфиопия
Озеро Маркайбо,YV,Триумфо
Каспийское море,Ярко-красный,Гилάν
Ваенерн,"Здравствуйте! Я готов помочь вам с переводом. Пожалуйста, предоставьте текст, который вы хотите перевести с английского на русский язык.",Варmlанд
Лоп Нор,ТЖ,Синджа
Чадское озеро,ХАН,Нигерия
Озеро Больчено,я,Лазио
Тунер озеро,ХХХХХХХХХХХХХХХХХХХХХХХХХХХХХХХ,БЕ
Лак Леман,ХХХХХХХХХХХХХХХХХХХХХХХХХХХХХХХ,"Извините, я не понимаю ваш запрос. Можете ли вы предоставить дополнительный контекст или уточнить ваше требование?"
Оаэ-Лейк,США,Северная Дакота
Озеро Гурон,КДН,Онтарио
Каспийское море,КАЗ,Атырау
Озеро Ньяса,РБ,Ботсвана
Лейк-Супериор,КДН,Онтарио
Озеро Браччано,я,Лазио
Озеро Байкал,Р,Иркутская область
Лак Леман,ХХХХХХХХХХХХХХХХХХХХХХХХХХХХХХХ,GE
Озеро Кебан,Тр,Тунцелий
Озеро Танганьика,БИ,Буруанди
Озеро Мичиган,США,Иллинойс
Оゼロ Балчаш,КАЗ,Жезказган
Озеро Бусумтви,ГГ,Гана
Верастаттнер-Зе,ХХХХХХХХХХХХХХХХХХХХХХХХХХХХХХХ,АВ
Озеро Ирасу,КР,Карфаген
Озеро Орихид,МК,Македония
Озеро Гезери,ЕЛ,Север
Озеро Атлин,КДН,Якуунский регион
Сайма,SF,Кими
Хамун е Джаз Муриан,Ярко-красный,Керман
Цюрихское озеро,ХХХХХХХХХХХХХХХХХХХХХХХХХХХХХХХ,Ш
Озеро Гарда,я,Венето
Океан-Лейк,США,Флорида
Озеро Сезо-Секо/Альберт-Зе,ВВП,Уганда
Озеро Гурон,США,Мичиган
Озеро Онежское,Р,Вологодская область
Верастаттнер-Зе,ХХХХХХХХХХХХХХХХХХХХХХХХХХХХХХХ,НВ
Оаэ-Лейк,США,Южная Дакота
Мёртвое море,Запад,Западный берег реки Иордан
Озеро Чанка,Р,Приморский край
Арресо,ДК,Дания
Озеро Натрон,ЕДЬ,Аруша
Чев Бахир,ЕАК,Восточный
Поопо,БОЛ,Боливия
Пайяянне,SF,финский
Озеро Эри,США,ОХио
Лак Леман,ХХХХХХХХХХХХХХХХХХХХХХХХХХХХХХХ,В
Озеро Гарда,я,Ломбардия
Озеро Чамплейн,КДН,Квебек
Пирамидное озеро,США,Невада
Озеро Виктория,ВВП,Уганда
Чадское озеро,РН,Нигер
Озеро Караби,В,Зимбабве
Хамун е Джаз Муриан,Ярко-красный,Систан и Балучистан
Озеро Танганьика,ЕДЬ,Табора
Озеро Аббе,ДЖИ,Джибути
Лагуна-Мар-Кихита,А,Кордоба
Озеро Малави,ЕДЬ,Иринг
Чадское озеро,ТЧ,Чад
Озеро Турнкайна,ЕАК,Восточный
Кратер-Лейк,США,Орегон
Мёса-Сее,"Да, я могу помочь вам с переводом. Пожалуйста, предоставьте текст, который вы хотите перевести с английского на русский язык.",Хедемарк
Озеро Эри,США,Мичиган
