country1,country2,length
"Да, я могу помочь вам с переводом. Пожалуйста, предоставьте текст, который вы хотите перевести с английского на русский язык.","Здравствуйте! Я готов помочь вам с переводом. Пожалуйста, предоставьте текст, который вы хотите перевести с английского на русский язык.",1619.0
РАМ,АЗ,787.0
Камера,ХАН,1690.0
Кос,МК,159.0
GКА,ХАКа,256.0
БОЛ,RЧ,861.0
Ирак,Хорошо. Что бы вы хотели перевести?,181.0
"Добро пожаловать в Coral! Я могу помочь вам перевести текст с английского на русский язык. Пожалуйста, предоставьте текст, который вы хотите перевести, и я с радостью предоставлю вам точный перевод.",П,1214.0
ET,СУД,1273.0
ДЗ,РИМ,463.0
БЫ,ПЛ,605.0
Р,SRB,476.0
"Здравствуйте! Я готов помочь с переводом. Пожалуйста, предоставьте текст для перевода.",Р,443.0
СК,UKР,90.0
ДЗ,РН,956.0
Ярко-красный,ПК,909.0
ЕАК,Спасибо.,682.0
МЯ,ТЖ,2185.0
Афг,ТЖ,76.0
A,СА,60.0
ПЛ,СК,444.0
Ф,МР,4.4
АВТОСЛАВ,ЗРЕ,1577.0
ММ,SN,419.0
ЕДЬ,ЗРЕ,459.0
АЛ,Кос,112.0
ЕАК,ВВП,933.0
"Извините, но я не понимаю ваш запрос. Можете ли вы пояснить, что именно вы хотите от меня перевести?",МК,148.0
КР,Ничего.,309.0
ПК,ТЖ,523.0
СУД,ЗРЕ,628.0
ГНБ,РГ,386.0
ДЖИ,Спасибо.,58.0
"Извините, но я не понимаю ваш запрос. Пожалуйста, уточните, что именно вы хотите перевести?",ПЛ,91.0
ЦИ,РГ,610.0
БФ,РТ,126.0
МД,Р,450.0
"Твоя просьба неясна. Пожалуйста, уточните ваш запрос на перевод, и я буду рад помочь вам.",Р,290.0
ЕДЬ,МВ,475.0
Нет,ТЖ,1416.0
МНЕ,SRB,124.0
ET,Газа,11.0
КГЗ,Узб,1099.0
RSA,В,225.0
ЦИ,ММ,532.0
ГНБ,SN,338.0
RSA,"Извините, я не понимаю ваш запрос. Можете ли вы уточнить, что именно вы хотите перевести?",430.0
КАЗ,КГЗ,1051.0
Индия,МЯ,1463.0
Афг,Узб,137.0
БИХ,HR,932.0
БР,Роу,985.0
Ирак,Сир,605.0
ДЗ,МА,1559.0
БЗ,Мексика,250.0
НАМ,Z,233.0
А,"I'm sorry, but I don't understand your request. Could you please clarify your question or provide additional context?",784.0
АЗ,Р,284.0
БОЛ,БР,3400.0
Лаос,МЯ,235.0
Тад,ТЖ,414.0
"I'm sorry, but I don't understand your request. Could you please clarify your question or provide additional context?",ПЛ,456.0
ЕДЬ,ВВП,396.0
Афг,ПК,2430.0
РГ,ММ,858.0
РИМ,ММ,2237.0
Бен,БФ,306.0
КГЗ,ТЖ,858.0
А,Роу,579.0
СА,ЭМИРАТЫ АБРАРА,457.0
А,"Здравствуйте! Я готов помочь с переводом. Пожалуйста, предоставьте текст для перевода.",366.0
Чешская Республика,"I'm sorry, but I don't understand your request. Could you please clarify your question or provide additional context?",646.0
