country,target
Национальное центральное агентство,Христиан
ХОЧ,Христиан
ВИРГ,Христиан
Привет! Как твои дела?,нехристианин
АЛ,нехристианин
Б,Христиан
РИМ,нехристианин
РГ,нехристианин
РЛ,нехристианин
ТТ,Христиан
ДК,Христиан
КР,Христиан
МНЕ,Христиан
ЕАК,Христиан
"Извините, но я не понимаю ваш запрос. Можете ли вы пояснить, что именно вы хотите от меня перевести?",Христиан
ХАН,нехристианин
РКБ,Христиан
ТЖ,нехристианин
GE,Христиан
Хорошо. Что бы вы хотели перевести?,нехристианин
Лаос,нехристианин
СК,Христиан
ТН,нехристианин
ТМ,нехристианин
БРН,нехристианин
РН,нехристианин
ЦИ,нехристианин
ПЭ,Христиан
ЛАР,нехристианин
ГНБ,нехристианин
"Пожалуйста, предоставьте текст для перевода.",Христиан
ГУАД,Христиан
RМ,Христиан
РАМ,Христиан
ЭК,Христиан
Камера,Христиан
"I'm sorry, but I don't understand your request. Could you please clarify your question or provide additional context?",Христиан
МС,нехристианин
ТO,Христиан
КАЗ,нехристианин
GBZ,Христиан
ВУ,Христиан
РХ,Христиан
SF,Христиан
RC,нехристианин
АЛЛ,нехристианин
АЗ,нехристианин
М,Христиан
Индия,нехристианин
Да,Христиан
ЛС,Христиан
АΝД,Христиан
"Здравствуйте! Я готов помочь с переводом. Пожалуйста, предоставьте текст для перевода.",Христиан
БЫ,Христиан
БОЛ,Христиан
ЭМИРАТЫ АБРАРА,нехристианин
МК,Христиан
А,Христиан
Узб,нехристианин
YV,Христиан
БЕРМ,Христиан
Тад,нехристианин
Резюме,Христиан
Ваг,нехристианин
Сир,нехристианин
Цы,Христиан
БИХ,нехристианин
САВ,нехристианин
АХА,Христиан
Фиджи,Христиан
ЛБ,нехристианин
МА,нехристианин
ET,нехристианин
スロ,Христиан
МOC,Христиан
КВТ,нехристианин
БРУ,нехристианин
ФПОЛ,Христиан
БР,Христиан
МВ,Христиан
"Добро пожаловать в Coral! Я могу помочь вам перевести текст с английского на русский язык. Пожалуйста, предоставьте текст, который вы хотите перевести, и я с радостью предоставлю вам точный перевод.",Христиан
НПЭП,нехристианин
