name,depth
Баренцево море,32.0
Арабское море,5203.0
Желтое море,200.0
Северное море,200.0
Норвежское море,3860.0
Бугский залив,4045.0
Красный океан,2635.0
Бэринг-Херринг-Зе,4096.0
Средиземное море,5121.0
Атлантический океан,9219.0
Балтийское море,459.0
Тихоокеанский океан,11034.0
Море Азовское,100.0
Скегеррак,725.0
Канал,175.0
Южное море,7440.0
Оманское море,3350.0
Мексиканский залив,4375.0
Южная Китайская бухта,5420.0
Ямское море,4036.0
Малаккийский пролив,104.0
Бейكالская озера,4694.0
Море Сулауеси,6218.0
Ирландское море,272.0
Андаманское море,3113.0
Гольф Стрит,5143.0
Охотское море,3372.0
Черное море,2211.0
Карибское море,7240.0
Восточное Китайское море,2370.0
Индийский океан,6400.0
Арктический океан,5608.0
Персидский залив,102.0
Каттегат,94.0
Сибирское море,540.0
