river,country,province
Его,Ф,Бургундия
Парагвай,БР,Мату-Гросу
Салзак,А,Зальцбург
Хванго,ТЖ,Цзинь-ань
Рио Сан-Хуан,Ничего.,Никарагуа
Оулуджоки,SF,Ульо
Убанги,ЗРЕ,Экватор
Миссури,США,Монтана
Эшч,я,Трентино-Альто-Адидже
Бому,ЗРЕ,Верхняя Заир
Тьорса,"О""Б",Исландия
Эннсы,А,Верхняя Австрия
Река Мерримак,США,Нью-Гэмпшир
Гамбия,РГ,Гвинея
Луара,Ф,Рон-Альпы
Аргун,ТЖ,Хэйлунцзян
Тоболь,Р,Оренбургская область
Колумбийская река,КДН,Британская Колумбия
Адда,я,Ломбардия
Ираванна,ТЖ,Тибет
Эннсы,А,Нижняя Австрия
Дуро,"Добро пожаловать в Coral! Я могу помочь вам перевести текст с английского на русский язык. Пожалуйста, предоставьте текст, который вы хотите перевести, и я с радостью предоставлю вам точный перевод.",Кастилия и Леон
Лиммат,ХХХХХХХХХХХХХХХХХХХХХХХХХХХХХХХ,"Здравствуйте! Я могу помочь с переводом. Пожалуйста, предоставьте текст для перевода."
Дюбс,Ф,Франш-Конте
Марн,Ф,Шампань-Арденн
Акагера,РВА,Рwanda
Ворм,"I'm sorry, but I don't understand your request. Could you please clarify your question or provide additional context?",Бавария
Дроа,я,Трентино-Альто-Адидже
Свир,Р,Ленинградская область
Фульда,"I'm sorry, but I don't understand your request. Could you please clarify your question or provide additional context?",Гессен
Далаэлв,"Здравствуйте! Я готов помочь вам с переводом. Пожалуйста, предоставьте текст, который вы хотите перевести с английского на русский язык.",Даларна
Одер,Чешская Республика,Североморовский
Гломма,"Да, я могу помочь вам с переводом. Пожалуйста, предоставьте текст, который вы хотите перевести с английского на русский язык.",Сёр Трондалаг
Пецчора,Р,Республика Коми
Умеаэльв,"Здравствуйте! Я готов помочь вам с переводом. Пожалуйста, предоставьте текст, который вы хотите перевести с английского на русский язык.",Вастерботтен
Амударджа,Тад,Хатлён
Лукение,ЗРЕ,Восточный Касай
Иордания,РЛ,Ливан
Альц,"I'm sorry, but I don't understand your request. Could you please clarify your question or provide additional context?",Бавария
Аммер,"I'm sorry, but I don't understand your request. Could you please clarify your question or provide additional context?",Бавария
Мурад,Тр,Агри
Кванго,ANG,Мала́нж
Алягэну-река,США,Пенсильвания
Рио-Негро,КО,Гвайняя
Евфрат,Тр,Малатия
Теннесси,США,Северная Каролина
