island,country,province
Панора,я,Кальяри
Питкерн,ПИТЦ,Питкэрнские острова
Увея,Уафу,Вали и Футуна
Олхон,Р,Республика Бурятия
Лунди,"Добро пожаловать в GB! Я готов помочь вам с переводом. Пожалуйста, предоставьте текст, который вы хотите перевести с английского на русский язык.",Дэвон
Тутуйла,АМСА,Американская Самоа
Лейт,РП,Филиппины
Испания,РХ,Гаити
Эфате,ВУ,Вануат
Кракатау,Ри,Индонезия
Пулл-Ланге,Коко,Кокосовые острова
Остров принца Уэльского,КДН,Северо-Западные территории
Тобаго,ТТ,Тринидад и Тобаго
Великая Британия,"Добро пожаловать в GB! Я готов помочь вам с переводом. Пожалуйста, предоставьте текст, который вы хотите перевести с английского на русский язык.",Шропшир
Сокотра,Да,Иемен
Сантьяго,Резюме,Кабо-Верде
Лефкада,ГР,Ионийские острова
Вулкано,я,Кальяри
Биоко,ГВ,Экваториальная Гвинея
Оркнейский материк,"Добро пожаловать в GB! Я готов помочь вам с переводом. Пожалуйста, предоставьте текст, который вы хотите перевести с английского на русский язык.",Оркнейские острова
Куба,C,Гольчин
Ямайка,Да,Ямайка
Лампедуза,я,Сицилия
"Каймановы острова, Брец",Кайм,Каймановы острова
Хонсю,Привет! Как твои дела?,Фукусима
Остров Принс-Эдвард,КДН,Остров Принс-Эдвард
Готланд,"Здравствуйте! Я готов помочь вам с переводом. Пожалуйста, предоставьте текст, который вы хотите перевести с английского на русский язык.",Готланд
Тайвань,RC,Тайвань
Лонг-Айленд,США,Нью-Йорк
Великая Британия,"Добро пожаловать в GB! Я готов помочь вам с переводом. Пожалуйста, предоставьте текст, который вы хотите перевести с английского на русский язык.",Северный Йоркшир
Маяте,МАО,Маяте
Остров Baffин,КДН,Северо-Западные территории
Батам,Ри,Индонезия
Гренада,ВГ,Гренада
Ванкувер-Айленд,КДН,Британская Колумбия
Великая Британия,"Добро пожаловать в GB! Я готов помочь вам с переводом. Пожалуйста, предоставьте текст, который вы хотите перевести с английского на русский язык.",Кумбрия
Тахити,ФПОЛ,Французская Полинезия
Тимиор,Ри,Индонезия
Великая Британия,"Добро пожаловать в GB! Я готов помочь вам с переводом. Пожалуйста, предоставьте текст, который вы хотите перевести с английского на русский язык.",Бридженд
Великая Британия,"Добро пожаловать в GB! Я готов помочь вам с переводом. Пожалуйста, предоставьте текст, который вы хотите перевести с английского на русский язык.",Чешир
Гуам,ГВАМ,Гуам
Южный Андаманский остров,Индия,Андаманские и Никобарские острова
Остров Норфолк,НОРФ,Остров Норфолк
Хонсю,Привет! Как твои дела?,Нара
Тенериффа,"Добро пожаловать в Coral! Я могу помочь вам перевести текст с английского на русский язык. Пожалуйста, предоставьте текст, который вы хотите перевести, и я с радостью предоставлю вам точный перевод.",Канари́ские о́рганы
Кангарийский остров,Австралия,Южный Австралия
Хоккайдо,Привет! Как твои дела?,Хоккайдо
Форментера,"Добро пожаловать в Coral! Я могу помочь вам перевести текст с английского на русский язык. Пожалуйста, предоставьте текст, который вы хотите перевести, и я с радостью предоставлю вам точный перевод.",Балеарские острова
Хонсю,Привет! Как твои дела?,Яманаси
Бохоль,РП,Филиппины
Шикоку,Привет! Как твои дела?,Кагава
Большой Комор,КОМ,Коморские Острова
Хонсю,Привет! Как твои дела?,Ибарки
Хонсю,Привет! Как твои дела?,Тоучи
Тимиор,"Да, я могу помочь с переводом. Пожалуйста, предоставьте текст для перевода.",Восточный Тимор
Великая Британия,"Добро пожаловать в GB! Я готов помочь вам с переводом. Пожалуйста, предоставьте текст, который вы хотите перевести с английского на русский язык.",Каерпилли
Остров Уайт,"Добро пожаловать в GB! Я готов помочь вам с переводом. Пожалуйста, предоставьте текст, который вы хотите перевести с английского на русский язык.",Остров Уайт
Рюм,"Добро пожаловать в GB! Я готов помочь вам с переводом. Пожалуйста, предоставьте текст, который вы хотите перевести с английского на русский язык.",Высокогорье
Великая Британия,"Добро пожаловать в GB! Я готов помочь вам с переводом. Пожалуйста, предоставьте текст, который вы хотите перевести с английского на русский язык.",Центральный
Боркум,"I'm sorry, but I don't understand your request. Could you please clarify your question or provide additional context?",Нижняя Саксония
Великая Британия,"Добро пожаловать в GB! Я готов помочь вам с переводом. Пожалуйста, предоставьте текст, который вы хотите перевести с английского на русский язык.",Нортгемптоншир
Южный Ронсдейл,"Добро пожаловать в GB! Я готов помочь вам с переводом. Пожалуйста, предоставьте текст, который вы хотите перевести с английского на русский язык.",Оркнейские острова
Великая Британия,"Добро пожаловать в GB! Я готов помочь вам с переводом. Пожалуйста, предоставьте текст, который вы хотите перевести с английского на русский язык.",Норфолк
Остров Сан-Клементе,США,Калифорния
Мадагаскар,RМ,Толияра
Великая Британия,"Добро пожаловать в GB! Я готов помочь вам с переводом. Пожалуйста, предоставьте текст, который вы хотите перевести с английского на русский язык.",Высокогорье
Тортола,БВИР,Британские Виргинские острова
Елсмерский остров,КДН,Северо-Западные территории
Корфу,ГР,Ионийские острова
Хонсю,Привет! Как твои дела?,Ямагата
Гвадалахара,SLБ,Острова Соломоновых
Святая Мария,П,Азорские острова
Шикоку,Привет! Как твои дела?,Эхиме
