sea,country,province
Балтийское море,"Извините, но я не понимаю ваш запрос. Пожалуйста, уточните, что именно вы хотите перевести?",Литва
Балтийское море,"Здравствуйте! Я готов помочь вам с переводом. Пожалуйста, предоставьте текст, который вы хотите перевести с английского на русский язык.",Вастерботтен
Тихоокеанский океан,Австралия,Виктория
Скегеррак,"Да, я могу помочь вам с переводом. Пожалуйста, предоставьте текст, который вы хотите перевести с английского на русский язык.",Осло
Скегеррак,"Здравствуйте! Я готов помочь вам с переводом. Пожалуйста, предоставьте текст, который вы хотите перевести с английского на русский язык.",Готеборг и Бохус
Атлантический океан,"Добро пожаловать в GB! Я готов помочь вам с переводом. Пожалуйста, предоставьте текст, который вы хотите перевести с английского на русский язык.",Северная Ирландия
Северное море,Ф,Северный Париж
Ямское море,Привет! Как твои дела?,Сага
Атлантический океан,ТТ,Тринидад и Тобаго
Желтое море,Рок,Южная Корея
Индийский океан,Да,Иемен
Тихоокеанский океан,Привет! Как твои дела?,Чиба
Норвежское море,"О""Б",Исландия
Тихоокеанский океан,ХАКа,Хольютека
Атлантический океан,СМАР,Сент-Мартин
Атлантический океан,БР,Сан-Паулу
Черное море,Тр,Сакарья
Ямское море,Привет! Как твои дела?,Тоттори
Желтое море,ТЖ,Шаньдун
Южная Китайская бухта,SGP,Сингапур
