name,country,population,area,capital,capprov
Зелень,"Я готов помочь с переводом. Пожалуйста, предоставьте текст, который нужно перевести.",365846,1791.0,Миддлбург,Зелень
Лижь,Б,1006081,3862.0,Лижь,Лижь
Керман,Ярко-красный,1862542,179916.0,Керман,Керман
Путумаго,КО,174219,24885.0,Мока,Путумаго
Дарфур,СУД,3093699,508684.0,Аль-Фашер,Дарфур
Пест,"Здравствуйте! Я готов помочь с переводом. Пожалуйста, предоставьте текст для перевода.",957900,6394.0,Будапешт,Будапешт (город)
Пернамбуку,БР,7404559,98937.0,Ресиф,Пернамбуку
Нэй-Монг,ТЖ,22600000,1183000.0,Хохот,Нэй-Монг
Филиппины,РП,74480848,,Маніла,Филиппины
Пермский край,Р,3009400,160600.0,Пرم,Пермский край
Эль-Минуфия,ET,2449000,1532.0,Шибин-эль-Ком,Эль-Минуфия
Латвия,LV,2468982,,Рига,Латвия
Сёр Трондалаг,"Да, я могу помочь вам с переводом. Пожалуйста, предоставьте текст, который вы хотите перевести с английского на русский язык.",246824,,Тронхейм,Сёр Трондалаг
Хамадан,Ярко-красный,1651320,19784.0,Хамадан,Хамадан
Западный Касай,ЗРЕ,3465756,156967.0,Кана́нга,Западный Касай
Вирджиния,США,6733996,105586.0,Ричмонд,Вирджиния
Хуанко,ПЭ,722669,36938.0,Хуанко,Хуанко
Акерсхус,"Да, я могу помочь вам с переводом. Пожалуйста, предоставьте текст, который вы хотите перевести с английского на русский язык.",393217,,Осло,Осло
БЛ,ХХХХХХХХХХХХХХХХХХХХХХХХХХХХХХХ,252331,517.0,Лиесталь,БЛ
Сирт,Тр,243435,5406.0,Сирт,Сирт
Пиауй,БР,2676098,252378.0,Тересина,Пиауй
Ваупес,КО,26178,65268.0,Миту,Ваупес
Курская область,Р,1346900,29800.0,Курск,Курская область
Нара,Привет! Как твои дела?,1430862,3692.0,Нара,Нара
Страна Басков,"Добро пожаловать в Coral! Я могу помочь вам перевести текст с английского на русский язык. Пожалуйста, предоставьте текст, который вы хотите перевести, и я с радостью предоставлю вам точный перевод.",2075561,7235.0,Витория-Гастеис,Страна Басков
Жамбыл,КАЗ,1039600,144300.0,Жамбыл,Жамбыл
Хедемарк,"Да, я могу помочь вам с переводом. Пожалуйста, предоставьте текст, который вы хотите перевести с английского на русский язык.",186355,,Хамар,Хедемарк
Мэриленд,США,5094289,27091.0,Аннаполис,Мэриленд
Бермудские острова,БЕРМ,67837,,Хамилитон,Бермудские острова
Согн и Фьюранте,"Да, я могу помочь вам с переводом. Пожалуйста, предоставьте текст, который вы хотите перевести с английского на русский язык.",106116,,Германсверк,Согн и Фьюранте
Браганка,П,158300,6608.0,Браганка,Браганка
Сага,Привет! Как твои дела?,884316,2433.0,Сага,Сага
Акмолла,КАЗ,845700,92000.0,Акмолла,Акмолла
Прахова,Р,877000,4694.0,Плоешти,Прахова
Маяте,МАО,223765,,Мамутжу,Маяте
Долг,Р,772000,7413.0,Крайова,Долг
Коморские Острова,КОМ,569237,,Морони,Коморские Острова
Калараси,Р,351000,5075.0,Калараси,Калараси
Республика Altay,Р,201600,92600.0,Горно-Алтайск,Республика Altay
Новгородская область,Р,742600,55300.0,Новгород,Новгородская область
Диала,Ирак,955112,19076.0,Бакубах,Диала
Замойские,ПЛ,490800,6980.0,Замоск,Замойские
Лунда-Сул,ANG,155000,56985.0,Сауримо,Лунда-Сул
Дيورбель,SN,619700,4359.0,Дيورбель,Дيورбель
Плокки,ПЛ,518600,5117.0,Плок,Плокки
Французская Гвинея,ФГУ,151187,,Пеппер,Французская Гвинея
Кувейт,КВТ,1950047,,Кувейт,Кувейт
Блэкинге,"Здравствуйте! Я готов помочь вам с переводом. Пожалуйста, предоставьте текст, который вы хотите перевести с английского на русский язык.",151168,2941.0,Карлскрана,Блэкинге
Аомори,Привет! Как твои дела?,1481663,9619.0,Аомори,Аомори
Осло,"Да, я могу помочь вам с переводом. Пожалуйста, предоставьте текст, который вы хотите перевести с английского на русский язык.",449337,,Осло,Осло
Кена,ET,2493000,1851.0,Кена,Кена
Новая Мексика,США,1729751,314925.0,Сан-Фе,Новая Мексика
Прованс,Б,2253794,3358.0,Брюссель,Прованс
Северная Кванза,ANG,378000,24110.0,Ндалатандо,Северная Кванза
