city,province,country,river,lake,sea
Эрьζούрум,Эрьζούрум,Тр,Карасу,,
Хуалиен,Тайвань,RC,,,Тихоокеанский океан
Лаппеенранта,Кими,SF,,Сайма,
Актау,Мангышлак,КАЗ,,Каспийское море,
Пьяченца,Эмилия-Романья,я,Поехали!,,
Устойчивость,Чако,А,Парана,,
Каназа,Ишикава,Привет! Как твои дела?,,,Ямское море
Колвин-Бей,Аберконви и Колвин,"Добро пожаловать в GB! Я готов помочь вам с переводом. Пожалуйста, предоставьте текст, который вы хотите перевести с английского на русский язык.",,,Ирландское море
Пусан,Южная Корея,Рок,,,Ямское море
Дуглас,Человек,ГBM,,,Ирландское море
Езжа,Езжа,ET,Нил,,
Маніла,Филиппины,РП,,,Южная Китайская бухта
Рабат,Марокко,МА,,,Атлантический океан
Квебек,Квебек,КДН,Река Святого Лаврентия,,
Багдад,Багдад,Ирак,Тигр,,
Гвадалахара,Халиско,Мексика,Рио Лерма,,
Малахал,Аали и Нил,СУД,Белый Нил,,
Шарлоттауэлл,Остров Принс-Эдвард,КДН,,,Атлантический океан
Хаммерфест,Финнмарк,"Да, я могу помочь вам с переводом. Пожалуйста, предоставьте текст, который вы хотите перевести с английского на русский язык.",,,Баренцево море
Дедедо,Гуам,ГВАМ,,,Тихоокеанский океан
Баффало,Нью-Йорк,США,,Озеро Эри,
Приятно!,"Провенс, Кот-д'Азур",Ф,,,Средиземное море
Братислава,Словакия,СК,Дунай,,
Ульм,Баден-Вюртемберг,"I'm sorry, but I don't understand your request. Could you please clarify your question or provide additional context?",Дунай,,
Кастельон-де-ла-Плана,Валенсия,"Добро пожаловать в Coral! Я могу помочь вам перевести текст с английского на русский язык. Пожалуйста, предоставьте текст, который вы хотите перевести, и я с радостью предоставлю вам точный перевод.",,,Средиземное море
Таунсвилл,Квинсленд,Австралия,,,Тихоокеанский океан
Адамстاون,Питкэрнские острова,ПИТЦ,,,Тихоокеанский океан
Сент-Питер-Порт,Гернси,ГБГ,,,Канал
Ванкувер,Британская Колумбия,КДН,,,Тихоокеанский океан
Кобленц,Рейн-Рурский регион,"I'm sorry, but I don't understand your request. Could you please clarify your question or provide additional context?",Мёзель,,
Хартум,אל-Хартум,СУД,Нил,,
Тегал,Индонезия,Ри,,,Южное море
Джибути,Джибути,ДЖИ,,,Гольф Стрит
Кампече,Кампече,Мексика,,,Мексиканский залив
