statement_no,member_no,statement_dt,due_dt,statement_amt,statement_code
1700,1700,1999-08-13T00:00:00,1999-09-02T00:00:00,4151.0,
1866,1866,1999-08-13T00:00:00,1999-09-02T00:00:00,3748.0,
3516,3516,1999-08-13T00:00:00,1999-09-02T00:00:00,506.0,
5984,5984,1999-08-13T00:00:00,1999-09-02T00:00:00,3833.0,
5996,5996,1999-08-13T00:00:00,1999-09-02T00:00:00,14647.0,
6050,6050,1999-08-13T00:00:00,1999-09-02T00:00:00,4087.0,
6927,6927,1999-08-13T00:00:00,1999-09-02T00:00:00,6951.0,
7716,7716,1999-08-13T00:00:00,1999-09-02T00:00:00,15337.0,
7741,7741,1999-08-13T00:00:00,1999-09-02T00:00:00,26290.0,
8016,8016,1999-08-13T00:00:00,1999-09-02T00:00:00,33512.0,
8278,8278,1999-08-13T00:00:00,1999-09-02T00:00:00,22019.0,
8450,8450,1999-08-13T00:00:00,1999-09-02T00:00:00,18815.0,
8775,8775,1999-08-13T00:00:00,1999-09-02T00:00:00,19251.0,
9049,9049,1999-08-13T00:00:00,1999-09-02T00:00:00,37219.0,
9083,9083,1999-08-13T00:00:00,1999-09-02T00:00:00,26687.0,
9150,9150,1999-08-13T00:00:00,1999-09-02T00:00:00,40101.0,
9182,9182,1999-08-13T00:00:00,1999-09-02T00:00:00,22752.0,
9209,9209,1999-08-13T00:00:00,1999-09-02T00:00:00,31935.0,
9224,9224,1999-08-13T00:00:00,1999-09-02T00:00:00,26799.0,
9265,9265,1999-08-13T00:00:00,1999-09-02T00:00:00,53185.0,
9389,9389,1999-08-13T00:00:00,1999-09-02T00:00:00,33485.0,
9467,9467,1999-08-13T00:00:00,1999-09-02T00:00:00,29463.0,
9557,9557,1999-08-13T00:00:00,1999-09-02T00:00:00,37537.0,
9685,9685,1999-08-13T00:00:00,1999-09-02T00:00:00,37502.0,
9754,9754,1999-08-13T00:00:00,1999-09-02T00:00:00,35476.0,
9815,9815,1999-08-13T00:00:00,1999-09-02T00:00:00,39770.0,
9875,9875,1999-08-13T00:00:00,1999-09-02T00:00:00,45811.0,
9984,9984,1999-08-13T00:00:00,1999-09-02T00:00:00,67051.0,
9992,9992,1999-08-13T00:00:00,1999-09-02T00:00:00,56586.0,
12466,2466,1999-09-13T00:00:00,1999-10-03T00:00:00,5648.0,
13252,3252,1999-09-13T00:00:00,1999-10-03T00:00:00,1745.0,
13546,3546,1999-09-13T00:00:00,1999-10-03T00:00:00,550.0,
13777,3777,1999-09-13T00:00:00,1999-10-03T00:00:00,12044.0,
