season,daynum,wteam,wscore,lteam,lscore,wloc,numot,wfgm,wfga,wfgm3,wfga3,wftm,wfta,wor,wdr,wast,wto,wstl,wblk,wpf,lfgm,lfga,lfgm3,lfga3,lftm,lfta,lor,ldr,last,lto,lstl,lblk,lpf
2013,137,1242,64,1443,57,"Нет, я не понимаю ваш запрос. Пожалуйста, уточните, что именно вы хотите перевести?",0,20,42,0,6,24,30,4,31,11,17,4,9,15,21,66,3,20,12,18,18,23,8,10,9,0,24
2004,146,1181,66,1462,63,"Нет, я не понимаю ваш запрос. Пожалуйста, уточните, что именно вы хотите перевести?",0,21,54,8,20,16,20,10,29,15,11,6,7,23,22,63,3,15,16,23,16,24,8,10,5,0,21
2006,136,1104,90,1266,85,"Нет, я не понимаю ваш запрос. Пожалуйста, уточните, что именно вы хотите перевести?",0,28,55,12,23,22,31,16,16,15,14,4,3,17,32,61,7,22,14,19,13,15,13,12,9,4,22
2004,138,1104,70,1390,67,"Нет, я не понимаю ваш запрос. Пожалуйста, уточните, что именно вы хотите перевести?",0,16,43,4,19,34,44,5,24,8,8,6,8,16,26,73,7,24,8,11,22,27,12,12,2,0,31
2012,139,1314,87,1166,73,"Нет, я не понимаю ваш запрос. Пожалуйста, уточните, что именно вы хотите перевести?",0,33,65,8,16,13,19,11,33,16,9,4,9,8,28,68,8,20,9,12,9,26,11,9,7,3,18
2009,138,1163,92,1401,66,"Нет, я не понимаю ваш запрос. Пожалуйста, уточните, что именно вы хотите перевести?",0,33,57,5,10,21,27,12,27,20,9,3,5,16,26,63,3,15,11,17,12,16,17,7,3,3,21
2013,144,1257,77,1332,69,"Нет, я не понимаю ваш запрос. Пожалуйста, уточните, что именно вы хотите перевести?",0,28,52,4,13,17,26,9,25,10,13,7,5,19,27,61,5,14,10,17,12,23,12,12,7,3,22
2009,146,1277,64,1257,52,"Нет, я не понимаю ваш запрос. Пожалуйста, уточните, что именно вы хотите перевести?",0,24,52,8,16,8,11,13,24,19,12,7,1,22,18,47,6,16,10,18,11,18,12,12,7,5,15
2010,152,1139,52,1277,50,"Нет, я не понимаю ваш запрос. Пожалуйста, уточните, что именно вы хотите перевести?",0,15,49,5,21,17,24,11,21,5,8,12,2,17,18,42,4,11,10,18,8,28,11,16,3,4,21
2004,137,1338,53,1416,44,"Нет, я не понимаю ваш запрос. Пожалуйста, уточните, что именно вы хотите перевести?",0,13,44,5,16,22,31,10,27,7,13,8,1,15,16,52,5,20,7,10,9,24,10,14,6,0,22
2007,145,1326,92,1272,76,"Нет, я не понимаю ваш запрос. Пожалуйста, уточните, что именно вы хотите перевести?",0,26,51,5,17,35,41,9,25,9,8,8,2,15,26,65,10,22,14,20,15,20,10,11,5,3,29
2010,137,1462,65,1278,54,"Нет, я не понимаю ваш запрос. Пожалуйста, уточните, что именно вы хотите перевести?",0,23,67,7,20,12,19,20,30,15,6,6,3,16,19,62,7,26,9,14,16,25,14,8,2,11,18
