season,seed,team
1993,В12,1403
2010,З01,1393
1991,X13,1293
1993,"Я не могу перевести этот ввод, поскольку он содержит только символы цифр без контекста или текста для перевода. Пожалуйста, предоставьте текст для перевода, и я с радостью помогу вам.",1246
2001,X01,1390
2013,Y12,1332
2004,З12,1334
1989,З-11,1375
1999,X01,1277
2007,В13,1308
1994,Y12,1409
2011,Z-13,1287
1986,14,1123
2014,X08,1160
1996,13,1343
2008,Z-13,1360
1992,X06,1207
1993,Z15,1365
2002,В02,1163
1987,X14,1122
1987,Y11,1455
1996,2006 год,1231
1993,Z-13,1380
2004,З01,1246
1995,5,1112
2005,14,1310
1998,15,1174
2000,В08,1242
2002,X04,1228
1994,В10,1203
1985,Я10,1277
2003,W06,1329
2003,Y11,1356
2007,З12,1228
2010,W04,1458
2008,В12,1206
2007,Шестьteen,1148
1991,Я10,1190
2012,T15,1178
1994,Т08,1228
1991,15,1419
2009,Зи-четырнадцать,1165
2010,З12,1431
2012,В12,1217
1995,W03,1437
2001,W09,1281
2014,Я — 9.,1243
2005,X04,1130
1991,З-11,1166
2006,В01,1181
2012,"Я не понимаю ваш запрос. Пожалуйста, уточните ваш вопрос или предоставьте текст для перевода.",1249
1988,W03,1393
1985,В13,1233
2003,З01,1112
1999,В14,1206
2009,X04,1211
1989,Да/нет,1177
1999,Зи-шестнадцать,1427
2010,В10,1281
1986,Шестьteen,1299
2006,З06,1277
2000,15,1148
1989,X07,1431
1996,W09,1390
2010,З06,1462
1991,W03,1329
1985,14,1337
2010,14,1325
1995,12:45,1345
2011,З11а,1425
1994,X08,1344
2004,Z04,1242
2011,"Я не могу перевести этот ввод, поскольку он содержит только символы цифр без контекста или текста для перевода. Пожалуйста, предоставьте текст для перевода, и я с радостью помогу вам.",1338
1994,T15,1411
2007,W-15,1125
1992,X14,1285
1992,W06,1393
1995,Y11,1257
2009,З03,1281
2006,15,1172
2002,W16а,1108
1992,Y11,1337
2002,T15,1285
2000,T15,1423
1999,В05,1458
1995,В14,1330
1985,X04,1424
1986,Я7,1439
1989,З01,1328
2005,W07,1452
1998,Х10,1452
2008,W-15,1110
1993,З08,1235
2002,В05,1266
1998,В13,1185
1998,Т08,1348
1993,"Четверг, 25 апреля 2024 г.",1234
2005,Y12,1330
2007,Z-13,1221
2000,Я10,1166
2003,З03,1181
2006,W06,1452
1992,В13,1247
1995,З01,1246
2009,З09,1401
1998,В12,1424
2011,2006 год,1385
1992,W07,1150
1995,Z04,1328
1998,T15,1319
1989,З08,1247
2010,W06,1266
1996,Шестьteen,1363
2014,T15,1184
1995,W07,1150
1997,З09,1438
1986,"Я не могу перевести этот ввод, поскольку он содержит только символы цифр без контекста или текста для перевода. Пожалуйста, предоставьте текст для перевода, и я с радостью помогу вам.",1246
2005,X07,1356
1995,Да/нет,1365
2006,В11,1356
1993,Я10,1272
1987,X07,1309
1987,X06,1344
1998,X07,1396
1997,W09,1160
2004,13,1433
2000,Y11,1123
2008,Т08,1280
2002,В10,1277
2004,0x09,1356
2002,В14,1293
2007,0x09,1462
2011,16-я,1114
2011,Я — 9.,1330
2011,З03,1345
1994,В01,1314
1992,З02,1329
1996,В13,1284
2011,X04,1400
1988,В08,1207
2003,X13,1360
1993,В02,1153
1992,В05,1281
2009,Y12,1112
1995,13,1311
2014,Т08,1246
1995,W-15,1389
1998,З03,1276
2006,Т08,1112
2011,Х10,1336
2001,14,1233
2006,T15,1125
1997,В11,1269
1997,T15,1293
1994,З10,1307
1991,З08,1207
1997,X06,1228
2012,Зи-шестнадцать,1254
