qualifyid,raceid,driverid,constructorid,number,position,q1,q2,q3
199,27,10,7,12,11,1:15.560,1:15.508,
6178,913,825,1,20,9,1:47.976,1:46.700,1:46.250
4177,94,13,15,12,17,1:17.866,,
2128,228,79,25,18,15,1:29.892,,
2782,265,79,25,3,5,1:44.718,,
4893,856,24,164,23,23,1:43.758,,
6597,941,813,208,13,14,1:39.724,1:39.811,
6326,926,825,1,20,18,1:32.037,,
4733,849,814,10,15,6,1:34.472,1:32.569,1:31.929
4667,846,22,3,11,12,1:16.616,1:15.826,
7398,981,836,15,94,19,1:41.875,,
2338,246,84,27,25,9,1:19.384,,
3529,345,3,131,4,12,1:38.752,1:38.627,
1679,192,14,1,7,2,1:17.757,,
4113,91,32,19,15,13,1:35.158,,
7065,965,826,5,26,13,1:37.844,1:37.480,
7227,973,815,10,11,8,1:21.998,1:21.239,1:21.070
6959,960,832,5,55,15,1:48.876,1:49.038,
3648,350,16,10,14,11,1:23.493,1:23.199,
4884,856,155,15,16,14,1:39.464,1:38.775,
1430,109,35,16,16,12,1:38.289,,
3670,351,30,131,3,9,1:48.425,1:47.160,1:46.702
752,53,2,2,16,10,1:33.374,1:31.958,1:33.926
2099,227,56,6,2,7,1:20.931,,
7225,973,817,9,3,6,1:21.704,1:20.855,1:20.175
4771,850,10,166,24,20,1:36.400,,
730,52,3,3,16,10,1:13.707,1:12.752,1:13.477
2826,266,101,31,31,23,1:22.614,,
5076,864,818,5,17,15,1:24.362,1:23.265,
7047,964,18,1,22,17,1:32.851,,
1907,211,78,15,17,11,1:19.468,,
3707,352,10,166,24,22,1:36.332,,
7271,975,4,1,14,12,1:13.669,1:13.693,
756,53,15,7,8,14,1:33.987,1:33.066,
848,57,27,13,19,18,1:32.936,,
2516,253,99,25,3,19,1:24.286,,
693,50,22,11,8,17,1:27.323,,
1915,211,76,24,23,19,1:20.516,,
1299,85,8,1,9,1,1:20.878,,
6395,930,154,208,8,11,1:27.383,1:27.375,
6122,910,820,206,4,19,1:27.819,,
545,44,1,1,2,1,1:19.885,1:19.400,1:19.997
6524,938,1,131,44,1,1:24.251,1:23.383,1:23.397
5972,904,1,131,44,1,1:27.238,1:26.210,1:25.232
7206,972,830,9,33,7,1:35.301,1:35.221,1:35.161
6845,955,1,131,44,10,1:44.259,1:43.526,2:01.954
2719,262,109,22,6,20,1:28.993,,
6820,954,8,6,7,6,1:14.477,1:13.849,1:13.579
6354,928,831,15,12,9,1:38.521,1:38.017,1:38.067
1256,82,33,17,18,18,1:18.599,,
1,18,1,1,22,1,1:26.572,1:25.187,1:26.714
5919,902,154,208,8,16,1:36.654,1:35.908,
4278,99,45,17,19,18,1:17.462,,
1360,88,18,16,3,2,1:46.141,,
5213,870,807,10,12,10,1:22.176,1:21.653,1:22.847
188,26,21,10,21,20,1:21.885,,
1192,79,32,9,15,14,1:12.132,,
1559,161,64,15,16,13,1:27.301,,
2522,254,14,3,6,1,1:14.013,,
5604,887,8,208,7,9,1:31.400,1:31.592,1:30.962
6830,954,832,5,55,16,1:14.714,1:21.956,
2188,240,81,29,9,13,1:22.468,,
1225,81,21,4,6,7,1:21.010,,
5093,865,8,208,9,8,1:15.889,1:15.322,1:15.199
6991,962,8,6,7,5,1:44.964,1:44.159,1:43.540
5622,888,154,208,8,5,1:31.242,1:30.005,1:29.959
1102,69,22,11,11,8,1:31.972,1:30.598,1:31.478
4587,843,18,1,4,2,1:35.924,1:34.662,1:34.421
4261,99,4,4,8,1,1:13.698,,
561,44,3,3,16,17,1:21.219,,
1135,70,14,9,14,19,1:13.249,,
5322,874,39,164,23,24,1:36.734,,
2323,245,96,15,29,18,1:31.838,,
3469,342,4,6,8,24,,,
4557,841,10,166,24,21,1:29.858,,
6047,907,807,10,27,10,1:10.389,1:09.624,
4104,91,31,3,3,4,1:34.054,,
5205,870,154,208,10,2,1:22.755,1:21.657,1:21.366
713,51,3,3,16,15,1:37.144,1:37.483,
4577,842,815,15,17,16,1:37.759,1:37.528,
1512,158,63,15,17,10,1:32.018,,
4526,76,30,6,1,8,1:16.186,1:18.550,
5727,893,820,206,23,22,1:48.930,,
4564,842,17,9,2,3,1:37.924,1:36.080,1:35.179
5161,868,8,208,9,6,1:47.309,1:56.469,1:53.290
6571,940,154,208,8,8,1:34.398,1:34.278,1:33.967
909,60,24,5,20,13,1:22.685,1:21.699,
3593,348,13,6,7,4,1:21.299,1:20.857,1:20.331
774,54,23,7,7,10,1:35.214,1:34.586,
5432,879,155,15,14,15,1:16.400,1:14.380,
3475,343,3,131,4,6,1:27.649,1:27.141,1:26.952
6668,945,822,3,77,6,1:42.608,1:41.868,1:41.656
531,43,3,3,16,9,1:16.092,1:15.331,1:16.328
4852,855,17,9,2,6,1:33.135,1:31.576,1:31.156
1882,210,57,1,9,8,1:24.812,,
5523,883,818,5,18,16,1:34.314,1:34.284,
3906,115,17,19,14,6,1:16.182,,
