film_id,category_id,last_update
5,8,2006-02-15 04:07:09
28,5,2006-02-15 04:07:09
119,5,2006-02-15 04:07:09
127,5,2006-02-15 04:07:09
159,5,2006-02-15 04:07:09
178,5,2006-02-15 04:07:09
182,5,2006-02-15 04:07:09
202,5,2006-02-15 04:07:09
242,5,2006-02-15 04:07:09
247,5,2006-02-15 04:07:09
265,5,2006-02-15 04:07:09
308,5,2006-02-15 04:07:09
317,5,2006-02-15 04:07:09
385,5,2006-02-15 04:07:09
388,5,2006-02-15 04:07:09
410,5,2006-02-15 04:07:09
413,5,2006-02-15 04:07:09
443,5,2006-02-15 04:07:09
478,5,2006-02-15 04:07:09
502,5,2006-02-15 04:07:09
522,5,2006-02-15 04:07:09
524,5,2006-02-15 04:07:09
529,5,2006-02-15 04:07:09
555,5,2006-02-15 04:07:09
604,5,2006-02-15 04:07:09
613,5,2006-02-15 04:07:09
638,5,2006-02-15 04:07:09
680,5,2006-02-15 04:07:09
704,5,2006-02-15 04:07:09
756,5,2006-02-15 04:07:09
814,5,2006-02-15 04:07:09
858,5,2006-02-15 04:07:09
871,5,2006-02-15 04:07:09
905,5,2006-02-15 04:07:09
906,5,2006-02-15 04:07:09
932,5,2006-02-15 04:07:09
938,5,2006-02-15 04:07:09
1000,5,2006-02-15 04:07:09
147,8,2006-02-15 04:07:09
200,10,2006-02-15 04:07:09
6,9,2006-02-15 04:07:09
349,2,2006-02-15 04:07:09
91,4,2006-02-15 04:07:09
672,5,2006-02-15 04:07:09
581,12,2006-02-15 04:07:09
689,9,2006-02-15 04:07:09
56,1,2006-02-15 04:07:09
992,6,2006-02-15 04:07:09
285,14,2006-02-15 04:07:09
941,10,2006-02-15 04:07:09
787,16,2006-02-15 04:07:09
