managerid,yearid,teamid,lgid,inseason,g,w,l,rank,plyrmgr
boudrlo01m,1947,CLE,AL,1,157,80,74,4,Y
gouldch01m,1876,CN1,NL,1,65,9,56,8,Y
richapa01m,1958,BAL,AL,1,154,74,79,6,Н
herzowh01m,1989,SLN,NL,1,164,86,76,3,Н
mackco01m,1935,PHA,AL,1,149,58,91,8,Н
rojasco01m,1996,FLO,NL,2,1,1,0,3,Н
stengca01m,1953,NYA,AL,1,151,99,52,1,Н
wrighha01m,1873,BS1,,1,60,43,16,1,Y
wrighha01m,1893,PHI,NL,1,133,72,57,4,Н
bancrda01m,1926,BSN,NL,1,153,66,86,7,Y
richapa01m,1959,BAL,AL,1,155,74,80,6,Н
smithma01m,1969,DET,AL,1,162,90,72,2,Н
peskyjo01m,1980,BOS,AL,2,5,1,4,4,Н
hartji99m,1885,LS2,AA,1,112,53,59,6,Н
bakerde01m,1941,DET,AL,1,155,75,79,4,Н
hurdlcl01m,2002,COL,NL,2,140,67,73,4,Н
harribu01m,1954,WS1,AL,1,155,66,88,6,Н
jennihu01m,1919,DET,AL,1,140,80,60,4,Н
torrejo01m,2000,NYA,AL,1,161,87,74,1,Н
irwinar01m,1894,PHI,NL,1,132,71,57,4,Y
riddogr99m,1992,SDN,NL,1,150,78,72,3,Н
schoere01m,1974,SLN,NL,1,161,86,75,2,Н
raderdo02m,1985,TEX,AL,1,32,9,23,7,Н
ottme01m,1943,NY1,NL,1,156,55,98,8,Y
bochybr01m,1998,SDN,NL,1,162,98,64,1,Н
irwinar01m,1889,WS8,NL,2,76,28,45,8,Y
baylodo01m,1993,COL,NL,1,162,67,95,6,Н
cronijo01m,1938,BOS,AL,1,150,88,61,2,Y
hargrmi01m,2003,BAL,AL,1,163,71,91,4,Н
hermabi01m,1947,PIT,NL,1,155,61,92,7,Y
higgipi01m,1958,BOS,AL,1,155,79,75,3,Н
rappve99m,1978,SLN,NL,1,17,6,11,5,Н
gastoci01m,1992,TOR,AL,1,162,96,66,1,Н
valenbo02m,2002,NYN,NL,1,161,75,86,5,Н
tebeapa01m,1896,CL4,NL,1,135,80,48,2,Y
melesa01m,1965,MIN,AL,1,162,102,60,1,Н
lathaju01m,1875,NH1,,2,18,4,14,8,Y
ensje01m,1930,PIT,NL,1,154,80,74,5,Н
sciosmi01m,2008,LAA,AL,1,162,100,62,1,Н
speaktr01m,1919,CLE,AL,2,61,40,21,2,Y
richapa01m,1951,CHA,AL,1,155,81,73,4,Н
craigro01m,1987,SFN,NL,1,162,90,72,1,Н
lopezal01m,1965,CHA,AL,1,162,95,67,2,Н
howleda01m,1932,CIN,NL,1,155,60,94,8,Н
mckecbi01m,1930,BSN,NL,1,154,70,84,6,Н
wilsoji01m,1942,CHN,NL,1,155,68,86,6,Н
moranpa01m,1917,PHI,NL,1,155,87,65,2,Н
