schoolid,schoolname,schoolcity,schoolstate,schoolnick
masslowell,Массачусетский университет Лоуэлла,Лоуэлл,МЭТ,Река Ястребы
colbyme,Колби Колледж,Уотервилль,Я,Мулы
olddom,Старый Доминийский университет,Норфолк,VA,Монархи
montreatnc,Колледж Монхея,Монгу,НС,Кавалеры
glenvilst,Гленвильский государственный колледж,Гленвилль,WV,Пионеры
charlsouth,Южный университет Чарльстона,Чарльстон,ПК,Букканеры
philly,Филадельфийский университет,Филадельфия,ПА,Рамс
monroecc,Муниципальный колледж Монро,Брайтон,Нью-Йорк,Трибуны
stanselm,Сент-Ансельмский колледж,Манчестер,NH,Ястребы
lincolnmo,Линкольнский университет Миссури,Город Джефферсон,МО,&lt; &lt; Синие тигры &gt; &gt;
norleans,Университет Нового Орлеана,Новый Орлеан,Лос-Анджелес,Частные лица
calpolypom,Калифорнийский политехнический университет - Помона,Помона,КА,Бронкос
miamifl,Университет Майами,Коралловые гейблы,ФЛ,Ураганы
flbarry,Университет Барри,Майами Шорс,ФЛ,Букканеры
bluefield,Блюфилдский колледж,Блюфилд,VA,Рамс
tusculum,Тускулумский колледж,Гринвилль,TN,Пионеры
middlbryvt,Колледж Миддлбери,Миддлбери,VT,Пантеры
cornell,Корнельский университет,Итака,Нью-Йорк,Большой красный
johnshpkns,Университет Джона Хопкинса,Балтимор,MD,Голубые Джеи
sindiana,Университет Южной Индииa,Эвансвилль,ВНУТРЕННИЕ,Кричащие орехи
niagara,Университет Ниагары,Льюистон,Нью-Йорк,Фиолетовые орехи
wiscmilw,Университет Висконсин-Милуоки,Милуоки,ЖИ,Пантеры
lanecol,Колледж Лэйна,Джексон,TN,Драконы
riponwi,Рипонский колледж,Рипон,ЖИ,Красные ястребы
ekentucky,Восточный Кентукский университет,Ричмонд,KY,Полковники
olivetmi,Колледж Оливета,Оливет,МИ,Кометы
wake,Университет Уэйк Форест,Уинстон-Салем,НС,Демонские демоны
umbc,"Университет Мэриленда, округ Балтимор",Катонсвилль,MD,Ретриверы
stjohns,Университет Св. Иоанна,Чили,Нью-Йорк,Красный шторм
sandiego,Университет Сан-Диего,Сан-Диего,КА,Торерос
lutheria,Лютер Колледж,Декора,IA,Норвежский
nmhighland,Нью-Мексикоский Хайлендский университет,Лас-Вегас,НМ,Ковбои
rosehulman,Технологический институт Роуз-Хулман,&lt; &lt; Терра хаут &gt; &gt;,ВНУТРЕННИЕ,Инженеры
dickinson,Колледж Дикинсона,Карлайл,ПА,Красные дьяволы
providence,Провиденс-колледж,Провидение,РИ,фриары
wabashin,Колледж Вабаша,Кроуфордсвилль,ВНУТРЕННИЕ,Маленькие Гиганты
wilbrforce,Уилберфорсский университет,Уилберфорс,Ооо.,Бульдоги
wmichigan,Университет Западного Мичигана,Каламазоо,МИ,Бронкос
otterbein,Колледж Оттербейн,Вестервилль,Ооо.,Кардиналы
millersvil,"Университет Миллерсвиля, Пенсильвания",Миллерсвилль,ПА,Мародеры
nicholls,Никольский государственный университет,Тибодо,Лос-Анджелес,Полковники
stcloudst,Сент-Клаудский государственный университет,Сент-Облако,МН,Хаски
ncstate,Университет штата Северная Каролина,Роли,НС,Вольфпак
lemoynowen,Колледж ЛеМойн-Овен,Мемфис,TN,Волшебники
txtech,Техасский технологический университет,Любобок,TX,Красные бойцы
nkentucky,Северный Кентукский университет,Нагорные высоты,KY,Норвежский
brandeisma,Университет Брандейса,Вальтам,МЭТ,Судьи
nebraska,Небраскский университет,Линкольн,Нет,Шухожилия
cumbrlndtn,Камберлендский университет,Ливан,TN,Бульдоги
setonhall,Университет Сетон Холл,Южный апельсин,NJ,Пираты
utahvalley,Университет долины Юта,Орем,UT,Извержение
florida,Университет Флориды,Гейнсвилль,ФЛ,Гейтеры
rockhurst,Университет Рокхёрста,Канзас-Сити,МО,Ястребы
staugustne,Колледж Святого Августина,Роли,НС,Соколы
duquesne,Университет Дюкесне,Питтсбург,ПА,Дюки
stlouis,Университет Сент-Луиса,Сент-Луис,МО,Билликен
detroit,Университет Детройта Мерси,Детройт,МИ,Титаны
cameronok,Университет Кэмерон,Лоутон,Хорошо.,Агги
buenavista,Университет Буэна-Виста,Бурное озеро,IA,Биверы
dominican,Доминиканский колледж,Оранжбург,Нью-Йорк,Зарядные устройства
fordham,Фордхемский университет,Бронкс,Нью-Йорк,Рамс
