franchid,franchname,active,naassoc
IBL,Индианаполис Блюз,Н,
ROC,Рочестер Бронкос,Н,
OAK,Аклендская атлетика,Y,
CHC,Чикаго Кабс,Y,КНА
WSN,&lt; &lt; Вашингтон нэшнлз &gt; &gt;,Y,
KCP,Канзас Сити Пакерс,Н,
PHQ,Филадельфия Атлетика,Н,
MLG,Милуоки Грейс,Н,
TLM,Толедо Маумес,Н,
TRT,Тройские троянцы,Н,
NHV,Нью-Хейвен-Элм-Сити,,
MIN,Близнецы из Миннесоты,Y,
BLO,Балтимор Ориолс,Н,
BNA,Бостонские красные чулки,,АТЛ
BFL,Баффало Бизонс,Н,
IND,Индианаполис Хусье,Н,
PNA,Филадельфия Атлетика,,ATH
CLV,Кливленд Паук,Н,
BRA,Бруклинские Атлантики,,
WNL,&lt; &lt; Вашингтон нэшнлз &gt; &gt;,Н,
CHH,Чикагские киты,Н,
KCN,Канзас Сити Ковбои,Н,
SDP,Сан-Диего Падрес,Y,
NEW,Ньюарк Пеппер,Н,
PBS,Питтсбургские повстанцы,Н,
PHA,Филадельфия Атлетика,Н,
BWW,Чудеса Бруклина Уорда,Н,
CNA,Белые чулки Чикаго,,CHC
MAR,Балтимор Мэрилендс,,
RIC,Ричмондские вирджинцы,Н,
WAS,Сенаторы Вашингтона,Н,
PHK,Критерии Филадельфии,Н,
IHO,Индианаполис Хусье,Н,
MLA,Милуоки Брюэрс,Н,
LOU,Полковники Луисвиля,Н,
COL,Колорадо Скалистые горы,Y,
WNT,&lt; &lt; Вашингтон нэшнлз &gt; &gt;,,
BFB,Баффало Бизонс,Н,
WIL,Уилмингтон Быстрые шаги,Н,
STP,Святой Павел Апостолы,Н,
SBS,Сент-Луис Браун Шеллингс,Н,СНС
WST,Вашингтон,Н,
LGR,Луисвилл Грейс,Н,
CFC,Кливлендские лесные города,,
PHI,Филадельфия Филадельфия,Y,
MAN,Мидлтаун Мэнсфилдс,,
ECK,Бруклин Экфордс,,
NYU,Нью-Йорк Взаимная связь,Н,ННА
NYP,Города Нью-Йорка,Н,
BLT,Балтиморские террапины,Н,
CIN,Красные Цинциннати,Y,
CLE,Индейцы Кливленда,Y,
OLY,Олимпийские игры в Вашингтоне,,
TEX,Техасские рейнджеры,Y,
SYR,Звезды Сиракуз,Н,
SEA,Морские пехотинцы Сиэтла,Y,
LAD,Лос-Анджелес Доджерс,Y,
BOS,Бостонский ред Сокс,Y,
CPI,Чикаго/Питтсбург (Союзная лига),Н,
TOR,Торонтские синие джеи,Y,
HNA,Хартфорд Тёмный Блюз,,HAR
DTN,&lt; &lt; Детройт &gt; &gt;,Н,
COR,Красные цициннати,Н,
RES,Элизабет Резолютес,,
ALT,Горный город Альтоона,Н,
FLA,Флорида Марлинс,Y,
WES,Кеокук Вестерн,,
SLI,&lt; &lt; Сент-Луис Терьерс &gt; &gt;,Н,
SLM,Сент-Луис Марунс,Н,
TOL,Синие чулки Толедо,Н,
HOU,Хьюстон Астрос,Y,
CLS,Колумб Солоны,Н,
PRO,Провидцы Грей,Н,
STL,Кардиналы Сент-Луиса,Y,
NNA,Нью-Йорк Взаимная связь,,Нью-Йорк
SNA,Сент-Луис Браун Шеллингс,,ПС
CLI,Кливлендские младенцы,Н,
ROK,Рокфордские лесные города,,
DET,&lt; &lt; Тигры Детройта &gt; &gt;,Y,
ATL,Атланты Храбрые храбрые,Y,БНА
NYM,Нью-Йорк Метс,Y,
CNR,Красные Цинциннати,Н,
BRD,Бостонские красные,Н,
BRS,Бостонские красные,Н,
CBK,Колумб Бакейс,Н,
BTT,Бруклинские таблетки,Н,
WOR,Вихревые рубиновые ножки,Н,
NYY,Нью-Йорк Янкиз,Y,
SYS,Звезды Сиракуз,Н,
NYI,Нью-Йорк Гиганты,Н,
ANA,Лос-Анджелесские ангелы Анахейма,Y,
CHW,Чикаго Уайт Сокс,Y,
BLC,Балтиморские канареи,,
BUF,Баффало Бизонс,Н,
TBD,Tampa Bay Rays,Y,
ATH,Филадельфия Атлетика,Н,PNA
HAR,Хартфорд Тёмный Блюз,Н,ХНА
MIL,Милуоки Брюэрс,Y,
CEN,Столетия Филадельфии,,
SLR,Красные чулки Сент-Луиса,,
CKK,Убийца Цинциннати Келли,Н,
PBB,Питтсбургские бургеры,Н,
BRG,Бруклинские гладиаторы,Н,
ARI,Аризона Даймондбэкс,Y,
CBL,Блюз Кливленда,Н,
KEK,Форт Уэйн Кекионгас,,
TRO,Трой Хеймерс,,
WBL,Голубые ноги Вашингтона,,
BAL,Балтимор Ориолс,Y,
NAT,&lt; &lt; Вашингтон нэшнлз &gt; &gt;,,
BLU,Памятные памятники Балтимора,Н,
PWS,Белые чулки Филадельфии,,
KCC,Канзас Сити Ковбои,Н,
MLU,Милуоки Брюэрс,Н,
KCU,Канзас Сити Ковбои,Н,
KCR,Канзас-Сити Роялс,Y,
CHP,Чикагские пираты,Н,
SFG,Сан-Франциско Гиганты,Y,
PIT,Питтсбургские пираты,Y,
WNA,&lt; &lt; Вашингтон нэшнлз &gt; &gt;,Н,
