playerid,yearid,round,teamid,lgid,w,l,g,gs,cg,sho,sv,ipouts,h,er,hr,bb,so,baopp,era,ibb,wp,hbp,bk,bfp,gf,r,sh,sf,gidp
greento01,1993,NLCS,PHI,NL,1,1,2,2,0,0,0,28,12,10,3,7,7,0.0,9.0,0.0,0.0,0.0,0.0,45.0,0,10,2.0,0.0,1.0
craigro01,1959,WS,LAN,NL,0,1,2,2,0,0,0,28,15,9,2,5,8,0.0,8.0,1.0,0.0,0.0,0.0,46.0,0,9,1.0,1.0,2.0
loesbi01,1952,WS,BRO,NL,0,1,2,1,0,0,0,31,11,5,3,5,5,0.0,4.0,0.0,0.0,0.0,1.0,46.0,0,5,0.0,0.0,1.0
drysddo01,1956,WS,BRO,NL,0,0,1,0,0,0,0,6,2,2,1,1,1,0.0,9.0,0.0,0.0,0.0,0.0,9.0,1,2,0.0,0.0,0.0
carltst01,1983,NLCS,PHI,NL,2,0,2,2,0,0,0,41,13,1,1,5,13,0.0,0.0,0.0,1.0,1.0,0.0,57.0,0,1,2.0,0.0,0.0
planked01,1905,WS,PHA,AL,0,2,2,2,2,0,0,51,15,3,0,4,11,0.0,1.0,1.0,1.0,1.0,0.0,71.0,0,4,3.0,0.0,0.0
figueed01,1978,WS,NYA,AL,0,1,2,2,0,0,0,20,9,6,3,5,2,0.0,8.0,0.0,0.0,0.0,0.0,32.0,0,6,0.0,0.0,1.0
johnsbo03,1971,NLCS,PIT,NL,1,0,1,1,0,0,0,24,5,0,0,3,7,0.0,0.0,1.0,0.0,0.0,0.0,33.0,0,1,1.0,0.0,0.0
ogeach01,1997,WS,CLE,AL,2,0,2,2,0,0,0,35,11,2,0,3,5,0.0,1.0,0.0,0.0,1.0,0.0,49.0,0,2,0.0,1.0,1.0
goodedw01,1986,NLCS,NYN,NL,0,1,2,2,0,0,0,51,16,2,1,5,9,0.0,1.0,0.0,0.0,0.0,0.0,68.0,0,2,1.0,0.0,2.0
hershor01,1999,NLCS,NYN,NL,0,0,2,0,0,0,0,13,1,0,0,3,5,0.0,0.0,2.0,0.0,1.0,0.0,18.0,0,0,1.0,0.0,0.0
martire01,1981,AWDIV,KCA,AL,0,0,2,0,0,0,0,16,1,0,0,2,2,0.0,0.0,0.0,0.0,0.0,0.0,19.0,2,0,0.0,0.0,0.0
phillde01,1903,WS,PIT,NL,3,2,5,5,5,0,0,132,38,15,0,3,22,0.0,3.0,0.0,1.0,1.0,0.0,178.0,0,19,3.0,4.0,1.0
verlaju01,2006,ALCS,DET,AL,1,0,1,1,0,0,0,16,7,4,2,1,6,0.0,6.0,0.0,1.0,0.0,1.0,24.0,0,4,0.0,0.0,0.0
bernadw01,1981,AEDIV,ML4,AL,0,0,2,0,0,0,0,7,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0,0,0.0,0.0,0.0
jacksda02,1996,NLCS,SLN,NL,0,0,1,0,0,0,0,9,7,3,0,3,3,0.0,9.0,0.0,0.0,0.0,0.0,18.0,0,3,0.0,0.0,0.0
lemonbo01,1954,WS,CLE,AL,0,2,2,2,1,0,0,40,16,10,1,8,11,0.0,6.0,2.0,1.0,0.0,0.0,64.0,0,11,1.0,1.0,0.0
lowede01,2012,ОДЛС1,NYA,AL,0,0,1,0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,,1.0,1,0,,,0.0
burkejo03,2001,НЛДС1,ATL,NL,1,0,1,1,0,0,0,19,6,2,1,2,4,0.0,2.0,0.0,0.0,0.0,0.0,27.0,0,2,0.0,0.0,0.0
mingost01,1977,ALCS,KCA,AL,0,0,3,0,0,0,0,4,0,0,0,0,1,0.0,0.0,0.0,1.0,0.0,0.0,4.0,1,0,0.0,0.0,0.0
greenfr01,1960,WS,PIT,NL,0,0,3,0,0,0,0,12,11,10,2,1,3,0.0,,0.0,1.0,0.0,0.0,23.0,0,10,0.0,0.0,0.0
hamiljo02,1998,WS,SDN,NL,0,0,1,0,0,0,0,3,0,0,0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0,0,0.0,0.0,0.0
walldo01,1998,НЛДС2,SDN,NL,0,0,1,0,0,0,0,3,2,1,1,0,2,0.0,9.0,0.0,0.0,0.0,0.0,5.0,0,1,0.0,0.0,0.0
wickmbo01,1995,ОДЛС2,NYA,AL,0,0,3,0,0,0,0,9,5,0,0,0,3,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0,0,1.0,1.0,0.0
nomohi01,1996,НЛДС1,LAN,NL,0,1,1,1,0,0,0,11,5,5,1,5,3,0.0,12.0,0.0,0.0,0.0,0.0,21.0,0,5,1.0,0.0,0.0
clemero02,2002,ОДЛС1,NYA,AL,0,0,1,1,0,0,0,17,8,4,1,3,5,0.0,6.0,0.0,0.0,0.0,0.0,27.0,0,4,1.0,0.0,1.0
clemero02,2000,ОДЛС1,NYA,AL,0,2,2,2,0,0,0,33,13,10,1,8,10,0.0,8.0,1.0,1.0,0.0,0.0,52.0,0,10,1.0,0.0,1.0
williro01,1968,WS,SLN,NL,0,0,3,0,0,0,0,13,2,4,0,4,3,0.0,8.0,1.0,0.0,1.0,0.0,18.0,1,4,1.0,0.0,2.0
martijo02,1924,WS,WS1,AL,0,0,1,0,0,0,0,3,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0,0,0.0,0.0,0.0
mcgloji01,1972,WS,CIN,NL,0,0,1,1,0,0,0,9,2,4,1,2,3,0.0,12.0,0.0,0.0,1.0,0.0,14.0,0,4,0.0,0.0,0.0
petkoma01,1996,НЛДС2,SLN,NL,0,0,1,0,0,0,0,6,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0,0,0.0,0.0,0.0
lackejo01,2009,ОДЛС2,LAA,AL,1,0,1,1,0,0,0,22,4,0,0,1,4,0.0,0.0,0.0,1.0,0.0,0.0,27.0,0,0,0.0,0.0,1.0
timlimi01,1993,WS,TOR,AL,0,0,2,0,0,0,0,7,2,0,0,0,4,0.0,0.0,0.0,0.0,0.0,0.0,8.0,1,0,0.0,0.0,1.0
isrinja01,2004,NLCS,SLN,NL,0,1,6,0,0,0,3,23,4,4,1,4,3,0.0,4.0,2.0,0.0,1.0,0.0,32.0,5,4,1.0,0.0,0.0
robindo01,1979,WS,PIT,NL,1,0,4,0,0,0,0,15,4,3,0,6,3,0.0,5.0,0.0,0.0,0.0,0.0,25.0,0,3,0.0,0.0,0.0
nolanga01,1975,WS,CIN,NL,0,0,2,2,0,0,0,18,6,4,2,1,2,0.0,6.0,0.0,0.0,0.0,0.0,24.0,0,4,0.0,0.0,0.0
kimby01,2002,НЛДС2,ARI,NL,0,0,1,0,0,0,0,3,2,2,0,3,0,0.0,18.0,1.0,0.0,0.0,0.0,8.0,1,2,0.0,0.0,0.0
helliri01,2003,NLCS,FLO,NL,0,0,2,0,0,0,0,17,7,4,2,4,5,0.0,6.0,1.0,2.0,0.0,0.0,28.0,0,5,1.0,0.0,0.0
