yearid,lgid,teamid,franchid,divid,rank,g,ghome,w,l,divwin,wcwin,lgwin,wswin,r,ab,h,2b,3b,hr,bb,so,sb,cs,hbp,sf,ra,er,era,cg,sho,sv,ipouts,ha,hra,bba,soa,e,dp,fp,name,park,attendance,bpf,ppf,teamidbr,teamidlahman45,teamidretro
1992,AL,CLE,CLE,E,4,162,81.0,76,86,Н,,Н,Н,674,5620,1495,227,24,127,448,885.0,144.0,67.0,,,746,671,4,13,7,46,4410,1507,159,566,890,141,176.0,0,Индейцы Кливленда,Стадион Кливленда,1224094.0,99,100,CLE,CLE,CLE
1974,NL,SDN,SDP,W,6,162,81.0,60,102,Н,,Н,Н,541,5415,1239,196,27,99,564,900.0,85.0,45.0,,,830,735,4,25,7,19,4335,1536,124,715,855,170,126.0,0,Сан-Диего Падрес,Стадион Джека Мерфи,1075399.0,95,98,SDP,SDN,SDN
1897,NL,LS3,LOU,,11,134,,52,78,,,Н,,669,4520,1197,160,70,40,370,453.0,195.0,,,,859,559,4,114,2,0,3414,1363,39,459,267,395,,0,Полковники Луисвиля,Парк II &lt; &lt; Эклипс &gt; &gt;,145210.0,97,99,LOU,LS3,LS3
1939,AL,WS1,MIN,,6,153,77.0,65,87,,,Н,Н,702,5334,1483,249,79,44,547,460.0,94.0,47.0,,,797,692,4,72,4,10,4062,1420,75,602,521,205,167.0,0,Сенаторы Вашингтона,Стадион Гриффита I,339257.0,92,94,WSH,WS1,WS1
1918,AL,BOS,BOS,,1,126,70.0,75,51,,,Y,Y,474,3982,990,159,54,15,406,324.0,110.0,,,,380,287,2,105,26,2,3360,931,9,380,392,152,89.0,0,Бостонский ред Сокс,Парк Фенвей I,249513.0,98,97,BOS,BOS,BOS
1934,NL,CIN,CIN,,8,152,78.0,52,99,,,Н,Н,590,5361,1428,227,65,55,313,532.0,34.0,,,,801,654,4,51,3,19,4041,1645,61,389,438,181,136.0,0,Красные Цинциннати,Кросли Филд,206773.0,96,100,CIN,CIN,CIN
1923,NL,CHN,CHC,,4,154,77.0,83,71,,,Н,Н,756,5259,1516,243,52,90,455,485.0,181.0,143.0,,,704,580,3,80,8,11,4098,1419,86,435,408,208,144.0,0,Чикаго Кабс,Филд Уригли,703705.0,100,100,CHC,CHN,CHN
1935,AL,CHA,CHW,,5,153,77.0,74,78,,,Н,Н,738,5314,1460,262,42,74,580,405.0,46.0,28.0,,,750,662,4,80,8,8,4080,1443,105,574,436,145,133.0,0,Чикаго Уайт Сокс,Парк Комиски,470281.0,102,103,CHW,CHA,CHA
1991,AL,SEA,SEA,W,5,162,81.0,83,79,Н,,Н,Н,702,5494,1400,268,29,126,588,811.0,97.0,44.0,,,674,617,3,10,13,48,4392,1387,136,628,1003,110,187.0,0,Морские пехотинцы Сиэтла,Королевство,2147905.0,100,100,SEA,SEA,SEA
1971,NL,PHI,PHI,E,6,162,81.0,67,95,Н,,Н,Н,558,5538,1289,209,35,123,499,1031.0,63.0,39.0,,,688,606,3,31,10,25,4410,1396,132,525,838,121,158.0,0,Филадельфия Филадельфия,Стадион ветеранов,1511223.0,100,102,PHI,PHI,PHI
1983,NL,PHI,PHI,E,1,163,82.0,90,72,Y,,Y,Н,696,5426,1352,209,45,125,640,906.0,143.0,75.0,,,635,542,3,20,10,41,4383,1429,111,464,1092,152,117.0,0,Филадельфия Филадельфия,Стадион ветеранов,2128339.0,99,99,PHI,PHI,PHI
1962,NL,PIT,PIT,,4,161,81.0,93,68,,,Н,Н,706,5483,1468,240,65,108,432,836.0,50.0,39.0,,,626,536,3,40,13,41,4296,1433,118,466,897,152,177.0,0,Питтсбургские пираты,Поле Форбса,1090648.0,101,100,PIT,PIT,PIT
1994,NL,FLO,FLA,E,5,115,59.0,51,64,,,,,468,3926,1043,180,24,94,349,746.0,65.0,26.0,,,576,508,4,5,3,30,3045,1069,120,428,649,95,111.0,0,Флорида Марлинс,Стадион Джо Робби,1937467.0,102,103,FLA,FLO,FLO
1886,NL,KCN,KCN,,7,126,,30,91,,,Н,Н,494,4236,967,177,48,19,269,608.0,96.0,,,,872,573,4,117,4,0,3198,1345,27,246,442,455,,0,Канзас Сити Ковбои,Парк Ассоциации,,106,114,KCN,KCN,KCN
1925,AL,WS1,MIN,,1,152,76.0,96,55,,,Y,Н,829,5206,1577,251,71,56,533,427.0,134.0,88.0,,,670,558,3,69,10,21,4074,1434,49,543,463,172,166.0,0,Сенаторы Вашингтона,Стадион Гриффита I,817199.0,99,97,WSH,WS1,WS1
1913,AL,PHA,OAK,,1,153,76.0,96,57,,,Y,Y,794,5044,1412,223,80,33,534,547.0,221.0,,,,592,479,3,69,17,22,4053,1200,24,532,630,212,108.0,0,Филадельфия Атлетика,Парк Шиве,571896.0,98,94,PHA,PHA,PHA
2010,NL,LAN,LAD,W,4,162,,80,82,Н,Н,Н,Н,667,5426,1368,270,29,120,533,1184.0,92.0,50.0,46.0,50.0,692,643,4,4,16,41,4325,1323,134,539,1274,114,122.0,0,Лос-Анджелес Доджерс,Стадион Dodger,,95,95,LAD,LAN,LAN
1999,NL,FLO,FLA,E,5,162,80.0,64,98,Н,Н,Н,Н,691,5578,1465,266,44,128,479,1145.0,92.0,46.0,,,852,781,4,6,5,33,4306,1560,171,655,943,127,150.0,0,Флорида Марлинс,Стадион Pro Player,1369421.0,93,95,FLA,FLO,FLO
1979,AL,SEA,SEA,W,6,162,81.0,67,95,Н,,Н,Н,711,5544,1490,250,52,132,515,725.0,126.0,52.0,,,820,732,4,37,7,26,4314,1567,165,571,736,141,170.0,0,Морские пехотинцы Сиэтла,Королевство,844447.0,102,104,SEA,SEA,SEA
1962,NL,PHI,PHI,,7,161,80.0,81,80,,,Н,Н,705,5420,1410,199,39,142,531,923.0,79.0,42.0,,,759,678,4,43,7,24,4278,1469,155,574,863,138,167.0,0,Филадельфия Филадельфия,Стадион Конни Мак,762034.0,97,98,PHI,PHI,PHI
1880,NL,TRN,TRT,,4,83,,41,42,,,Н,,392,3007,755,114,37,5,120,260.0,,,,,438,225,2,81,4,0,2214,763,8,113,173,366,58.0,0,Тройские троянцы,Земля хеймеров,,105,106,TRO,TRN,TRN
