playerid,awardid,yearid,lgid,tie,notes
richabo01,TSN All-Star,1966,AL,,2B
justida01,Silver Slugger,1997,AL,,В ЛЮБОЙ ЧАСТИ
marisro01,TSN Player of the Year,1960,AL,,
helmsto01,Rookie of the Year,1966,NL,,
collied01,Baseball Magazine All-Star,1920,ML,,2B
nichobi01,Baseball Magazine All-Star,1943,NL,,RF
doerrbo01,TSN All-Star,1944,ML,,2B
salmoti01,TSN All-Star,1997,AL,,В ЛЮБОЙ ЧАСТИ
sabatcc01,ALCS MVP,2009,AL,,
hughste01,Baseball Magazine All-Star,1944,AL,,С3
knoblch01,TSN All-Star,1994,AL,,2B
jonesdo01,TSN Fireman of the Year,1992,NL,Y,
fernato01,Gold Glove,1987,AL,,СС
davisto02,TSN All-Star,1974,AL,,ДГ
robindo01,Silver Slugger,1982,NL,,Р
reganph01,TSN Fireman of the Year,1968,NL,,
martipe02,TSN All-Star,2000,AL,,RHP
mcgwima01,TSN All-Star,1996,AL,,1B
mccanbr01,All-Star Game MVP,2010,NL,,
sundbji01,TSN All-Star,1978,AL,,C
hoopeha01,Baseball Magazine All-Star,1918,AL,,В ЛЮБОЙ ЧАСТИ
riddlel01,Baseball Magazine All-Star,1941,ML,,С-5
clarkfr01,Baseball Magazine All-Star,1908,NL,,LF
penaca01,TSN All-Star,2007,AL,,1B
wheatza01,Baseball Magazine All-Star,1924,NL,,LF
garcino01,Comeback Player of the Year,2006,NL,,
biggicr01,Gold Glove,1997,NL,,2B
bakerfr01,Baseball Magazine All-Star,1913,AL,,3B
marioma01,Baseball Magazine All-Star,1943,NL,,СС
cabremi01,Silver Slugger,2006,NL,,3B
strawda01,Silver Slugger,1988,NL,,В ЛЮБОЙ ЧАСТИ
wellsve01,Gold Glove,2006,AL,,В ЛЮБОЙ ЧАСТИ
hoytla01,TSN All-Star,1983,AL,,RHP
blairpa01,Gold Glove,1973,AL,,В ЛЮБОЙ ЧАСТИ
kammwi01,Baseball Magazine All-Star,1926,AL,,3B
chaveer01,Gold Glove,2002,AL,,3B
martipe01,Baseball Magazine All-Star,1935,ML,,3B
biggicr01,Roberto Clemente Award,2007,ML,,
kremera01,Baseball Magazine All-Star,1930,NL,,С1
jenkife01,Cy Young Award,1971,NL,,
lynnfr01,TSN All-Star,1978,AL,,В ЛЮБОЙ ЧАСТИ
murphdw01,TSN All-Star,1981,AL,,В ЛЮБОЙ ЧАСТИ
loberha01,Baseball Magazine All-Star,1911,NL,,3B
reardje01,TSN Fireman of the Year,1987,AL,Y,
boonebo01,Gold Glove,1989,AL,,C
bondsba01,TSN All-Star,2003,NL,,В ЛЮБОЙ ЧАСТИ
robinbr01,Gold Glove,1962,AL,,3B
gordojo01,TSN All-Star,1948,ML,,2B
grimebu01,Baseball Magazine All-Star,1928,NL,,С3
