playerid,yearid,stint,teamid,lgid,g,g_batting,ab,r,h,2b,3b,hr,rbi,sb,cs,bb,so,ibb,hbp,sh,sf,gidp,g_old
antonjo02,1948,1,BSN,NL,4,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
antonjo02,1949,1,BSN,NL,22,22.0,25.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,,1.0,9.0,,0.0,5.0,,0.0,22.0
antonjo02,1950,1,BSN,NL,20,20.0,16.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,,0.0,3.0,,0.0,0.0,,1.0,20.0
antonjo02,1953,1,ML1,NL,31,31.0,62.0,7.0,11.0,2.0,0.0,0.0,4.0,0.0,0.0,3.0,14.0,,0.0,4.0,,0.0,31.0
antonjo02,1954,1,NY1,NL,39,39.0,98.0,6.0,16.0,0.0,0.0,2.0,9.0,0.0,0.0,4.0,25.0,,0.0,4.0,0.0,2.0,39.0
antonjo02,1955,1,NY1,NL,38,38.0,82.0,8.0,17.0,1.0,0.0,4.0,15.0,0.0,0.0,3.0,18.0,0.0,0.0,3.0,2.0,1.0,38.0
antonjo02,1956,1,NY1,NL,49,49.0,89.0,7.0,14.0,3.0,0.0,3.0,4.0,0.0,0.0,2.0,26.0,0.0,0.0,6.0,0.0,2.0,49.0
antonjo02,1957,1,NY1,NL,47,47.0,72.0,8.0,11.0,0.0,1.0,3.0,8.0,0.0,0.0,8.0,19.0,0.0,0.0,1.0,1.0,1.0,47.0
antonjo02,1958,1,SFN,NL,47,47.0,84.0,9.0,19.0,2.0,1.0,1.0,7.0,0.0,0.0,2.0,26.0,0.0,0.0,5.0,0.0,4.0,47.0
antonjo02,1959,1,SFN,NL,43,43.0,101.0,4.0,16.0,2.0,0.0,2.0,10.0,0.0,0.0,1.0,26.0,0.0,1.0,5.0,0.0,2.0,43.0
antonjo02,1960,1,SFN,NL,42,42.0,34.0,2.0,8.0,0.0,1.0,0.0,1.0,1.0,0.0,2.0,6.0,0.0,0.0,1.0,0.0,2.0,42.0
antonjo02,1961,1,CLE,AL,12,12.0,15.0,4.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,12.0
antonjo02,1961,2,ML1,NL,9,9.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0
bunniji01,1955,1,DET,AL,15,15.0,15.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,2.0,0.0,0.0,15.0
bunniji01,1956,1,DET,AL,15,15.0,18.0,4.0,6.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,5.0,0.0,0.0,2.0,0.0,1.0,15.0
