playerid,yearid,teamid,lgid,round,pos,g,gs,innouts,po,a,e,dp,tp,pb,sb,cs
darliro01,1988,NYN,NL,NLCS,Р,2,2,21.0,1,3,0,0,0,,2.0,0.0
doylebr01,1978,NYA,AL,ALCS,2B,3,2,57.0,3,6,0,0,0,,,
martiti02,1996,NYA,AL,ALCS,1B,5,5,141.0,48,3,0,2,0,,,
cobbty01,1907,DET,AL,WS,RF,5,5,138.0,10,0,0,0,0,,,
pavanca01,2010,MIN,AL,ОДЛС2,Р,1,1,18.0,1,1,0,1,0,,0.0,0.0
ditmaar01,1960,NYA,AL,WS,Р,2,2,5.0,0,0,0,0,0,,2.0,0.0
romoen01,1979,PIT,NL,NLCS,Р,2,0,1.0,0,0,0,0,0,,1.0,0.0
hildeor01,1939,NYA,AL,WS,Р,1,1,12.0,0,0,0,0,0,,0.0,0.0
benitar01,2000,NYN,NL,WS,Р,3,0,9.0,0,0,0,0,0,,0.0,0.0
wangch01,2005,NYA,AL,ОДЛС2,Р,1,1,20.0,0,1,1,0,0,,0.0,1.0
lawva01,1983,CHA,AL,ALCS,3B,4,4,96.0,1,9,1,1,0,,,
clontbr01,1995,ATL,NL,НЛДС1,Р,1,0,4.0,0,1,0,0,0,,0.0,0.0
fellebo01,1948,CLE,AL,WS,Р,2,2,43.0,2,4,0,0,0,,1.0,0.0
fergujo01,1974,LAN,NL,NLCS,C,2,1,33.0,3,0,1,0,0,1.0,0.0,0.0
mantlmi01,1952,NYA,AL,WS,CF,7,7,192.0,16,0,0,0,0,,,
reedjo01,1990,BOS,AL,ALCS,СС,3,0,15.0,0,0,0,0,0,,,
pavanca01,2009,MIN,AL,ОДЛС1,Р,1,1,21.0,1,0,0,0,0,,0.0,0.0
russebi01,1977,LAN,NL,NLCS,СС,4,4,108.0,10,11,2,3,0,,,
glavito02,1996,ATL,NL,NLCS,Р,2,2,39.0,0,3,0,1,0,,0.0,1.0
robindo01,1989,SFN,NL,WS,Р,1,1,5.0,0,0,0,0,0,,0.0,0.0
garneph01,1979,PIT,NL,NLCS,2B,3,3,87.0,8,9,0,2,0,,,
kellyro01,1998,TEX,AL,ОДЛС2,CF,2,2,45.0,3,0,0,0,0,,,
hollima01,2011,SLN,NL,NLCS,LF,6,6,,5,0,0,0,0,,,
violafr01,1987,MIN,AL,ALCS,Р,2,2,36.0,0,1,0,0,0,,0.0,0.0
whiteri01,2002,SLN,NL,NLCS,Р,3,0,12.0,0,0,0,0,0,,0.0,0.0
breweji01,1974,LAN,NL,WS,Р,1,0,1.0,0,0,0,0,0,,0.0,0.0
palmeor01,2005,HOU,NL,WS,LF,1,0,12.0,0,0,0,0,0,,,
shoreer01,1916,BOS,AL,WS,Р,2,2,53.0,2,7,0,1,0,,0.0,0.0
tomlira01,1991,PIT,NL,NLCS,Р,1,1,18.0,1,0,0,0,0,,0.0,0.0
laneja01,2005,HOU,NL,NLCS,RF,6,6,159.0,11,0,0,0,0,,,
karchma01,1998,CHN,NL,НЛДС1,Р,1,0,2.0,0,0,0,0,0,,0.0,0.0
oroscje01,1988,LAN,NL,NLCS,Р,4,0,7.0,1,0,0,0,0,,0.0,0.0
smithda02,1981,HOU,NL,NWDIV,Р,2,0,7.0,0,0,0,0,0,,0.0,0.0
landera01,1980,HOU,NL,NLCS,СС,1,1,30.0,2,4,1,0,0,,,
gutiefr01,2007,CLE,AL,ОДЛС2,RF,4,2,69.0,7,0,0,0,0,,,
dimagjo01,1949,NYA,AL,WS,CF,5,5,135.0,7,0,0,0,0,,,
gantnji01,1982,ML4,AL,ALCS,2B,5,5,129.0,12,8,0,4,0,,,
teixema01,2009,NYA,AL,ALCS,1B,6,6,176.0,71,2,0,8,0,,,
borowha01,1943,NYA,AL,WS,Р,1,1,24.0,2,0,0,0,0,,0.0,1.0
bonilbo01,1996,BAL,AL,ОДЛС1,RF,4,4,108.0,9,0,1,0,0,,,
greenha01,1940,DET,AL,WS,LF,7,7,180.0,12,0,0,0,0,,,
mclemma01,2001,SEA,AL,ALCS,СС,3,3,73.0,6,2,0,3,0,,,
harrile01,1999,ARI,NL,НЛДС2,3B,1,0,6.0,0,0,0,0,0,,,
seleaa01,2001,SEA,AL,ALCS,Р,2,2,30.0,0,0,0,0,0,,0.0,0.0
rhodear01,2000,SEA,AL,ALCS,Р,4,0,6.0,0,0,0,0,0,,0.0,0.0
waltoje01,1995,CIN,NL,НЛДС2,CF,1,0,12.0,1,0,0,0,0,,,
clemema01,2003,CHN,NL,NLCS,Р,1,1,23.0,0,1,0,0,0,,0.0,1.0
crossla01,1905,PHA,AL,WS,3B,5,5,129.0,6,6,0,1,0,,,
morame01,1999,NYN,NL,NLCS,LF,2,0,25.0,1,0,0,0,0,,,
benoijo01,2012,DET,AL,ОДЛС2,Р,3,0,9.0,0,1,0,0,0,0.0,0.0,0.0
polanpl01,2000,SLN,NL,NLCS,3B,2,2,45.0,2,4,0,0,0,,,
rodrial01,2009,NYA,AL,ОДЛС1,3B,3,3,87.0,2,6,0,1,0,,,
chambwe01,1993,PHI,NL,NLCS,RF,3,3,72.0,2,2,0,0,0,,,
javiest01,2001,SEA,AL,ALCS,LF,4,3,76.0,9,0,0,0,0,,,
buhneja01,1997,SEA,AL,ОДЛС2,RF,4,4,105.0,5,1,0,0,0,,,
millake01,2003,BOS,AL,ALCS,1B,7,7,189.0,62,8,1,5,0,,,
leebi02,1935,CHN,NL,WS,Р,2,1,31.0,1,1,0,0,0,,0.0,0.0
rivaslu01,2002,MIN,AL,ОДЛС2,2B,4,4,105.0,4,7,0,0,0,,,
bloomwi01,2011,ARI,NL,НЛДС2,СС,5,5,,7,10,0,0,0,,,
curtich01,1999,NYA,AL,WS,LF,3,1,39.0,5,0,0,0,0,,,
atkinga01,2007,COL,NL,НЛДС2,3B,3,3,81.0,2,6,0,1,0,,,
fordle01,2012,BAL,AL,АЛЦ,ДГ,1,0,0.0,0,0,0,0,0,0.0,0.0,0.0
loftoke01,2002,SFN,NL,NLCS,CF,5,5,130.0,14,1,0,1,0,,,
powelbo01,1969,BAL,AL,ALCS,1B,3,3,96.0,34,0,0,2,0,,,
brownmo01,1906,CHN,NL,WS,Р,3,3,59.0,1,11,1,0,0,,3.0,3.0
mcmahdo02,1968,DET,AL,WS,Р,2,0,6.0,1,0,0,0,0,,0.0,0.0
odombl01,1973,OAK,AL,ALCS,Р,1,0,15.0,0,1,0,0,0,,0.0,1.0
behrmha01,1947,BRO,NL,WS,Р,5,0,19.0,1,3,0,0,0,,1.0,0.0
lonboji01,1967,BOS,AL,WS,Р,3,3,72.0,1,2,0,0,0,,2.0,1.0
mayerer01,1915,PHI,NL,WS,Р,2,2,34.0,2,3,0,0,0,,0.0,4.0
mcbriba01,1981,PHI,NL,НЕДIV,RF,4,4,84.0,6,0,0,0,0,,,
grimsro02,1973,CIN,NL,NLCS,Р,2,1,11.0,1,0,0,0,0,,0.0,0.0
thomago01,1982,ML4,AL,ALCS,CF,5,5,120.0,13,0,0,0,0,,,
powelja04,1999,HOU,NL,НЛДС1,Р,3,0,9.0,1,0,0,0,0,,0.0,0.0
sandesc02,1996,SDN,NL,НЛДС2,Р,1,1,13.0,0,1,0,0,0,,0.0,0.0
carbobe01,1975,BOS,AL,WS,LF,2,1,30.0,1,1,0,0,0,,,
breamsi01,1992,ATL,NL,NLCS,1B,7,6,153.0,53,4,0,3,0,,,
