lake,country,province
Озеро Маджоре,я,Пьемонте
Ваеттерн,"Здравствуйте! Я готов помочь с переводом. Пожалуйста, предоставьте текст для перевода.",Оребр
Пирамидное озеро,США,Невада
Чадское озеро,ВАН,Нигерия
Лагуна-Мар-Кихита,А,Сан-Хуан-д-Ампаста
Озеро Преспа,АЛ,Албания
Аммерзее,I am ready to translate only text. Please provide me with some text to translate for you.,Бавария
Каспийское море,Hello,Астраханская область
Мверу,ЗРЕ,Шаба/Катанга
Озеро Винипесакью,США,Нью-Гэмпшир
Озеро Атлин,КЭН,"Юкон, Территория"
Озеро Эри,США,О하이о
Озеро Баш,КАЗ,Жамбыл
Озеро Маракайбо,ВИ,Трюхильо
Озеро Нипигон,КЭН,Онтарио
Озеро Онтарио,КЭН,Онтарио
Озеро Леман,Ч,В
Озеро Виктория,EАК,Западный
Озеро Манитоу,КЭН,Онтарио
Вейнер,"Здравствуйте! Я готов помочь с переводом. Пожалуйста, предоставьте текст для перевода.",Вармеланд
Озеро Мичиган,США,Индиана
Озеро Сакакавея,США,Северная Дакота
Этошский соленый пруд,НАМ,Намибия
Озеро Виктория,Есть,Кагера
Чу Бахир,ЭТХ,Эфиопия
