river,country,province
Далалев,"Здравствуйте! Я готов помочь с переводом. Пожалуйста, предоставьте текст для перевода.",Далярна
Олт,"Да, я могу помочь с переводом с английского на русский. Пожалуйста, предоставьте текст, который вы хотите перевести.",Харгита
Замбези,Z,Луапула
Луар,f,Рона-Альпы
Река Нельсон,КЭН,Манитоба
Бригач,I am ready to translate only text. Please provide me with some text to translate for you.,Баден-Вюртемберг
Эннс,А,Верхняя Австрия
Аша́н,Ри,Индонезия
Ориноко,ВИ,Амазонка
Шатт-аль-Араб,Ирак,Аль-Анбар
Кюмийоки,SF,Хайме
Руки,ЗРЕ,Экватор
Сенегал,РПГ,Гвинея
Ломами,ЗРЕ,Шаба/Катанга
Ясеный,Hello,Республика Тыва
Нигер,РПГ,Гвинея
Двойной,f,Франш-Конте
Остердалевальв,"Здравствуйте! Я готов помочь с переводом. Пожалуйста, предоставьте текст для перевода.",Далярна
Саскачеван-река,КЭН,Альберт
Меконг,ТЖ,Тибет
Гамбия,РПГ,Гвинея
Куило,АNG,Лунда-Суль
Токантинс,БР,Гоас
Рио-Десаадеро,Боль,Боливия
Катун,Hello,Республика Алтай
Парагвай,БР,Мату-Гросу
Некар,I am ready to translate only text. Please provide me with some text to translate for you.,Баден-Вюртемберг
Рузизи,ЗРЕ,Киву
Нил,СУД,аль-Хартум
Волга,Hello,Тверская область
Тоболь,Hello,Оренбургская область
Саоне,f,Лоррейн
Лулуа,ЗРЕ,Шаба/Катанга
Река Святого Лаврентия,КЭН,Квебек
Луапула,Z,Луапула
Вера,I am ready to translate only text. Please provide me with some text to translate for you.,Тюрингия
Санга,РКА,Центральная Африканская Республика
Сине-фиолетовый,ЭТХ,Эфиопия
Маникуган,КЭН,Квебек
Янцзе,ТЖ,Чэнхай
Бому,РКА,Центральная Африканская Республика
Пaatсяоки,SF,Лаппи
Рио Сан-Франциско,БР,Минас-Жерайс
Иравади,ТЖ,Тибет
Рио Мадейра,Боль,Боливия
Южная Моравия,МК,Македония
Детройтская река,КЭН,Онтарио
Река Ниагара,США,Нью-Йорк
Бусира,ЗРЕ,Экватор
Дон,Hello,Тульская область
Река Мюррунбиджи,Австралия,Новый Южный Уэльс
Хванго,ТЖ,Чэнхай
Изер,f,Рона-Альпы
Бахр эль-Джебель/Альберт-Нил,ВЕА,Уганда
Фими,ЗРЕ,Бандунду
Чатанга,Hello,Красноярский край
Доуру,"Добро пожаловать! Я готов помочь вам с переводом. Пожалуйста, предоставьте текст, который вы хотите перевести на русский язык.",Кастилья и Леон
Днепр,Hello,Смоленская область
Рюсс,Ч,УР
Шарри,РКА,Центральная Африканская Республика
Бани,ЦИ,Кот-д'Ивуар
Индус,ТЖ,Тибет
Луалаба,ЗРЕ,Шаба/Катанга
Рейн,Ч,ГР
Здравствуйте! Как я могу вам помочь?,МВ,Малави
Сырдаража,ТАД,Худжанд
Умейелв,"Здравствуйте! Я готов помочь с переводом. Пожалуйста, предоставьте текст для перевода.",Вастерботтен
Кванго,АNG,Мала́нже
Ищим,КАЗ,Карганды
