sea1,sea2
Атлантический океан,Мексиканский залив
Баренцево море,Сибирское море
Карибское море,Мексиканский залив
Северное море,Скеджеррак
Чёрное море,Средиземное море
Атлантический океан,Северное море
Арктический океан,Сибирское море
Ямальное море,Жёлтое море
Гольф Стрит,Индийский океан
Индийский океан,Индийский океан
Северное море,Норвежское море
Оманский залив,Индийский океан
Восточное Китайское море,Тихоокеанский океан
Арабское море,Индийский океан
Берингово море,Тихоокеанский океан
Малаккийский пролив,Южная Китайская завита
Оманский залив,Персидский залив
Аندаманское море,Малаккийский пролив
Баренцево море,Норвежское море
Каттегат,Скеджеррак
Арабское море,Гольф Стрит
Аندаманское море,Индийский океан
Атлантический океан,Тихоокеанский океан
Арктический океан,Атлантический океан
Атлантический океан,Карибское море
Аندаманское море,Бенгальский залив
Бенгальский залив,Тихоокеанский океан
Бенгальский залив,Индийский океан
Ямальное море,Оखотское море
Атлантический океан,Средиземное море
Атлантический океан,Ирландское море
Атлантический океан,Канал
Южная Китайская завита,Индийский океан
Тихоокеанский океан,Море Сулу
Арктический океан,Баренцево море
Море Сулу,Индийский океан
Тихоокеанский океан,Оखотское море
Арктический океан,Норвежское море
Чёрное море,Азовское море
Восточное Китайское море,Южная Китайская завита
Арктический океан,Берингово море
Тихоокеанский океан,Южная Китайская завита
Атлантический океан,Норвежское море
Атлантический океан,Индийский океан
Южная Китайская завита,Море Сулу
Индийский океан,Тихоокеанский океан
Северное море,Канал
Балтийское море,Северное море
Тихоокеанский океан,Ямальное море
Восточное Китайское море,Жёлтое море
Арабское море,Оманский залив
Восточное Китайское море,Ямальное море
Тихоокеанский океан,Индийский океан
Гольф Стрит,Красный море
