name,islands,area,height,type,longitude,latitude
Корсика,,8680.0,2706.0,,8.4,41.4
Сайпан,Марайяны,115.0,474.0,вулканический,145.75,15.2
Гранд-Терр,Малые Антильские острова,589.0,,вулканический,-61.4,16.3
Лев и Харрис,Внешние Херыджсы,2170.0,,,-6.8,57.9
Гернси,Острова Canal,194.0,,,-2.6,49.6
Остров Принс-Эдвард,,5660.0,142.0,,-63.4,46.3
Южный Рональдсей,Оркнейские острова,50.0,,,-3.1,58.6
Ява,Острова Су́ндаланд,126650.0,3676.0,,111.25,-7.5
Амарн,Северные фрисландские острова,20.5,32.0,,8.3,54.65
Св. Елены,,122.0,,вулканический,-5.44,-15.56
Крета,,8331.0,2456.0,,25.0,37.0
Анжуан,Коморы,424.0,,,44.35,-12.2
Бара,Внешние Херыджсы,91.0,,,-7.7,57.0
Кюрасао,Малые Антильские острова,444.0,,,-69.0,12.2
Пеллверм,Северные фрисландские острова,37.4,2.0,,8.6,54.5
Эзель,,2714.0,54.0,,22.0,58.3
Тонгатапу,Острова Тонга,260.0,65.0,Корал,-175.15,-21.2
Ямайка,Большие Антиильские острова,10991.0,2256.0,,-77.3,18.1
Ислэй,Внутренние Хеберские острова,619.6,491.0,,7.0,62.1
Махэ,Сешелы,154.0,905.0,,55.5,-4.65
Лефкас,Ионические острова,293.0,1158.0,,20.6,38.7
Терселлинг,Западные Фрисландские острова,88.0,,,5.3,53.4
Даго,,965.0,,,22.7,58.8
Молакаи,Гавайские острова,676.0,1512.0,,-157.0,21.1
Банкз-Айленд,Канадские арктические острова,70028.0,,,-122.1,72.85
Тарава,Острова Гилберта,,,атолл,173.0,1.4
Банга,Острова Су́ндаланд,11942.0,700.0,,106.0,2.25
Стромболи,Липари,12.6,926.0,вулканический,15.15,38.8
