country,name,percentage
Новая Зеландия,Европейский,88.0
LB,Американо-либерийцы,5.0
КАМ,Кири,11.0
EАК,Камбэ,11.0
СН,Диола,9.0
Лаос,"Лаос - это страна в Юго-Восточной Азии с богатой культурой и историей. Она граничит с Китаем, Вьетнамом, Камбоджей и Таиландом, и ее столица Вьентьян является важным центром торговли и культуры в регионе. Лаос известен своими живописными пейзажами, которые включают горные хребты, густые джунгли и реки, а также дружелюбными жителями, которые известны своим гостеприимством.",68.0
ЗРЕ,Мангбетту-Азанде,45.0
НАУ,Пакистанец,26.0
Рим,Чёрный Морей,40.0
Лаос,Лаос,22.0
МД,Украинский,13.8
Hello,Украинский,3.0
MC,Итальянский,16.0
СК,Рим,1.5
ИР,Лур,2.0
МД,"Добро пожаловать в чат-бота для перевода! Я могу помочь вам перевести текст с английского на русский язык. Пожалуйста, предоставьте текст, который вы хотите перевести.",13.0
ЭТХ,Сидамо,9.0
КЛ,Арабский,7.0
КАЗ,"Я не вижу входящего текста для перевода. Пожалуйста, предоставьте текст для перевода с английского на немецкий.",4.7
КАЗ,Узбек,2.1
МЯ,Рахине,4.0
КО,чёрно-индийский,3.0
Да,Афро-китайский,1.2
СН,Тукулёр,9.0
КЭН,Азиатский,11.5
"Извините, но я не понимаю ваш запрос. Можете ли вы уточнить, что именно вам нужно перевести?",Рим,0.3
РЛ,армянский,4.0
МК,Цыгане,3.0
Hello! I would be happy to translate for you. Please provide the text that you would like me to translate from English to Russian.,Кхмерский,90.0
Ри,су́нданский,14.0
I am ready to translate only text. Please provide me with some text to translate for you.,"Я не вижу входящего текста для перевода. Пожалуйста, предоставьте текст для перевода с английского на немецкий.",95.1
ВЕА,Баганда,17.0
Q,Пакистанский,18.0
ER,Тигр Кунама,40.0
SLБ,Полинезийский,4.0
ЦИ,Сенуфо,15.0
Резюме,Креоль,71.0
РПГ,Малинке,30.0
SLБ,Европейский,0.8
"Извините, но я не понимаю ваш запрос. Можете ли вы предоставить дополнительную информацию или контекст для перевода?",Турк,8.5
ЭК,Индийский,25.0
АЛ,Греки,3.0
PL,Белорусский,0.5
