country1,country2,length
РМ,ИР,35.0
АЛ,МК,151.0
Дом,РХ,275.0
ЕЛ,Запад,307.0
Z,ЗРЕ,1930.0
ФГУ,СМЭ,510.0
СИР,ТР,822.0
ГНБ,РПГ,386.0
БР,А,1224.0
БФ,ГХ,548.0
RSA,СД,430.0
ХР,СЛО,546.0
Н/Д,Смар,15.0
"Добро пожаловать в Chatbot Coral! Я здесь, чтобы помочь вам перевести текст с английского на русский язык. Пожалуйста, предоставьте мне текст, который вы хотите перевести. Я сделаю все возможное, чтобы обеспечить точный и естественный перевод.",КРБ,1903.0
Ч,I am ready to translate only text. Please provide me with some text to translate for you.,334.0
Да,Запад,97.0
"Извините, я не понимаю ваш запрос. Пожалуйста, уточните, что именно вы хотите перевести?",PL,91.0
Есть,АД,217.0
PNG,Ри,820.0
АNG,КРБ,201.0
СН,Ваг,740.0
Афг,ТАД,1206.0
ЛАР,ТН,459.0
ЧЕЛОВЕК,ВИ,743.0
ТЖ,ВН,1281.0
КАЗ,ТЖ,1533.0
РПГ,ММ,858.0
КАЗ,Hello,6846.0
Аз,ГЭ,322.0
Рим,СН,813.0
ЕЛ,СИР,76.0
I am ready to translate only text. Please provide me with some text to translate for you.,ДК,68.0
"Извините, но я не понимаю ваш запрос. Можете ли вы предоставить дополнительную информацию или контекст для перевода?",ГР,494.0
EАК,ВЕА,933.0
f,я,488.0
БР,ПЕ,1560.0
Лаос,МЯ,235.0
Афг,ТМ,744.0
КАМ,"Добро пожаловать в Chatbot Coral! Я здесь, чтобы помочь вам перевести текст с английского на русский язык. Пожалуйста, предоставьте мне текст, который вы хотите перевести. Я сделаю все возможное, чтобы обеспечить точный и естественный перевод.",298.0
БРУ,МАЛ,381.0
РКА,КРБ,467.0
КЭН,США,8893.0
ГКА,ХКГ,256.0
ДЗ,ММ,1376.0
