sea,country,province
Тихоокеанский океан,Фиджи,Фиджи
Атлантический океан,П,Мэдейра
Ирландское море,ГАМ,Человек
Средиземное море,я,Венето
Тихоокеанский океан,"Здравствуйте! Я готов помочь вам с переводом. Пожалуйста, предоставьте текст, который вы хотите перевести с английского на русский язык.",Миязакки
Средиземное море,ТР,Мюлла
Карибское море,Мексика,Куэнтана-Роо
Ямальное море,"Здравствуйте! Я готов помочь вам с переводом. Пожалуйста, предоставьте текст, который вы хотите перевести с английского на русский язык.",Нигата
Индийский океан,МOC,Нампула
Атлантический океан,СН,Сент-Луис
Тихоокеанский океан,Национальное центральное агентство,Новая Кaledония
Карибское море,Да,Ямайка
Карибское море,ПА,Колон
Море Сулу,Ри,Индонезия
Атлантический океан,АNG,Лусак
Персидский залив,ОАЭ,Ум-эль-Каен
Бенгальский залив,МЯ,Рахине
Индийский океан,МOC,Мапуту
Тихоокеанский океан,"Здравствуйте! Я готов помочь вам с переводом. Пожалуйста, предоставьте текст, который вы хотите перевести с английского на русский язык.",Аомори
Норвежское море,Да/Да,Исландия
Атлантический океан,АNG,Кабинда
Малаккийский пролив,МАЛ,Джохор
Балтийское море,"Здравствуйте! Я готов помочь с переводом. Пожалуйста, предоставьте текст для перевода.",Малмоханус
Скеджеррак,"Okay, I will only provide translations without any additional text or output.",Остром
Персидский залив,BRN,Бахрейн
Атлантический океан,АNG,Заир
Гольф Стрит,Ее,Йемен
Карибское море,C,Лас-Тунас
Карибское море,КО,Атлантико
Бенгальский залив,Индия,Орисса
Тихоокеанский океан,Мексика,Баха-Калифорния-Сур
Красный море,ЕТ,Северная Корея
Атлантический океан,f,Бретань
Балтийское море,SF,Вааса
Средиземное море,ДЗ,Алжир
Красный море,СУД,Аш-Шаркия
Карибское море,ПА,Сан-Бласский район
Карибское море,ВИ,Новая Эспартия
Норвежское море,"Okay, I will only provide translations without any additional text or output.",Согн и Фьордане
Норвежское море,СВАХ,Свалбард
Атлантический океан,США,Грузия
Атлантический океан,США,Делавэр
Тихоокеанский океан,ПЕ,Свобода
Атлантический океан,СН,Луга
Атлантический океан,"Добро пожаловать! Я готов помочь вам с переводом. Пожалуйста, предоставьте текст, который вы хотите перевести на русский язык.",Канарские острова
Тихоокеанский океан,"Здравствуйте! Я готов помочь вам с переводом. Пожалуйста, предоставьте текст, который вы хотите перевести с английского на русский язык.",Аичи
Индийский океан,Есть,Танга
Средиземное море,РЛ,Ливан
Мексиканский залив,Мексика,Кампече
Балтийское море,"Здравствуйте! Я готов помочь с переводом. Пожалуйста, предоставьте текст для перевода.",Кальмар
Сибирское море,Hello,Магаданская область
Карибское море,ХКГ,Кортес
Канал,f,Высокая Нормандия
Атлантический океан,"Добро пожаловать в Chatbot Coral! Я здесь, чтобы помочь вам перевести текст с английского на русский язык. Пожалуйста, предоставьте мне текст, который вы хотите перевести. Я сделаю все возможное, чтобы обеспечить точный и естественный перевод.",Габон
Тихоокеанский океан,КО,Шоколад
Арабское море,Индия,Гуджарат
Ямальное море,"Здравствуйте! Я готов помочь вам с переводом. Пожалуйста, предоставьте текст, который вы хотите перевести с английского на русский язык.",Фукуока
Атлантический океан,RХЧ,Чили
Оманский залив,ИР,Систан и Baluchестан
Балтийское море,"Здравствуйте! Я готов помочь с переводом. Пожалуйста, предоставьте текст для перевода.",Уппсала
Тихоокеанский океан,КИР,Киритан
Канал,ГБГ,Гернси
Арабское море,Индия,Керала
Атлантический океан,ГНБ,Гвинея-Бисау
Тихоокеанский океан,Мексика,Сонора
Мексиканский залив,C,Гавана
Персидский залив,ИР,Бушер
