country,continent,percentage
Ру,Америка,100.0
МАЛ,Азия,100.0
Аз,Азия,100.0
Резюме,Африка,100.0
МOC,Африка,100.0
Рим,Африка,100.0
Хорошо.,Европа,100.0
PNG,Австралия/Океания,100.0
В,Африка,100.0
Ее,Азия,100.0
ВИ,Америка,100.0
WAFF,Австралия/Океания,100.0
ДЖИ,Африка,100.0
Мексика,Америка,100.0
ЕЛ,Азия,100.0
Q,Азия,100.0
ГQ,Африка,100.0
Национальное центральное агентство,Австралия/Океания,100.0
БХТ,Азия,100.0
Кейм,Америка,100.0
ХР,Европа,100.0
КУВЕЙТ,Азия,100.0
SRB,Европа,100.0
АNG,Африка,100.0
Ри,Австралия/Океания,20.0
ГХ,Африка,100.0
