mountain,country,province
Маутмитчелл,США,Северная Каролина
Табана Нтленяна,Л,Лесото
Гора Харни,США,Южная Дакота
Тахань,МАЛ,Паханг
Мульхацен,"Добро пожаловать! Я готов помочь вам с переводом. Пожалуйста, предоставьте текст, который вы хотите перевести на русский язык.",Андалусия
Пиц Бернина,я,Ломбардия
Пик Барбоу,КЭН,Северо-Западные территории
Иллimani,Боль,Боливия
Церо-де-Пунта,ПР,Пуэрто-Рико
Пик Ленина,КГЗ,Кыргызстан
Монте-Роза,Ч,В
Гора Богонг,Австралия,Виктория
Аусангатэ,ПЕ,Куско
Манталинган,РП,Филиппины
Мт Колумбия,КЭН,Британская Колумбия
Пик Ленина,ТАД,Бадахшони Куни
Пик Победы,ТЖ,Синьцзян-Уйгур
Фудзисан,"Здравствуйте! Я готов помочь вам с переводом. Пожалуйста, предоставьте текст, который вы хотите перевести с английского на русский язык.",Шизуока
Пик Сан-Тома,Стоп,Сан-Томе и Принсипи
Монт-Кук,Новая Зеландия,Новая Зеландия
Jezерце,АЛ,Албания
Невадо-дель-Руис,КО,Шоколад
Софриер,Западная Вирджиния,Сент-Винсент и Гренадины
Чепурный Сонь Гион,Ч,ГР
Олимпос,Ц,Кипр
Клингманс-Дом,США,Теннесси
Халеакалы,США,Гавайи
Гросер Арбер,I am ready to translate only text. Please provide me with some text to translate for you.,Бавария
Ключечевская гора,Hello,Камчатский край
Пико-де-лос-Ньевес,"Добро пожаловать! Я готов помочь вам с переводом. Пожалуйста, предоставьте текст, который вы хотите перевести на русский язык.",Канарские острова
Попока́тепетль,Мексика,Пуэбла
Попока́тепетль,Мексика,Моралес
Блекберн,США,Аляска
Гашербран I,ПК,Пакистан
Тахат,ДЗ,Алжир
Пиц Бернина,Ч,ГР
Котопакси,ЭК,Эквадор
Гора Кошицко,Австралия,Новый Южный Уэльс
Улуру,Австралия,Северная территория
Питон де ла Фурнез,Созвездие Персеи,Встреча
Руендзори,ЗРЕ,Киву
Дамаванд,ИР,Мазандеран
Фако,КАМ,Юго-запад
Монте-Роза,я,Ломбардия
Мон-Орохена,ФПоК,Французская Полинезия
Пик коммунизма,ТАД,Бадахшони Куни
Маунт-Адамс,США,Вашингтон
Мт Мак-Клэйн,США,Аляска
Ойос-дель-Саладо,А,Тукман
Ирацу,КР,Карфаген
Кинабалу,МАЛ,Доброе утро! Как я могу вам помочь сегодня?
Семеру,Ри,Индонезия
Коропуна,ПЕ,Экипа
Ойос-дель-Саладо,RХЧ,Чили
Хотака-Дакэ,"Здравствуйте! Я готов помочь вам с переводом. Пожалуйста, предоставьте текст, который вы хотите перевести с английского на русский язык.",Нагано
Чанбаи Шан,Нет,Северная Корея
Мт Редаут,США,Аляска
Лхоцзе,ТЖ,Тибет
Дёмирказик,ТР,Нигде
Маунт-Уитни,США,Калифорния
Попо́манасеу,SLБ,Соломоновы Острова
Тубхаль,МЯ,Марокко
