city,province,country,island
Порт-Луи,Маврикий,Мएस,Маврикий
Ротерхит,Южный Йоркшир,Хорошо.,Великая Британия
Осака,Осака,"Здравствуйте! Я готов помочь вам с переводом. Пожалуйста, предоставьте текст, который вы хотите перевести с английского на русский язык.",Хоншу
Вокингем,Беркшир,Хорошо.,Великая Британия
Ньюкасл-он-Тайн,Шропшир,Хорошо.,Великая Британия
Нортгертон,Северный Йоркшир,Хорошо.,Великая Британия
Санто-Доминго,Доминиканская Республика,Дом,Хиспанола
Магеланг,Индонезия,Ри,Ява
Кірколл,Оркнейские острова,Хорошо.,Оркнейский континент
Глостер,Глостершир,Хорошо.,Великая Британия
Сантьяго-де-Куба,Сантьяго-де-Куба,C,Куба
Кингстон,Ямайка,Да,Ямайка
Сент-Альбанс,Харрогейтшир,Хорошо.,Великая Британия
Сток-он-Трент,Шропшир,Хорошо.,Великая Британия
Сан-Крус-де-Тенерифе,Канарские острова,"Добро пожаловать! Я готов помочь вам с переводом. Пожалуйста, предоставьте текст, который вы хотите перевести на русский язык.",Тенерифе
Сендай,Миаяги,"Здравствуйте! Я готов помочь вам с переводом. Пожалуйста, предоставьте текст, который вы хотите перевести с английского на русский язык.",Хоншу
Банда-Ачех,Индонезия,Ри,Суматра
Восточная Лойта,Хэмпшир,Хорошо.,Великая Британия
Хиросима,Хиросима,"Здравствуйте! Я готов помочь вам с переводом. Пожалуйста, предоставьте текст, который вы хотите перевести с английского на русский язык.",Хоншу
Норфолк,Норфолк,Хорошо.,Великая Британия
Каварати,Лакшадвип,Индия,Каварати
Шизуока,Шизуока,"Здравствуйте! Я готов помочь вам с переводом. Пожалуйста, предоставьте текст, который вы хотите перевести с английского на русский язык.",Хоншу
Тауи,Доброе утро! Как я могу вам помочь сегодня?,МАЛ,Бороно
Наха,Окинава,"Здравствуйте! Я готов помочь вам с переводом. Пожалуйста, предоставьте текст, который вы хотите перевести с английского на русский язык.",Окинава
Сейнт-Питерпорт,Гернси,ГБГ,Гернси
Тояма,Тояма,"Здравствуйте! Я готов помочь вам с переводом. Пожалуйста, предоставьте текст, который вы хотите перевести с английского на русский язык.",Хоншу
Траффорд,Большая Манчестерская область,Хорошо.,Великая Британия
Баямо,Гранама,C,Куба
Кармартен,Кармартеншир,Хорошо.,Великая Британия
Гольчин,Гольчин,C,Куба
Кноусли,Мерсисайд,Хорошо.,Великая Британия
Престон,Ланкашир,Хорошо.,Великая Британия
Фукуи,Фукуи,"Здравствуйте! Я готов помочь вам с переводом. Пожалуйста, предоставьте текст, который вы хотите перевести с английского на русский язык.",Хоншу
Сага,Сага,"Здравствуйте! Я готов помочь вам с переводом. Пожалуйста, предоставьте текст, который вы хотите перевести с английского на русский язык.",Кюсю
Нумеа,Новая Кaledония,Национальное центральное агентство,Великая Земля
Окленд,Новая Зеландия,Новая Зеландия,Тэ Ика-а-Мауи (Северный остров)
Мито,Ибараки,"Здравствуйте! Я готов помочь вам с переводом. Пожалуйста, предоставьте текст, который вы хотите перевести с английского на русский язык.",Хоншу
Сингапур,Сингапур,СГП,Сингапур
Лансер,Ланкашир,Хорошо.,Великая Британия
Эбв-Вэл,Бленау Гуент,Хорошо.,Великая Британия
Дудли,Западный Мидлендс,Хорошо.,Великая Британия
Моль,Флинтшир,Хорошо.,Великая Британия
Честерфилд,Дербишир,Хорошо.,Великая Британия
Болтон,Большая Манчестерская область,Хорошо.,Великая Британия
Тамата́в,Тома́син,РМ,Мадагаскар
Пальма-де-Майорка,Балеарские острова,"Добро пожаловать! Я готов помочь вам с переводом. Пожалуйста, предоставьте текст, который вы хотите перевести на русский язык.",Мальорка
Токушима,Токушима,"Здравствуйте! Я готов помочь вам с переводом. Пожалуйста, предоставьте текст, который вы хотите перевести с английского на русский язык.",Шикоку
Лас-Пальмас-де-Гран-Канария,Канарские острова,"Добро пожаловать! Я готов помочь вам с переводом. Пожалуйста, предоставьте текст, который вы хотите перевести на русский язык.",Гран-Канария
Манчестер,Большая Манчестерская область,Хорошо.,Великая Британия
Ла-Лагуна,Канарские острова,"Добро пожаловать! Я готов помочь вам с переводом. Пожалуйста, предоставьте текст, который вы хотите перевести на русский язык.",Тенерифе
Паликир,Микронезия,ФСМ,Понапе
Тайнунг,Тайвань,RC,Тайвань
Каназава,Ишикава,"Здравствуйте! Я готов помочь вам с переводом. Пожалуйста, предоставьте текст, который вы хотите перевести с английского на русский язык.",Хоншу
Бенгкулу,Индонезия,Ри,Суматра
Кладбище,Большая Манчестерская область,Хорошо.,Великая Британия
Дили,Восточный Тимор,Да,Тимор
Троубридж,Уилтшир,Хорошо.,Великая Британия
Бредфорд,Западный Йоркшир,Хорошо.,Великая Британия
Саппоро,Хоккайдо,"Здравствуйте! Я готов помочь вам с переводом. Пожалуйста, предоставьте текст, который вы хотите перевести с английского на русский язык.",Хоккайдо
Ипсвич,Саффолк,Хорошо.,Великая Британия
Флайинг-Фиш-Ков,Остров Рождества,Рождество,Остров Рождества
Уоррингтон,Чеширский кот,Хорошо.,Великая Британия
