name,code,capital,province,area,population
Бангладеш,БД,Дакка,Бангладеш,144000.0,123062800
Бенин,Бен,Порт-Нойво,Бенин,112620.0,5709529
Боливия,Боль,Ла-Паз,Боливия,1098580.0,7165257
Бразилия,БР,Бразилиа,Федеральный округ,8511960.0,162661214
Белоруссия,По,Минск,Белоруссия,207600.0,10415973
Камерун,КАМ,Яунде,Центр,475440.0,14261557
Кот-д'Ивуар,ЦИ,Ямусукро,Кот-д'Ивуар,322460.0,14762445
Колумбия,КО,Богота,Сан-Хосе,1138910.0,36813161
Германия,I am ready to translate only text. Please provide me with some text to translate for you.,Берлин,Берлин,356910.0,83536115
Алжир,ДЗ,Алжир,Алжир,2381740.0,29183032
Кения,EАК,Найроби,Найроби,582650.0,28176686
Танзания,Есть,Дар-эс-Салам,Дар-эс-Салам,945090.0,29058470
Уганда,ВЕА,Кампала,Уганда,236040.0,20158176
Эквадор,ЭК,Кито,Эквадор,283560.0,11466291
Египет,ЕТ,Кайро,Эль-Каир,1001450.0,63575107
Эфиопия,ЭТХ,Аддис-Абеба,Эфиопия,1127130.0,57171662
Франция,f,Париж,Иль-де-Франс,547030.0,58317450
Габон,"Добро пожаловать в Chatbot Coral! Я здесь, чтобы помочь вам перевести текст с английского на русский язык. Пожалуйста, предоставьте мне текст, который вы хотите перевести. Я сделаю все возможное, чтобы обеспечить точный и естественный перевод.",Либревиль,Габон,267670.0,1172798
Гватемала,ГКА,Гватемала-Сити,Гватемала,108890.0,11277614
Греция,ГР,Афины,Аттика,131940.0,10538594
Гайана,ЧЕЛОВЕК,Джорджтаун,Гайана,214970.0,712091
Гондурас,ХКГ,Тегусигальпа,Франсиско Моразан,112090.0,5605193
Италия,я,Рим,Лазио,301230.0,57460274
Индия,Индия,Нью-Дели,Дели,3287590.0,952107694
Иран,ИР,Тегеран,Тегеран,1648000.0,66094264
Ирак,Ирак,Багдад,Багдад,437072.0,21422292
Исландия,Да/Да,Рикавик,Исландия,103000.0,270292
Казахстан,КАЗ,Алматы,Алматы (город в Казахстане),2717300.0,16916463
Кыргызстан,КГЗ,Бишкек,Кыргызстан,198500.0,4529648
Либерия,LB,Монровия,Либерия,111370.0,2109789
Мексика,Мексика,Мексико-Сити,Федеральный округ,1972550.0,95772462
Монголия,МНГ,Улан-Батор,Монголия,1565000.0,2496617
Мозамбик,МOC,Мапуту,Мапуту (город),801590.0,17877927
Намибия,НАМ,Виндхук,Намибия,825418.0,1677243
Никарагуа,НИК,Манагуа,Никарагуа,129494.0,4272352
Перу,ПЕ,Пять,Пять,1285220.0,24523408
Пакистан,ПК,Исламабад,Пакистан,803940.0,129275660
Парагвай,ПY,Асуэнсьон,Парагвай,406750.0,5504146
Аргентина,А,Buenos-Айрес,Федеральный округ,2766890.0,34672997
Ботсвана,РБ,Габороне,Ботсвана,600370.0,1477630
Центральная Африканская Республика,РКА,Банги,Центральная Африканская Республика,622980.0,3274426
Конго,КРБ,Браззавиль,Конго,342000.0,2527841
Чили,RХЧ,Сантьяго,Чили,756950.0,14333258
Гвинея,РПГ,Конакри,Гвинея,245860.0,7411981
Индонезия,Ри,Джакарта,Индонезия,1919440.0,206611600
Мавритания,Рим,Нуакшот,Мавритания,1030700.0,2336048
Мадагаскар,РМ,Антананариво,Антананариво,587041.0,13670507
Мали,ММ,Бамако,Мали,1240000.0,9653261
Нигер,РН,Ниамей,Нигер,1267000.0,9113001
Румыния,"Да, я могу помочь с переводом с английского на русский. Пожалуйста, предоставьте текст, который вы хотите перевести.",Бухарест,Бухарест,237500.0,21657162
Уругвай,Ру,Монтевидео,Уругвай,176220.0,3238952
Филиппины,РП,Мана́ила,Филиппины,299764.0,74480848
Южная Африка,RSA,Претория,Гутенг,1219910.0,41743459
Финляндия,SF,Гельсинки,Уусимаа,337030.0,5105230
Суринам,СМЭ,Парамарибо,Суринам,163270.0,436418
Сенегал,СН,Дакар,Дакар,196190.0,9092749
Сирия,СИР,Дамаск,Сирия,185180.0,15608648
