name,area,depth,altitude,type,river,longitude,latitude
Озеро Скутари,368.0,44.0,7.0,,,19.3,42.2
Сайма,4370.0,85.0,76.0,,Вуокса,28.0,61.3
Озеро Турсу,6405.0,73.0,375.0,соли,,36.1,3.6
Озеро Мичиган,57800.0,281.0,176.0,,,-87.08,43.69
Озеро Тана,3000.0,14.0,1830.0,,Сине-фиолетовый,37.3,12.0
Озеро Натрон,1040.0,2.0,600.0,соли,,36.0,-2.4
Этошский соленый пруд,6133.0,0.0,1000.0,соли,,16.0,-18.8
Лахер Мэр,3.3,53.0,275.0,кальдера,,7.3,50.4
Озеро Несс,56.0,226.0,16.0,,,-4.44,57.31
Оゼロ Чанны,2500.0,106.0,10.0,,,77.5,54.9
Поопо,1340.0,4.0,3686.0,соли,,-67.1,-18.55
Озеро Титикака,8372.0,281.0,3812.0,,Рио-Десаадеро,-69.33,-15.84
Озеро Чамплан,1130.0,121.0,30.0,,Ривьер-Ришелье,-73.35,44.56
Старنبергерзе,56.36,127.7,584.0,,Ворм,11.32,47.92
Кайнинское озеро,1243.0,,,искусственный,Нигер,4.5,10.4
Озеро Манитоу,104.0,,,,,-82.0,45.76
Сесеко-озеро/Альберт-зее,5347.0,48.0,619.0,,Бахр эль-Джебель/Альберт-Нил,30.9,1.7
"Ликанкабу́р, озеро в США, штат Орегон, в национальном лесу Маунт-Худ. Озеро Ликанкабу́р — это кальдера вулкана Маунт-Ход, находящегося на территории национального леса Маунт-Ход в штате Орегон. Это одно из самых больших и глубоких озер в США. Вода в озере очень чистая и прозрачная, поэтому с поверхности можно увидеть дно, которое покрыто густой зеленью. Окружающие вулканические скалы создают уникальный контраст с бирюзовой водой озера.",0.005,,5600.0,кратер,,-67.9,-22.8
Озеро Пауелл,645.0,171.0,1127.0,искусственный,Кольорадо,-111.5,36.9
Озеро Орхид,367.0,289.0,695.0,,Чёрный Дрин,20.7,41.0
Озеро Тахо,497.0,501.0,1900.0,,Трюки-Ривер,-120.0,39.0
Озеро Чанка,4400.0,,,,,132.4,45.0
Мверу,5120.0,27.0,931.0,,Люва,28.7,-9.0
Озеро Сакакавея,1578.0,55.0,,искусственный,Миссури,-101.42,47.48
Верастаттерсее,113.7,214.0,434.0,,Рюсс,8.4,47.0
Цюрихское озеро,88.0,136.0,406.0,,Лиммат,8.23631,47.5018
Озеро Леман,581.0,310.0,372.0,,Рон,6.5,46.5
Озеро Хемю,202.0,,,,Мюррей-Деринг,147.0,-36.1
Вейнер,5648.0,106.0,44.0,,Гётеальв,13.3,58.8
Озеро Преспа,273.0,54.0,849.0,,,21.0,40.9
Озеро Виннипег,24420.0,18.0,218.0,,Река Нельсон,-97.97,52.77
lake Volta,8502.0,130.0,,искусственный,Вольта,0.5,6.3
Чадское озеро,23000.0,7.0,250.0,соли,,14.0,13.2
Сторуман,173.0,139.0,419.0,,Умейелв,16.88,65.22
Каллавеси,472.0,,,,Вуокса,27.7,62.9
Озеро Бусумтви,49.0,81.0,107.0,воздействие,,-1.4,6.5
Озеро Иразу,1.0,,3200.0,кислота,,-83.9,10.0
Оулюякярви,928.0,35.0,123.0,,Оулуйоки,27.25,64.3
Озеро Псковское,3555.0,14.6,30.0,,Нарв,27.49,58.68
Озеро Кабора-Бассе,2800.0,,326.0,искусственный,Замбези,32.7,-15.6
Хаймсее,80.0,73.0,518.0,,Альцгеймера,12.4,47.9
Пайянне,1118.0,95.0,78.0,,Кюмийоки,25.4,61.5
Лак Ассаль,54.0,,-155.0,соли,,42.4,11.65
Озеро Ньос,,208.0,,кальдера,,10.3,6.44
О́зеро Байка́л,31492.0,1637.0,455.0,,Ангара,108.0,53.0
Озеро Гарда,370.0,346.0,65.0,,Минчо,10.65,45.6
Салон де Юни,10582.0,0.0,3650.0,соли,,-67.5,-20.1
Озеро Винипесакью,186.0,55.0,153.0,,Мершимак-Ривер,-71.3,43.6
Мээллен,1140.0,66.0,0.7,,,17.1,59.4
Kentucky-озеро,648.0,,,,Теннесси,-88.3,37.0
Озеро Гурон,59600.0,229.0,176.0,,Детройтская река,-82.44,44.795
Океан-Хани,1890.0,4.0,,,,-80.8,26.94
Озеро Кебан,675.0,,,,Ефрат,38.75,38.8
О제로 Таймыр,4560.0,26.0,5.0,,,101.6,74.5
Озеро Собрадинго,4214.0,,,искусственный,Рио Сан-Франциско,-40.7,-9.46
