island,sea,lake,river
Окинава,Восточное Китайское море,,
Хоншу,Ямальное море,,
Нижняя Земля,Атлантический океан,,
Невис,Атлантический океан,,
Сент-Люсия,Атлантический океан,,
Миндору,Южная Китайская завита,,
Панай,Море Сулу,,
Барбадос,Атлантический океан,,
Гомера,Атлантический океан,,
Бата́м,Южная Китайская завита,,
Авст-Вагёй,Норвежское море,,
Сулавеси,Море Сулу,,
Ломбок,Индийский океан,,
Хоккайдо,Оखотское море,,
Шри-Ланка,Бенгальский залив,,
Святой Томас,Атлантический океан,,
Маньто-Рейн,,Озеро Гурон,
Селянд,Балтийское море,,
Фехмарн,Северное море,,
Куба,Карибское море,,
Ланаи,Тихоокеанский океан,,
Гуаам,Тихоокеанский океан,,
Икария,Средиземное море,,
Амеланд,Северное море,,
Бороно,Индийский океан,,
Фонгафале,Тихоокеанский океан,,
Остров Сан-Клементе,Тихоокеанский океан,,
Спиекерог,Северное море,,
Терселлинг,Северное море,,
Остров Эллисмер,Арктический океан,,
Шярандыне,Северное море,,
Великая Британия,Канал,,
Шри-Ланка,Индийский океан,,
Линоса,Средиземное море,,
Фуэнен,Балтийское море,,
Монсерат,Атлантический океан,,
Фальстер,Балтийское море,,
Менорка,Средиземное море,,
Малый Кайман,Карибское море,,
Стремой,Норвежское море,,
Родос,Средиземное море,,
Сингапур,Южная Китайская завита,,
Северный Никос,Атлантический океан,,
Ниихау,Тихоокеанский океан,,
Гэшм,Арабское море,,
Сахалин,Ямальное море,,
Тристан да Куна,Атлантический океан,,
Сегодня,Северное море,,
Рум,Атлантический океан,,
Амбон,Индийский океан,,
Окинава,Тихоокеанский океан,,
Кюсю,Ямальное море,,
Каварати,Арабское море,,
Южный Андаманский остров,Аندаманское море,,
Ямайка,Карибское море,,
Сильт,Северное море,,
Остров Виктория,Арктический океан,,
Тонгатапу,Тихоокеанский океан,,
Футуна,Тихоокеанский океан,,
Сицилия,Средиземное море,,
Гран-Канария,Атлантический океан,,
Сент-Мартин,Атлантический океан,,
Исландия,Норвежское море,,
Тексель,Северное море,,
Восточная Фолкленд,Атлантический океан,,
Самосир,,Океан,
