country,independence,dependent,government
Б,1830-10-04,,конституционная монархия
НМИС,,США,Общее политическое сообщество с США
ПР,,США,"Содружество, связанное с США"
ФГУ,,f,Иностранное министерство Франции
СУД,1956-01-01,,"Режим, ранее правивший военными"
КО,1810-07-20,,Республика
КОС,2008-02-17,,Республика
РН,1960-08-03,,Республика
КИР,1979-07-12,,Республика
ИР,1979-04-01,,теократическая республика
Z,1964-10-24,,Республика
НИК,1821-09-15,,Республика
КР,1821-09-15,,Демократическая Республика
"Здравствуйте! Я готов помочь с переводом. Пожалуйста, предоставьте текст для перевода.",,,конституционная монархия
РЛ,1943-11-22,,Республика
НАУ,1968-01-31,,Республика
Ниуэ,1974-10-19,,самовластная территория в свободной ассоциации с Новой Зеландией
БР,1822-09-07,,Федеральная Республика
БИХ,1992-04-01,,emergеющая демократия
Рим,1960-11-28,,Республика
COК,,Новая Зеландия,Самоуправляемое парламентское правительство в свободной ассоциации с Новой Зеландией
СК,1993-01-01,,парламентская демократия
ГКА,1821-09-15,,Республика
МВ,1964-07-06,,многопартийная демократия
ГЭ,1991-04-09,,Республика
ВША,,,Юрисдикция над территорией и вопрос о суверенитете остаются нерешенными.
Л,1966-10-04,,Изменённая конституционная монархия
В,1929-02-11,,монархическая священнодействующая держава
ГБГ,,Хорошо.,Британская заморская территория
I am ready to translate only text. Please provide me with some text to translate for you.,1871-01-18,,Федеральная Республика
PNG,1975-09-16,,парламентская демократия
Ри,1945-08-17,,Республика
ТУВ,1978-10-01,,демократия
РओК,,,Республика
COM,1975-07-06,,независимая республика
ТМ,1991-10-27,,Республика
Национальное центральное агентство,,f,Овернские территории Франции с 1956 года
АКСА,,Хорошо.,Британские заморские территории
Фиджи,1970-10-10,,Республика
СГП,1965-08-09,,Республика в рамках Содружества
ПИТЦ,,Хорошо.,Британские заморские территории
Добро пожаловать в Chatbot Coral! Я могу помочь вам с переводом текста с английского на русский язык и обратно. Как я могу помочь вам сегодня?,1001-01-01,,Республика
ХР,1991-06-25,,парламентская демократия
ДЖИ,1977-06-27,,Республика
КУВЕЙТ,1961-06-19,,номинальная конституционная монархия
ФПоК,,f,Овернская область Франции с 1946 года
ЦИ,1960-08-07,,Республика
РХ,1804-01-01,,Республика
Рождество,,Австралия,территория Австралии
КОКО,,Австралия,территория Австралии
НЛ,1579-01-01,,конституционная монархия
SY,1976-06-29,,Республика
ГХ,1957-03-06,,конституционная демократия
PL,1918-11-11,,демократическое государство
ГВАМ,,США,организованный
