name,country,province,population,longitude,latitude
Орск,Hello,Оренбургская область,275000.0,,
Бахир-Дар,ЭТХ,Эфиопия,115531.0,,
Райпур,Индия,Мадхья-Прадеш,438639.0,,
Илаве Экити,ВАН,Нигерия,163000.0,,
Виктория,SY,Сешелы,24570.0,55.5,-4.65
Мбабане,СД,Свазиленд,,31.1,-25.0
Бирджанд,ИР,Хорасан,101177.0,,
Пеория,США,Иллинойс,113513.0,-89.6833,40.6667
Соуэто,RSA,Гутенг,597000.0,,
Джяньоу,ТЖ,Сычуань,175753.0,,
Ново-Гамбург,БР,Риу-Гранди-ду-Сул,225082.0,,
Кассель,I am ready to translate only text. Please provide me with some text to translate for you.,Гессен,201789.0,,
Ляоян,ТЖ,Ляонинг,492559.0,,
Пьотркув-Трыбуналский,PL,Пйотркув-Трыбунский,,,
Халифакс,КЭН,Нова-Скотия,114455.0,-63.4,44.4
Алварада,БР,Риу-Гранди-ду-Сул,160671.0,,
Мардин,ТР,Мардин,,,
Хай Хай,МOC,Газа,,34.0,-25.2
Кuala Теренггану,МАЛ,Теренггану,228654.0,,
Севилья,"Добро пожаловать! Я готов помочь вам с переводом. Пожалуйста, предоставьте текст, который вы хотите перевести на русский язык.",Андалусия,714148.0,,
Камаго,C,Камаго,293961.0,,
Жэньцзян,ТЖ,Джянсу,368316.0,,
Хабаровск,ТЖ,Хэильяньджу,2830000.0,126.4,45.4
Лхаса,ТЖ,Тибет,106885.0,91.0,29.5
Италайя,БР,Сан-Катарина,134797.0,,
Семей,КАЗ,Семей,320200.0,,
Дудли,Хорошо.,Западный Мидлендс,312200.0,,
Колвин-Бей,Хорошо.,Аберконви и Колвин,,,
Кибдо,КО,Шоколад,130921.0,,
Роза́рио,А,Сан-Хуан-д-Ампаста,1118984.0,-60.5,-33.0
Сан-Томе и Принсипи,Стоп,Сан-Томе и Принсипи,,7.0,0.0
Тегеран,ИР,Тегеран,6750043.0,51.4167,35.6833
Люберцы,Hello,Московская область,166000.0,,
Краков,PL,Кραковский,748000.0,19.95,50.0667
Арзамас,Hello,Нижняя Новгородская область,112000.0,,
Жанцзян,ТЖ,Гуанджоу,400997.0,,
Феррара,я,Эмилия-Романья,140600.0,,
Пассейндо,США,Калифорния,131586.0,-118.15,34.15
Хсяффан,ТЖ,Хубэй,410407.0,,
Бата́м,Ри,Индонезия,106667.0,,
Баффало,США,Нью-Йорк,328175.0,-78.7333,42.9333
Хуйсин,ТЖ,Джянсу,239675.0,,
Тонхуа,ТЖ,Джилин,324600.0,,
Каварати,Индия,Лакшадвип,,72.6,10.6
Ливерпуль,Хорошо.,Мерсисайд,474000.0,,
Колн,I am ready to translate only text. Please provide me with some text to translate for you.,Северный Рейн-Вестфалия,963817.0,,
Чичестер,Хорошо.,Западный Сассекс,102500.0,,
Рангпур,БД,Бангладеш,207000.0,,
Малмё,"Здравствуйте! Я готов помочь с переводом. Пожалуйста, предоставьте текст для перевода.",Малмоханус,245699.0,13.0,55.3
Владивосток,Hello,Приморский край,632000.0,131.917,43.1167
Джерси-Сити,США,Нью-Джерси,228517.0,,
Неаполь,я,Кампания,1206013.0,14.15,40.5
Курган,Hello,Курская область,363000.0,,
Чинандега,НИК,Никарагуа,101211.0,,
Потенца,я,Бασиликата,,15.47,40.4
Хакодате,"Здравствуйте! Я готов помочь вам с переводом. Пожалуйста, предоставьте текст, который вы хотите перевести с английского на русский язык.",Хоккайдо,287691.0,140.7,41.8
Танта,ЕТ,Эль-Гарбия,374000.0,,
Даксян,ТЖ,Сычуань,188101.0,,
Блэкпул,Хорошо.,Ланкашир,153600.0,,
Ханой,ВН,Вьетнам,3056146.0,105.867,21.0333
Рио-Бранко,БР,Акер,228907.0,-67.5,-9.5
Майдугури,ВАН,Нигерия,282000.0,,
Лаати,SF,Хайме,94234.0,25.2,60.5
Лион,f,Рона-Альпы,415487.0,4.78333,45.7
Ботроп,I am ready to translate only text. Please provide me with some text to translate for you.,Северный Рейн-Вестфалия,119669.0,,
Энугу,ВАН,Нигерия,279000.0,,
Нумеа,Национальное центральное агентство,Новая Кaledония,,166.27,-22.16
Кочабамба,Боль,Боливия,304000.0,-66.0,-17.1
Спрингфилд,США,Иллинойс,105417.0,-89.6667,39.8333
Лерида,"Добро пожаловать! Я готов помочь вам с переводом. Пожалуйста, предоставьте текст, который вы хотите перевести на русский язык.",Каталанско,114234.0,,
Изми́т,ТР,Кочели,275800.0,,
Храбрек Кралове,"Извините, но я не понимаю ваш запрос. Можете ли вы уточнить, что именно вам нужно перевести?",Вычедокский,164000.0,,
Лояв,МЯ,Кая,,,
Урумчи,ТЖ,Синьцзян-Уйгур,1160000.0,88.0,44.0
Гулистон,УЗБ,Сирдаре,,,
Майкоп,Hello,Республика Адыгея,165000.0,,
Ла-Лагуна,"Добро пожаловать! Я готов помочь вам с переводом. Пожалуйста, предоставьте текст, который вы хотите перевести на русский язык.",Канарские острова,125183.0,,
Раджахмундри,Индия,Андхра-Прадеш,324881.0,,
Карачи,ПК,Пакистан,9863000.0,66.98,24.8
Хаккари,ТР,Хаккари,,,
Батна,ДЗ,Алжир,181601.0,,
Гуджарат,ПК,Пакистан,155058.0,,
Чариев,ТМ,Лебан,166400.0,,
Оребр,"Здравствуйте! Я готов помочь с переводом. Пожалуйста, предоставьте текст для перевода.",Оребр,119635.0,15.0,59.2
Дили,Да,Восточный Тимор,59069.0,125.6,-8.6
