country,population_growth,infant_mortality
ГР,0.42,7.4
КОС,,
ПК,2.24,96.8
ПАЛ,1.71,25.07
ER,2.79,118.9
БД,1.85,102.3
"Здравствуйте! Я готов помочь с переводом. Пожалуйста, предоставьте текст для перевода.",0.56,4.5
"Okay, I will only provide translations without any additional text or output.",0.48,4.9
ТЖ,0.98,39.6
КАМ,2.89,78.7
ЦИ,2.92,82.4
C,0.44,9.0
ЭТХ,2.72,122.8
Индия,1.64,71.1
Лаос,2.81,96.8
Ваг,3.55,80.5
БИ,1.54,102.2
ГНБ,2.35,115.8
Мएस,1.23,17.2
"Да, я могу помочь с переводом с английского на русский. Пожалуйста, предоставьте текст, который вы хотите перевести.",-1.21,23.2
КУВЕЙТ,6.65,11.1
ARУ,1.478,13.79
МЯ,1.84,80.7
ВАН,3.05,72.4
LV,-1.39,21.2
ТТ,0.08,18.2
Кейм,2.39,6.94
РПГ,1.85,134.1
ХКГ,2.6,41.8
ММ,2.95,102.7
СВАХ,-0.02,
Тука,2.56,13.89
ВД,0.38,9.6
БВИР,1.84,14.65
"Извините, я не понимаю ваш запрос. Пожалуйста, уточните, что именно вы хотите перевести?",-0.35,17.0
Неп,2.45,79.0
СА,3.45,46.4
"""М"" в русском языке будет ""М"".",1.01,6.9
МВ,1.71,139.9
СИР,3.37,40.0
УА,-0.4,22.5
РКА,2.08,111.7
ТР,1.67,43.2
КО,1.66,25.8
PNG,2.29,60.1
BRN,2.27,17.1
Маео,3.32,56.29
Афг,4.78,149.7
ДК,0.38,4.8
