abbreviation,name,city,country,province,established
ГСС,Совет по сотрудничеству стран Персидского залива,Рияд,СА,Саудовская Аравия,1981-05-25
АСЕАН,Азиатско-Тихоокеанское экономическое сотрудничество,Сингапур,СГП,Сингапур,1989-11-07
АБЕДА,Арабский банк экономического развития в Африке,Хартум,СУД,аль-Хартум,1974-02-18
Г-2,Группа из двух,,,,
УНОМИЛ,Миссия наблюдателей ООН в Либерии,Нью-Йорк,США,Нью-Йорк,1993-09-22
ЭКО,Организация экономического сотрудничества,Тегеран,ИР,Тегеран,1985-01-01
Г-77,Группа 77,,,,1967-10-01
ФЗ,Франз зона,Париж,f,Иль-де-Франс,1945-12-20
ISO,Международный организаци́й стандартиза́ции,Гренобль,Ч,ГЭ,1947-02-01
Всемирная продовольственная организация,Международный фонд сельскохозяйственного развития,Рим,я,Лазио,1974-11-01
ООН,Университет Организации Объединенных Наций,,,,1973-12-06
Г-3,Группа из трёх,,,,1990-10-01
НС,Северный совет,Стокгольм,"Здравствуйте! Я готов помочь с переводом. Пожалуйста, предоставьте текст для перевода.",Стокгольм,1952-03-16
МКС,Международный коммерческий фонд,Париж,f,Иль-де-Франс,1919-01-01
Спартека,Южнотихоокеанское региональное соглашение о торговле и экономическом сотрудничестве,,,,1981-01-01
МРТ,Международное движение Красного Креста и Красного Полумесяца,Гренобль,Ч,ГЭ,1928-01-01
ВФТУ,Всемирная федерация профсоюзов,Праж,"Извините, но я не понимаю ваш запрос. Можете ли вы уточнить, что именно вам нужно перевести?",Праз,1945-10-03
АМУ,Союз арабских государств Магриба,Рабат,МЯ,Марокко,1989-02-17
АКП,"Африканские, карибские и тихоокеанские страны",Брюссель,Б,Прованс,1976-04-01
ЦЕ,Совет Европы,Страсбург,f,Альзас,1949-05-05
Г-10,Группа из 10 человек,Париж,f,Иль-де-Франс,1962-10-01
Г-9,Группа из 9 человек,,,,
Международный олимпийский комитет,Международный олимпийский комитет,Лосанна,Ч,ДВ,1894-06-23
G-5,Группа из 5 человек,,,,1985-09-22
ЦЕЗА,Экономическое сообщество центральноафриканских государств,Либревиль,"Добро пожаловать в Chatbot Coral! Я здесь, чтобы помочь вам перевести текст с английского на русский язык. Пожалуйста, предоставьте мне текст, который вы хотите перевести. Я сделаю все возможное, чтобы обеспечить точный и естественный перевод.",Габон,1983-10-18
Кариком,Карибское сообщество и Общий рынок,Джорджтаун,ЧЕЛОВЕК,Гайана,1973-07-04
КДБ,Банку развития Карибского бассейна,,,,1969-10-18
Выход,Экономическая и социальная комиссия для Азии и Тихого океана,Бангкок,АХТ,Таиланд,1947-03-28
ЕВ,Европейский союз,Брюссель,Б,Прованс,1992-02-07
ПРООН,Силы защиты ООН,Нью-Йорк,США,Нью-Йорк,1992-02-28
ОАПЕК,Организация стран-экспортеров нефти (ОСЭН),,,,1968-01-09
РПГ,Рио Групп,,,,1988-01-01
БИС,Банк международных расчетов,Базель,Ч,BS,1930-01-20
Договор АСЕАНЗ,"Договор о безопасности между Австралией, Новой Зеландией и США",Канберра,Австралия,Территориальный округ Австралии,1951-09-01
BЧИЕ,Центральный американский банк экономической интеграции,Тегусигальпа,ХКГ,Франсиско Моразан,1960-12-13
САДК,Южноафриканское сообщество по развитию,Габороне,РБ,Ботсвана,1992-08-17
АФЕСД,Арабский фонд экономического и социального развития,,,,1968-05-16
Г-8,Группа из 8 человек,,,,1975-10-01
WCL,Всемирная конфедерация труда,Брюссель,Б,Прованс,1920-06-19
ЕКА,Экономическая комиссия для Африки,Аддис-Абеба,ЭТХ,Эфиопия,1958-04-29
ВТО,Европейское экономическое сообщество,Гренобль,Ч,ГЭ,1960-01-04
ЗС,Комитет Цанга,,,,
Фонд Организации Объединенных Наций,Операция Организации Объединенных Наций по восстановлению доверия в Хорватии,Нью-Йорк,США,Нью-Йорк,1995-03-31
ООН,Организация Объединенных Наций по промышленному развитию,Вена,А,Вена,1966-11-17
КАН,Центральноамериканский общий рынок,Гватемала-Сити,ГКА,Гватемала,1960-12-13
ООН,Организация Объединенных Наций,Нью-Йорк,США,Нью-Йорк,1945-06-26
Интерпол,Международная организация уголовной полиции,Лион,f,Рона-Альпы,1956-06-13
МБГ,Исламский банк развития,Джедда,СА,Саудовская Аравия,1973-12-15
