island,country,province
"Каймановы острова, Брейк-Бэй",Кейм,Каймановы острова
Лев и Харрис,Хорошо.,Внешние Херыджсы
Фуэртевентура,"Добро пожаловать! Я готов помочь вам с переводом. Пожалуйста, предоставьте текст, который вы хотите перевести на русский язык.",Канарские острова
Кюсю,"Здравствуйте! Я готов помочь вам с переводом. Пожалуйста, предоставьте текст, который вы хотите перевести с английского на русский язык.",Оита
Великая Британия,Хорошо.,Бленау Гуент
Маньто-Рейн,КЭН,Онтарио
Великая Британия,Хорошо.,Кармартеншир
Сент-Люсия,ВЛ,Сент-Люсия
Остров Санта-Каталина,США,Калифорния
Великая Британия,Хорошо.,Кардиф
Принц-Уолс-Айленд,КЭН,Северо-Западные территории
Великая Британия,Хорошо.,Кливленд
Даго,EW,Эстония
Сантьяго,Резюме,Кабо-Верде
Новая Гвинея,PNG,Папуа-Новая Гвинея
Кюсю,"Здравствуйте! Я готов помочь вам с переводом. Пожалуйста, предоставьте текст, который вы хотите перевести с английского на русский язык.",Кумамото
Ирландия,Хорошо.,Северная Ирландия
Руген,I am ready to translate only text. Please provide me with some text to translate for you.,Мекленбург- перед-Вरपе
Мадагаскар,РМ,Тома́син
Каварати,Индия,Лакшадвип
Хоншу,"Здравствуйте! Я готов помочь вам с переводом. Пожалуйста, предоставьте текст, который вы хотите перевести с английского на русский язык.",Осака
Влиеланд,НЛ,Фризланд
Фальстер,ДК,Дания
Хоккайдо,"Здравствуйте! Я готов помочь вам с переводом. Пожалуйста, предоставьте текст, который вы хотите перевести с английского на русский язык.",Хоккайдо
Великая Британия,Хорошо.,Мерсисайд
Куба,C,Гуантанамо
Остров Санта-Роза,США,Калифорния
Кюсю,"Здравствуйте! Я готов помочь вам с переводом. Пожалуйста, предоставьте текст, который вы хотите перевести с английского на русский язык.",Кагосима
Пеллверм,I am ready to translate only text. Please provide me with some text to translate for you.,Шлезвиг-Гольштейн
Сент-Китс,Н,Сент-Китс и Невис
Сардиния,я,Сардиния
Бороно,Ри,Индонезия
Куба,C,Пинар-дель-Рио
Куба,C,Мата-зас
Хоншу,"Здравствуйте! Я готов помочь вам с переводом. Пожалуйста, предоставьте текст, который вы хотите перевести с английского на русский язык.",Ишикава
Шикоку,"Здравствуйте! Я готов помочь вам с переводом. Пожалуйста, предоставьте текст, который вы хотите перевести с английского на русский язык.",Эхиме
Лолленд,ДК,Дания
Хоншу,"Здравствуйте! Я готов помочь вам с переводом. Пожалуйста, предоставьте текст, который вы хотите перевести с английского на русский язык.",Гоё-ган
Банга,Ри,Индонезия
Санта-Мария,П,Азоры
Хоншу,"Здравствуйте! Я готов помочь вам с переводом. Пожалуйста, предоставьте текст, который вы хотите перевести с английского на русский язык.",Шимане
Хоншу,"Здравствуйте! Я готов помочь вам с переводом. Пожалуйста, предоставьте текст, который вы хотите перевести с английского на русский язык.",Яманаси
Хоншу,"Здравствуйте! Я готов помочь вам с переводом. Пожалуйста, предоставьте текст, который вы хотите перевести с английского на русский язык.",Ямагата
Шикоку,"Здравствуйте! Я готов помочь вам с переводом. Пожалуйста, предоставьте текст, который вы хотите перевести с английского на русский язык.",Кагава
Гозо,"""М"" в русском языке будет ""М"".",Мальта
Анджелесия,Хорошо.,Анджелесия
Антигуа,АГ,Антигуа и Барбуда
Бороно,МАЛ,Сараваки
Великая Британия,Хорошо.,Торфаен
Мохилла,COM,Коморские острова
Хоншу,"Здравствуйте! Я готов помочь вам с переводом. Пожалуйста, предоставьте текст, который вы хотите перевести с английского на русский язык.",Вакаяма
Хельголанд,I am ready to translate only text. Please provide me with some text to translate for you.,Шлезвиг-Гольштейн
Великая Британия,Хорошо.,Южный Йоркшир
