desert,country,province
Эрг Ребиана,ЛАР,Ливия
Калакари,АNG,Мокикоко
Ригестан,ПК,Пакистан
Сирийская пустыня,СА,Саудовская Аравия
Калакари,АNG,Когда-Кубанго
Кум Тегх,ТЖ,Синьцзян-Уйгур
Ордос,ТЖ,Шанси
Колорадское плато,США,Юта
Чихуахуа,США,Аризона
Каракум,ТМ,Бalkan
Красный центр,Австралия,Западная Австралия
Руб-аль-Чали,ОАЭ,Ум-эль-Каен
Джураб,ЧХ,Чад
Гоби,ТЖ,Ганьсу
Даште-Лут,ИР,Язд
Либийская пустыня,ЛАР,Ливия
Либийская пустыня,ЕТ,Вади-эль-Джадид
Сирийская пустыня,Ирак,Аль-Анбар
Моава,США,Аризона
Руб-аль-Чали,ОАЭ,Абудаби
Фесан,ЛАР,Ливия
Сирийская пустыня,Да,Иордания
Мурункум,КАЗ,Чылырдык
Рын,КАЗ,Атырау
Калакари,Z,Западный
Гибсон-Десерт,Австралия,Западная Австралия
Нуллаборская равнина,Австралия,Западная Австралия
Эрдi Эндеди,ЧХ,Чад
Великий бассейн,США,Невада
Сирийская пустыня,СИР,Сирия
Моава,США,Юта
Уст-Урт,КАЗ,Актобе
Сонора,Мексика,Чихуахуа
Даште-Кавир,ИР,Семнан
Траза,Рим,Мавритания
Оуй-Хи,США,Идахо
Великий Викторианский пустыня,Австралия,Западная Австралия
Эрг Исаван,ДЗ,Алжир
Намибия,НАМ,Намибия
Тар,Индия,Раджастан
Эрг Игиди,Рим,Мавритания
Руб-аль-Чали,ОАЭ,Дубай
Танами,Австралия,Северная территория
Каракум,ТМ,Ахол
Тар,Индия,Пенджаб
Калакари,РБ,Ботсвана
Кысыл- Кум,УЗБ,Каракыпогистон
Гоби,ТЖ,Нингся Хуйчжоу
Либийская пустыня,ЕТ,Эль-Гиза
Тане́зруфт,ДЗ,Алжир
Гоби,ТЖ,Нэй-Монгол
Стартовый пустырь,Австралия,Квинсленд
ネゲв,ЕЛ,Юг
Оуй-Хи,США,Невада
Великий песчанный desert,Австралия,Западная Австралия
Моава,США,Невада
Оуй-Хи,США,Орегон
Такла-Макан,ТЖ,Синьцзян-Уйгур
Атакама,RХЧ,Чили
Гоби,МНГ,Монголия
Ферло,СН,Луга
Калакари,RSA,Северо-Запад
Simpsonская пустыня,Австралия,Северная территория
Рын,Hello,Республика Калмыκία
Хамада Ду Драа,МЯ,Марокко
