mountain,island
Мерапи,Ява
Рантёкомбола,Сулавеси
Питон де ла Фурнез,Встреча
Пуло́г,Лузон
Пик королевы Марии,Тристан да Куна
Ораефайокалл,Исландия
Бен-Невис,Великая Британия
Манталинган,Палау
Керини,Суматра
Мауна-Лоа,Гавайи
Псилорис,Крета
Силисилия,Саваи
Мон-Орохена,Тахити
Ю Шань,Тайвань
Питон де Ньора,Встреча
Пик Сан-Тома,Сан-Томе и Принсипи
Эта,Сицилия
Гуни Бинаия,Церамит
Льюзер,Суматра
Концепсьон,Остров Ометепе
Пико-де-Тейде,Тенерифе
Пико-Туркиньо,Куба
Морне Диабло́тинов,Доминика
Халеакалы,Маврикий
Суфриер-Хиллз,Монсерат
Пико-Руэво,Мэдейра
Пико-де-лос-Ньевес,Гран-Канария
Роке де лос Мачадос,Ла-Пальма
Руапеху,Тэ Ика-а-Мауи (Северный остров)
Попо́манасеу,Гуадалканаль
Пик Джейя,Новая Гвинея
Монте-Цинто,Корсика
Софриер,Сент-Винсент
Монт-Кук,Тэ Вака-а-Мауи (Южный остров)
Кинабалу,Бороно
Жима,Олхон
Асаи-Дакэ,Хоккайдо
Гора Уильям,Новая Гвинея
Ла Софьер,Нижняя Земля
Фого,Фого
Гора Апо,Минданао
Андринитра,Мадагаскар
Пеле,Мартиника
Олимпос,Кипр
Голубая гора,Ямайка
Гилуэвский хребет,Новая Гвинея
Тамбора,Сумбава
Пинатубо,Лузон
Пик Виктории,Вити Леву
Снаефелл,Исландия
Циафаджавона,Мадагаскар
Царатанана,Мадагаскар
Гора Один,Остров Баффин
Ма́твий Бебе́ль,Остров Рене Левассера
