name,river,lake,sea,length,sourcelongitude,sourcelatitude,mountains,sourcealtitude,estuarylongitude,estuarylatitude
Виктория Нил,,Сесеко-озеро/Альберт-зее,,,33.0,-1.0,Восточноафриканская рифтовая система,1134.0,30.9,1.7
Пaatсяоки,,,Баренцево море,145.0,28.3,68.95,,119.0,30.05,60.75
Парагвай,Парана,,,2549.0,-56.5,-14.5,,,-58.4,-27.3
Маникуган,Река Святого Лаврентия,,,560.0,-68.7,51.4,,350.0,-68.15,49.2
Бани,Нигер,,,430.0,-6.56,12.6,,285.0,-4.2,14.52
Эбро,,,Средиземное море,925.0,-4.37,43.0375,Кордильера-Кантабрика,1.6,0.5,40.8
Рио-Гранде,,,Мексиканский залив,3034.0,-107.5,38.0,,3900.0,-97.18,25.96
Рио Лерма,,Озеро Чапала,Тихоокеанский океан,965.0,-99.0,19.0,,,-105.6,21.5
Сине-фиолетовый,Нил,,,1783.0,37.3,12.0,Эфиопские плато,1830.0,32.5,15.6
Хадсонская река,,,Атлантический океан,493.0,-73.95,44.1,Анадирки,1309.0,-74.0,40.7
Тмыс,,,Северное море,346.0,-2.03,51.7,,105.0,0.65,51.5
Саоне,Рон,,,480.0,6.2,48.1,Вогезы,451.0,4.8,45.7
Рио-Десаадеро,,Поопо,,383.0,-69.0,-16.55,Андыс,3812.0,-67.1,-18.55
Ломами,Заир,,,1450.0,24.7,-8.7,,1140.0,24.0,-0.8
Амуда́рья,,Оеро Араль,,1415.0,68.3,37.1,,310.0,59.0,44.0
Мершимак-Ривер,,,Атлантический океан,177.0,-71.6,43.4,,,-70.8119,42.8194
Река Ниагара,,Озеро Онтарио,,58.0,-78.9,42.9,,174.0,79.1,43.25
Амер,Изар,Аммерзее,,168.0,11.05,47.57,Альпы,850.0,11.96,48.5
Остердалевальв,Далалев,Сильян,,241.0,12.6,62.2,,,15.1,60.7
Сучона,Северная Двина,,,558.0,59.0,39.0,,180.0,60.9,46.3
Ваёрдаляэльв,Далалев,,,320.0,12.6,61.8,,,15.1,60.7
Жёкульса а Фьёллум,,,Норвежское море,206.0,-16.5,64.8,,,-16.6,66.2
Рио Мадейра,Амазонка,,,1450.0,-65.4,-10.4,,,-58.76,-3.4
Иравади,,,Аندаманское море,2170.0,98.0,29.0,,4300.0,96.0,17.0
Касай,Ква,,,1983.0,19.3,-10.96,,,17.4,3.3
Гвадияна,,,Атлантический океан,742.0,-3.0,42.0,Иберские горы,608.0,-7.65,37.35
Юбба,,,Индийский океан,1658.0,,,,,42.7,-0.5
Масс,,,Северное море,925.0,5.63,47.97,,409.0,4.67,51.72
Иртыш,О'Б,,,4248.0,90.0,47.9,Алтаи,2930.0,68.93,61.07
Западный Двинь,,,Балтийское море,1020.0,34.0,56.0,Валдаи-Гилс,228.0,24.1,57.0
Бене,Нигер,,,1400.0,12.58,7.58,,1100.0,6.75,7.78
Западная Морава,Моравия,,,308.0,20.2,43.85,,,21.4,43.7
Амур,,,Оखотское море,2824.0,121.48,53.33,,305.0,140.73,53.1
Инн,Дунай,,,517.0,9.67,46.41,Альпы,2484.0,13.47,48.57
Моравия,Дунай,,,185.0,21.4,43.7,,,21.1,44.6
Аша́н,,,Малаккийский пролив,150.0,98.7,2.7,,905.0,99.2,3.1
Сырдаража,,Оеро Араль,,2129.0,71.7,41.0,,,60.5,46.0
Ищим,Иртыш,,,2450.0,71.5,52.0,,,71.5,58.0
Река Святого Лаврентия,,,Атлантический океан,1197.0,-76.55,44.2,,75.0,-64.8,49.6
Везер,,,Северное море,440.0,9.65,51.4,,116.5,8.5,53.5
Санга,Заир,,,530.0,15.0,6.0,,,17.0,-2.0
Лена,,,Сибирское море,4400.0,107.88,53.99,,1465.0,126.692,72.4005
Рио Сан-Хуан,,Озеро Манагуа,Карибское море,199.0,-85.35,11.6,,31.0,-83.7,10.9
Парана,,,Атлантический океан,3998.0,-46.5,-19.0,,,-58.2,-34.5
Одер,,,Балтийское море,866.0,17.52,49.61,Сутьеты,634.0,14.59,53.6
Бахр эль-Гашаль,Белый Нил,,,716.0,,,,,30.43,9.5
Лимпопо,,,Индийский океан,1750.0,28.0,-26.0,,1800.0,34.0,-25.2
Индус,,,Арабское море,3180.0,79.7,32.45,,5300.0,67.4,24.0
Вааг,Дунай,,,403.0,19.81,49.02,Бескиды,664.0,18.15,47.75
Здравствуйте,,,Аندаманское море,2980.0,91.9,32.5,,5450.0,97.5,17.0
Ясеный,,,Сибирское море,4092.0,97.5,52.33,,,100.02,51.06
Днестр,,,Чёрное море,1352.0,23.0,49.0,Карпатские горы,1000.0,30.23,46.35
Бому,Убанги,,,280.0,27.0,5.0,,,22.5,4.0
