orderid,productid,unitprice,quantity,discount
10436,56,30.4,40,0.0
10751,50,16.25,20,0.0
10938,60,34.0,49,0.0
10455,71,17.2,30,0.0
10312,28,36.4,4,0.0
10479,38,210.8,30,0.0
10324,63,35.1,80,0.0
11028,55,24.0,35,0.0
10842,70,15.0,12,0.0
10989,41,9.65,4,0.0
10763,24,4.5,20,0.0
10387,59,44.0,12,0.0
10566,76,18.0,10,0.0
10851,59,55.0,42,0.0
10393,26,24.9,70,0.0
10477,21,8.0,21,0.0
10603,22,21.0,48,0.0
10483,34,11.2,35,0.0
10832,64,33.25,3,0.0
10764,39,18.0,130,0.0
10347,39,14.4,50,0.0
10559,41,9.65,12,0.0
10522,40,18.4,25,0.0
10382,5,17.0,32,0.0
10485,2,15.2,20,0.0
10627,73,15.0,35,0.0
10596,75,7.75,30,0.0
10951,75,7.75,50,0.0
10507,43,46.0,15,0.0
10657,56,38.0,45,0.0
10657,41,9.65,24,0.0
10524,43,46.0,60,0.0
10701,71,21.5,20,0.0
10285,1,14.4,45,0.0
10647,39,18.0,20,0.0
10817,40,18.4,60,0.0
10760,27,43.9,40,0.0
10368,64,26.6,35,0.0
10595,35,18.0,30,0.0
10610,36,19.0,21,0.0
10390,72,27.8,24,0.0
11027,62,49.3,21,0.0
10337,26,24.9,24,0.0
10270,43,36.8,25,0.0
10738,16,17.45,3,0.0
10869,23,9.0,50,0.0
10609,10,31.0,10,0.0
10676,10,31.0,2,0.0
10751,26,31.23,12,0.0
10627,62,49.3,15,0.0
10351,41,7.7,13,0.0
10590,77,13.0,60,0.0
10440,16,13.9,49,0.0
10516,42,14.0,20,0.0
10536,33,2.5,30,0.0
10416,19,7.3,20,0.0
10999,51,53.0,15,0.0
11067,41,9.65,9,0.0
10580,41,9.65,9,0.0
10526,1,18.0,8,0.0
10554,62,49.3,20,0.0
10786,75,7.75,42,0.0
10535,59,55.0,15,0.0
10691,62,49.3,48,0.0
11003,1,18.0,4,0.0
10781,74,10.0,35,0.0
10915,33,2.5,30,0.0
