payment_no,member_no,payment_dt,payment_amt,statement_no,payment_code
45,448,1999-09-02T00:00:00,2205.0,0,
59,520,1999-09-02T00:00:00,4336.0,0,
224,1005,1999-09-02T00:00:00,3686.0,0,
237,1049,1999-09-02T00:00:00,1264.0,0,
258,1095,1999-09-02T00:00:00,4736.0,0,
322,1241,1999-09-02T00:00:00,8891.0,0,
431,1463,1999-09-02T00:00:00,1153.0,0,
472,1527,1999-09-02T00:00:00,2779.0,0,
540,1647,1999-09-02T00:00:00,5388.0,0,
808,2065,1999-09-02T00:00:00,10219.0,0,
829,2097,1999-09-02T00:00:00,3784.0,0,
1061,2415,1999-09-02T00:00:00,3363.0,0,
1125,2508,1999-09-02T00:00:00,2142.0,0,
1227,2650,1999-09-02T00:00:00,1211.0,0,
1433,2896,1999-09-02T00:00:00,6848.0,0,
1489,2967,1999-09-02T00:00:00,9336.0,0,
1525,3019,1999-09-02T00:00:00,3589.0,0,
1576,3083,1999-09-02T00:00:00,4959.0,0,
1596,3105,1999-09-02T00:00:00,1125.0,0,
1725,3252,1999-09-02T00:00:00,5566.0,0,
1832,3376,1999-09-02T00:00:00,1531.0,0,
1910,3465,1999-09-02T00:00:00,3701.0,0,
1974,3537,1999-09-02T00:00:00,4265.0,0,
2015,3580,1999-09-02T00:00:00,7757.0,0,
2288,3881,1999-09-02T00:00:00,8844.0,0,
2344,3941,1999-09-02T00:00:00,5633.0,0,
2376,3976,1999-09-02T00:00:00,4905.0,0,
2451,4054,1999-09-02T00:00:00,3248.0,0,
2502,4109,1999-09-02T00:00:00,15148.0,0,
2532,4140,1999-09-02T00:00:00,1403.0,0,
2547,4156,1999-09-02T00:00:00,3260.0,0,
2576,4186,1999-09-02T00:00:00,4620.0,0,
2596,4206,1999-09-02T00:00:00,3381.0,0,
2604,4215,1999-09-02T00:00:00,4370.0,0,
2731,4354,1999-09-02T00:00:00,3742.0,0,
2902,4537,1999-09-02T00:00:00,3704.0,0,
2983,4620,1999-09-02T00:00:00,11106.0,0,
2986,4623,1999-09-02T00:00:00,5470.0,0,
2996,4633,1999-09-02T00:00:00,1871.0,0,
3056,4695,1999-09-02T00:00:00,4375.0,0,
3313,4958,1999-09-02T00:00:00,3792.0,0,
3394,5046,1999-09-02T00:00:00,8837.0,0,
3512,5169,1999-09-02T00:00:00,12028.0,0,
3654,5312,1999-09-02T00:00:00,1907.0,0,
3736,5396,1999-09-02T00:00:00,13943.0,0,
3744,5404,1999-09-02T00:00:00,13517.0,0,
3832,5496,1999-09-02T00:00:00,7893.0,0,
4059,5727,1999-09-02T00:00:00,8676.0,0,
4088,5756,1999-09-02T00:00:00,14809.0,0,
4151,5820,1999-09-02T00:00:00,1977.0,0,
4152,5821,1999-09-02T00:00:00,10815.0,0,
4248,5919,1999-09-02T00:00:00,12509.0,0,
4311,5983,1999-09-02T00:00:00,5501.0,0,
4365,6038,1999-09-02T00:00:00,8034.0,0,
4368,6041,1999-09-02T00:00:00,14702.0,0,
4378,6051,1999-09-02T00:00:00,10142.0,0,
4480,6155,1999-09-02T00:00:00,20329.0,0,
4514,6189,1999-09-02T00:00:00,8600.0,0,
4539,6214,1999-09-02T00:00:00,4426.0,0,
4551,6226,1999-09-02T00:00:00,8196.0,0,
4638,6315,1999-09-02T00:00:00,19262.0,0,
4753,6430,1999-09-02T00:00:00,15457.0,0,
4756,6433,1999-09-02T00:00:00,13918.0,0,
4785,6462,1999-09-02T00:00:00,834.0,0,
4789,6466,1999-09-02T00:00:00,18321.0,0,
4856,6533,1999-09-02T00:00:00,7543.0,0,
4866,6543,1999-09-02T00:00:00,7963.0,0,
4867,6544,1999-09-02T00:00:00,7791.0,0,
4915,6592,1999-09-02T00:00:00,9798.0,0,
5183,6861,1999-09-02T00:00:00,7819.0,0,
5271,6949,1999-09-02T00:00:00,16822.0,0,
5350,7029,1999-09-02T00:00:00,6749.0,0,
5516,7195,1999-09-02T00:00:00,12234.0,0,
5675,7355,1999-09-02T00:00:00,20459.0,0,
5711,7391,1999-09-02T00:00:00,7945.0,0,
5725,7405,1999-09-02T00:00:00,15210.0,0,
5743,7423,1999-09-02T00:00:00,23746.0,0,
5836,7516,1999-09-02T00:00:00,23562.0,0,
5864,7544,1999-09-02T00:00:00,9279.0,0,
5940,7621,1999-09-02T00:00:00,5535.0,0,
5945,7626,1999-09-02T00:00:00,26106.0,0,
6071,7752,1999-09-02T00:00:00,19748.0,0,
6234,7915,1999-09-02T00:00:00,12126.0,0,
6273,7954,1999-09-02T00:00:00,10900.0,0,
6274,7955,1999-09-02T00:00:00,4038.0,0,
6299,7980,1999-09-02T00:00:00,27852.0,0,
6304,7985,1999-09-02T00:00:00,23377.0,0,
6386,8067,1999-09-02T00:00:00,17493.0,0,
6387,8068,1999-09-02T00:00:00,19854.0,0,
6447,8128,1999-09-02T00:00:00,24657.0,0,
6451,8132,1999-09-02T00:00:00,10326.0,0,
6452,8133,1999-09-02T00:00:00,10283.0,0,
6785,8466,1999-09-02T00:00:00,26065.0,0,
6794,8475,1999-09-02T00:00:00,13876.0,0,
6814,8495,1999-09-02T00:00:00,13497.0,0,
6842,8523,1999-09-02T00:00:00,19603.0,0,
6888,8569,1999-09-02T00:00:00,35536.0,0,
6924,8605,1999-09-02T00:00:00,43683.0,0,
7168,8849,1999-09-02T00:00:00,23886.0,0,
7225,8906,1999-09-02T00:00:00,11171.0,0,
7265,8946,1999-09-02T00:00:00,23047.0,0,
7349,9030,1999-09-02T00:00:00,18766.0,0,
7464,9145,1999-09-02T00:00:00,26177.0,0,
7520,9201,1999-09-02T00:00:00,27369.0,0,
7542,9223,1999-09-02T00:00:00,36098.0,0,
7629,9310,1999-09-02T00:00:00,32192.0,0,
7634,9315,1999-09-02T00:00:00,46003.0,0,
7675,9356,1999-09-02T00:00:00,23861.0,0,
7737,9418,1999-09-02T00:00:00,14977.0,0,
7929,9610,1999-09-02T00:00:00,27723.0,0,
7977,9658,1999-09-02T00:00:00,23378.0,0,
8117,9798,1999-09-02T00:00:00,57073.0,0,
