charge_no,member_no,provider_no,category_no,charge_dt,charge_amt,statement_no,charge_code
1,8842,484,2,1999-09-22T10:43:38,3263.0,28842,
4,9939,497,8,1999-09-28T10:43:38,3770.0,29939,
10,8283,488,10,1999-09-28T10:43:38,1004.0,28283,
16,9036,498,6,1999-10-04T10:43:38,3777.0,29036,
26,6169,491,2,1999-09-08T10:43:38,3045.0,16169,
34,6772,472,6,1999-10-07T10:43:38,61.0,26772,
37,3449,289,3,1999-08-24T10:43:38,3039.0,13449,
39,9537,324,5,1999-09-25T10:43:38,3403.0,29537,
48,7969,439,3,1999-08-11T10:43:38,993.0,7969,
53,9965,444,10,1999-08-26T10:43:38,2591.0,19965,
61,8662,492,7,1999-08-17T10:43:38,2798.0,18662,
66,9608,473,2,1999-08-23T10:43:38,3960.0,19608,
67,9247,454,3,1999-07-24T10:43:38,570.0,9247,
72,8948,461,5,1999-06-20T10:43:38,1789.0,8948,
73,8158,412,10,1999-10-04T10:43:38,1857.0,28158,
76,8667,467,2,1999-09-17T10:43:38,2027.0,28667,
80,8550,499,7,1999-07-19T10:43:38,2656.0,8550,
82,9759,466,7,1999-08-17T10:43:38,169.0,19759,
93,9174,311,2,1999-09-12T10:43:38,58.0,19174,
94,7993,445,3,1999-08-24T10:43:38,191.0,17993,
100,7169,467,5,1999-09-08T10:43:38,1191.0,17169,
104,9850,463,4,1999-09-06T10:43:38,322.0,19850,
110,9075,479,6,1999-08-08T10:43:38,1266.0,9075,
114,8673,483,3,1999-08-23T10:43:38,3998.0,18673,
126,8727,497,10,1999-07-27T10:43:38,4380.0,8727,
129,9432,462,6,1999-07-26T10:43:38,3869.0,9432,
138,7150,392,9,1999-06-28T10:43:38,4819.0,7150,
140,9677,321,10,1999-07-22T10:43:38,4465.0,9677,
144,9839,498,6,1999-07-04T10:43:38,1820.0,9839,
159,6169,499,2,1999-08-11T10:43:38,320.0,6169,
168,7129,494,9,1999-07-27T10:43:38,4632.0,7129,
172,8354,434,7,1999-09-06T10:43:38,3486.0,18354,
176,9839,500,9,1999-10-10T10:43:39,572.0,29839,
524304,8435,500,9,1999-08-01T10:45:29,1764.0,8435,
524305,4160,488,4,1999-08-21T10:45:29,154.0,14160,
524307,8894,355,7,1999-08-03T10:45:29,2009.0,8894,
524310,9656,499,4,1999-08-30T10:45:29,3834.0,19656,
524322,9511,496,4,1999-10-10T10:45:29,518.0,29511,
524334,7733,493,2,1999-07-02T10:45:29,1177.0,7733,
524335,5494,495,9,1999-06-29T10:45:29,2756.0,5494,
524337,2480,489,9,1999-08-15T10:45:29,99.0,12480,
524346,9093,496,8,1999-08-06T10:45:29,4165.0,9093,
524353,9068,499,3,1999-09-06T10:45:29,2762.0,19068,
524355,2069,460,7,1999-08-02T10:45:29,3685.0,2069,
524359,8915,486,8,1999-08-16T10:45:29,2946.0,18915,
524361,4812,452,10,1999-09-21T10:45:29,1363.0,24812,
524366,9023,459,9,1999-08-25T10:45:29,1510.0,19023,
524367,5077,425,6,1999-09-20T10:45:29,2866.0,25077,
524375,9503,496,2,1999-08-19T10:45:29,4605.0,19503,
524381,9249,421,8,1999-08-27T10:45:29,2719.0,19249,
524391,5767,495,3,1999-08-29T10:45:29,3583.0,15767,
524398,9125,477,8,1999-08-09T10:45:29,3750.0,9125,
524407,8615,436,9,1999-08-07T10:45:29,4956.0,8615,
524420,4710,466,6,1999-08-06T10:45:29,3334.0,4710,
524443,8552,399,10,1999-08-28T10:45:29,3088.0,18552,
524450,6090,375,8,1999-08-12T10:45:29,2796.0,6090,
524459,9160,416,5,1999-08-05T10:45:29,1381.0,9160,
786432,9424,332,6,1999-09-17T10:50:17,548.0,29424,
786442,9562,479,5,1999-09-04T10:50:17,4685.0,19562,
786446,7040,466,4,1999-08-14T10:50:17,2565.0,17040,
786457,6786,412,2,1999-08-22T10:50:17,2104.0,16786,
786484,8787,499,7,1999-09-25T10:50:17,4676.0,28787,
786505,8316,477,4,1999-09-08T10:50:17,2639.0,18316,
786521,8066,474,4,1999-09-10T10:50:17,1796.0,18066,
786524,3264,489,3,1999-09-26T10:50:17,2433.0,23264,
786526,8553,479,7,1999-08-07T10:50:17,4063.0,8553,
786528,3678,489,5,1999-08-22T10:50:17,1963.0,13678,
786550,9058,470,9,1999-08-15T10:50:17,3312.0,19058,
786555,8250,137,9,1999-08-19T10:50:17,2588.0,18250,
1048580,3894,413,9,1999-10-04T10:47:22,179.0,23894,
1048588,9359,364,5,1999-09-13T10:47:22,4714.0,29359,
1048590,7499,499,6,1999-10-07T10:47:22,135.0,27499,
1048593,9543,492,9,1999-07-03T10:47:22,4376.0,9543,
1048596,9974,484,10,1999-09-22T10:47:22,4561.0,29974,
1048597,9635,413,8,1999-09-27T10:47:22,2010.0,29635,
1048600,7936,349,2,1999-07-25T10:47:22,3393.0,7936,
1048612,9017,483,3,1999-09-19T10:47:22,1479.0,29017,
1048614,9607,418,2,1999-08-18T10:47:22,3270.0,19607,
1048615,9649,490,9,1999-09-28T10:47:22,1927.0,29649,
1048616,3327,499,10,1999-09-29T10:47:22,3067.0,23327,
1048619,3956,500,8,1999-09-04T10:47:22,804.0,13956,
1048621,8020,435,6,1999-08-18T10:47:22,4589.0,18020,
1048627,9861,450,2,1999-08-16T10:47:22,1230.0,19861,
1048632,3023,491,10,1999-07-13T10:47:22,1002.0,3023,
1048634,7005,495,5,1999-08-31T10:47:22,30.0,17005,
1048641,9078,435,10,1999-08-08T10:47:22,3569.0,9078,
1048644,7535,485,6,1999-09-04T10:47:22,3240.0,17535,
1048686,1425,461,7,1999-10-08T10:47:22,4167.0,21425,
1048690,6685,481,9,1999-09-15T10:47:22,4513.0,26685,
1048692,6086,494,2,1999-09-23T10:47:22,4366.0,26086,
1048701,8296,327,2,1999-07-16T10:47:22,961.0,8296,
1048704,7401,441,8,1999-08-05T10:47:22,550.0,7401,
1048716,8819,497,5,1999-07-14T10:47:22,3849.0,8819,
1048739,672,499,10,1999-07-23T10:47:22,4690.0,672,
1048742,6648,498,5,1999-09-30T10:47:22,3677.0,26648,
