supplierid,companyname,contactname,contacttitle,address,city,region,postalcode,country,phone,fax,homepage
1,Экзотические жидкости,Шарлотта Коупер,Менеджер по закупкам,49 Гилберт-стрит.,Лондон,,ЭК-1 4СД,Великобритания,(171) 555-2222,,
2,Нуловелльские каджунские изыски,Шелли Берк,Администратор заказа,П.О. коробка 78934,Новый Орлеан,Лос-Анджелес,70117,США,(100) 555-4822,,#CAJUN.HTML#
3,Домодельное хозяйство бабушки Келли,Реджина Мёрфи,Продавец,707 Оксфорд-роуд,Анн-Арбор,МI,48104,США,(313) 555-5735,(313) 555-3349,
4,Токио Трейдеры,Йоси Нагаси,Менеджер по маркетингу,"9-8 Секимай
Мусаси-но-си",Токио,,100,Япония,(03) 3555-5011,,
5,"Кооператив сыров ""Лас Кабрас""",Антонио дель Валье Сасаедо,Экспортный администратор,"Улица Розал, 4",Овиедо,Астурия,33007,Испания,(98) 598-76-54,,
6,Маюми,Майуми Оно,Маркетинг-представитель,"92 Сецуко
Центральный район",Осака,,545,Япония,(06) 431-7877,,Майуми
7,"Павлова, ООО",Иэн Девлинг,Менеджер по маркетингу,"74 ул. Розы
Муни Пондс",Мельбурн,Виктория,3058,Австралия,(03) 444-2343,(03) 444-6588,
8,"Специальные печенья, Лтд.",Питер Уилсон,Продавец,29 Кингс-вей,Манчестер,,М14 ГСД,Великобритания,(161) 555-4448,,
9,ПБ Кнэкбёрд Абб,Ларс Петерсон,Продавец,"Калоадагатан, 13",Гётеборг,,"S-345, 67",Швеция,031-987 65 43,031-987 65 91,
10,Рефреско Американас ЛТД,Карлос Диас,Менеджер по маркетингу,Авенида дас Американаш 12890,Сан-Паулу,,5442,Бразилия,(11) 555-4640,,
11,Хели Сварен ГмбХ & Ко. КГ,Петра Винтер,Менеджер по продажам,Тиргартенштрасе 5,Берлин,,10785,Германия,(010) 998-45-10,,
12,Плюстер Продовольственные рынки AG,Мартин Бейн,Международный менеджер по маркетингу,"Богеналлее, 51",Франкфурт,,60439,Германия,(069) 992-755,,Плюстер (в Всемирной паутине)
13,Северо-Восточная рыба торговое общество GmbH,Свен Петерсен,Координатор внешних рынков,Фрахмерддер 112а,Куксхейвен,,27478,Германия,(04721) 87-13,(04721) 87-14,
14,Ср-л Формагги Фортини,Элио Росси,Продавец,"Виале Данте, 75",Равенна,,48100,Италия,(0544) 60-32-3,(0544) 6-06-03,#Длямаггии.htm#
15,Норские Мейериер,Беате Вилеид,Менеджер по маркетингу,Хатлевеген 5,Сандвика,,1320,Норвегия,[0]2-953010,,
16,Бигфут Бреверис,Черил Сэйлор,Региональный представитель счёта,"Аvenue 3400 - 8-й авеню
Комната 210",Круг,А,97101,США,(503) 555-9931,,
17,Шведская ассоциация по продаже джемабри (Svensk Sjfda AB),Майкл Бьёрн,Продавец,"Броваллавеген, 231",Стокгольм,,S-123/45,Швеция,08-123 45 67,,
18,Аукси веселых церковь,Гайлин Нодье,Менеджер по продажам,"203, улица Фран-Буржуа",Париж,,75004,Франция,(1) 03-83-00-68,(1) 03.83.00.62,
19,Консервация морепродуктов Новой Англии,Робб Мерчант,Оптовый агент по счетам,"Отдел обработки заказов
2100 بول Ревир Бульвард",Бостон,А,02134,США,(617) 555-3267,(617) 555-3389,
20,Лека Трейдинг,Чандра Лека,Владелец,"471 Серакон Лоу, номер #402",Сингапур,,0512,Сингапур,555-8787,,
21,Лёнгби-Сильд,Нильс Петерсен,Менеджер по продажам,"Лингбизилд
Фискебаккен 10",Люнге,,2800,Дания,43844108,43844115,
22,Занесский кондитер,Дирк Люхте,Менеджер по бухгалтерскому учету,"Продажа
Райнвейг 22",Заандам,,9999 ЗЗ,Нидерланды,"(12345) 1212 — это телефонный код для стокгольмского района в Швеции. Это означает, что вы пытаетесь связаться с кем-то в этом районе или используете этот код для указания своего местоположения.",(12345) 12—10,
23,"Компания ""Каркки Оый""",Анна Хейконен,Менеджер по продуктам,"Вальтакату, 12",Лаппеенранта,,53120,Финляндия,(953) 10956,,
24,"Здравствуйте, друг! Как дела?",Венди Маккензи,Продавец,"Просторная 3-комнатная квартира в престижном районе Хантерс Хилл, в нескольких минутах от центра Сиднея и от живописного паркового побережья.",Сидней,НЮ,2042,Австралия,(02) 555-5914,(02) 555-4873,Добро пожаловать в Microsoft Access!
25,Моя дом,Жан-Гийом Лаузон,Менеджер по маркетингу,Улица Сен-Лорен 2960,Монреаль,Квебек,Хдж1 кц1,Канада,(514) 555-9022,,
26,Паста Баттини Срл,Гиовани Джудичи,Администратор заказа,"Виа дэ Гельсомини, 153",Салерно,,84100,Италия,(089) 654-7665,(089) 654-7667,
27,Узорки-новеньки,Мари Делямар,Менеджер по продажам,"22, улица Х. Вьервон",Монсо,,71300,Франция,85.57.00.07,,
28,Гай-тур,Елиане Ноц,Продавец,"Бат. Б 
ул. Альп 3",Анси,,74000,Франция,38.76.98.06,38.76.98.58,
29,Форты драблы,Чантал Гулет,Менеджер по бухгалтерскому учету,148 улица Охотника,Сент-Якинта,Квебек,J2С 7С8,Канада,(514) 555-2955,(514) 555-2921,
