orderid,productid,unitprice,quantity,discount
11008,71,21.5,21,0.0
10526,1,18.0,8,0.0
10786,30,25.89,15,0.0
10337,36,15.2,20,0.0
10661,39,18.0,3,0.0
10353,11,16.8,12,0.0
11005,1,18.0,2,0.0
10858,70,15.0,4,0.0
10912,29,123.79,60,0.0
10800,51,53.0,10,0.0
10745,59,55.0,45,0.0
10995,51,53.0,20,0.0
10536,12,38.0,15,0.0
10719,54,7.45,40,0.0
10896,56,38.0,16,0.0
10685,41,9.65,4,0.0
10894,75,7.75,120,0.0
10533,72,34.8,24,0.0
10395,46,9.6,28,0.0
11036,59,55.0,30,0.0
10701,71,21.5,20,0.0
10380,53,26.2,20,0.0
11032,38,263.5,25,0.0
11035,1,18.0,10,0.0
10480,47,7.6,30,0.0
10351,65,16.8,10,0.0
10474,40,14.7,21,0.0
10433,56,30.4,28,0.0
10474,14,18.6,12,0.0
10548,34,14.0,10,0.0
10288,68,10.0,3,0.0
10304,71,17.2,2,0.0
10284,67,11.2,5,0.0
10757,64,33.25,24,0.0
10504,53,32.8,10,0.0
10375,54,5.9,10,0.0
10634,18,62.5,50,0.0
10453,70,12.0,25,0.0
10859,64,33.25,30,0.0
10862,11,21.0,25,0.0
10597,65,21.05,12,0.0
10698,17,39.0,8,0.0
10707,70,15.0,28,0.0
10572,32,32.0,10,0.0
10978,21,10.0,40,0.0
10563,52,7.0,70,0.0
10537,51,53.0,6,0.0
10348,1,14.4,15,0.0
10253,39,14.4,42,0.0
10785,75,7.75,10,0.0
