territoryid,territorydescription,regionid
1730,Бедфорд,1
2116,Бостон,1
85251,Скотсдейл,2
55439,Миннеаполис,3
45839,Финлайд,3
53404,Рэйн,3
6897,Уилтон,1
78759,Остин,4
94105,Сан-Франциско,2
14450,Фэрпорт,1
95054,Сан-Клара,2
2184,Брайтони,1
33607,Тампа,4
95060,Сан-Круз,2
60601,Чикаго,2
40222,Луисвилл,1
98052,Редмонд,2
32859,Орландо,4
2903,Провиденс,1
10038,Нью-Йорк,1
85014,Феникс,2
90405,Сан-Диего,2
48304,Блумфилд-Хиллз,3
80202,Денвер,2
11747,Мелвилл,1
20852,Роквилл,1
1833,Джорджтау,1
94025,Менло-Парк,2
19713,Ньюарк,1
27511,Кари,1
98104,Сиэтл,2
55113,Розуэлл,3
80909,Колорадо-Спрингс,2
72716,Бентонвилл,4
48084,Троя,3
95008,Кэмпбелл,2
3801,Портсмут,3
1581,Западный Брово,1
44122,Бичвуд,3
98004,Белвю,2
48075,Южный Филд,3
19428,Филадельфия,3
29202,Колумбия,4
75234,Даллас,4
27403,Гринсборо,1
60179,Хоффман-Эстетс,2
30346,Атланта,4
3049,Холлис,3
7960,Мёрриттаун,1
8837,Эдисон,1
31406,Саванна,4
10019,Нью-Йорк,1
2139,Кембридж,1
